Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades
28-June-2024,463.0,488.05,463.0,479.2,11557,886
27-June-2024,485.4,491.7,458.15,463.3,10169,939
26-June-2024,500.0,500.0,479.0,482.35,2232,227
25-June-2024,485.0,503.95,484.5,494.35,6870,554
24-June-2024,494.8,498.0,481.65,484.5,10705,757
21-June-2024,500.0,509.8,487.05,491.7,9345,696
20-June-2024,495.0,506.45,490.5,493.7,20247,1482
19-June-2024,494.15,503.45,471.0,492.7,10041,883
18-June-2024,499.05,505.0,480.0,484.45,7217,390
14-June-2024,498.4,518.05,492.15,495.1,20075,1609
13-June-2024,460.6,502.2,460.6,489.05,42218,2701
12-June-2024,472.85,474.3,462.4,464.85,20445,1565
11-June-2024,457.45,468.35,442.4,465.85,25311,1770
10-June-2024,445.0,454.0,442.3,446.65,10379,503
7-June-2024,444.45,450.0,430.5,438.65,9299,458
6-June-2024,420.8,427.3,417.1,418.0,1909,105
5-June-2024,404.4,421.75,404.4,417.6,1138,198
4-June-2024,434.25,434.25,383.5,404.4,6642,389
3-June-2024,405.35,431.6,405.35,424.9,948,96
31-May-2024,421.0,423.95,414.5,418.25,1333,254
30-May-2024,429.35,430.45,418.45,423.35,1086,140
29-May-2024,440.15,440.15,421.95,426.95,3845,343
28-May-2024,436.55,436.55,423.85,430.5,685,124
27-May-2024,438.05,438.05,422.0,425.25,3910,371
24-May-2024,430.05,439.85,429.0,429.45,1642,149
23-May-2024,437.2,437.2,432.7,436.05,3403,227
22-May-2024,445.95,445.95,436.65,438.3,1505,223
21-May-2024,460.7,460.7,445.4,447.8,3783,222
18-May-2024,461.95,461.95,449.25,451.65,3699,237
17-May-2024,428.0,452.75,419.05,449.45,6110,442
16-May-2024,431.0,431.55,422.7,427.2,1941,214
15-May-2024,427.3,430.0,424.0,429.0,1925,226
14-May-2024,405.2,427.3,405.2,423.8,2480,252
13-May-2024,421.05,421.05,403.05,412.4,2747,295
10-May-2024,415.0,419.05,406.75,412.75,4941,597
9-May-2024,434.5,434.5,412.55,417.2,1884,134
8-May-2024,424.65,428.55,422.65,425.95,251,68
7-May-2024,432.35,433.0,418.0,422.55,1632,159
6-May-2024,448.9,448.9,428.6,431.85,7928,627
3-May-2024,449.55,449.55,437.7,440.85,1517,154
2-May-2024,446.95,455.0,437.95,448.9,5709,435
30-April-2024,450.0,454.55,441.3,442.8,5863,366
29-April-2024,449.85,456.9,439.9,449.65,12477,667
26-April-2024,438.95,487.05,425.95,444.05,26868,2031
25-April-2024,450.65,450.65,429.95,433.7,626,80
24-April-2024,450.0,450.05,430.85,431.2,789,124
23-April-2024,447.35,447.35,435.55,438.7,1452,132
22-April-2024,421.55,447.0,421.55,438.55,15188,1154
19-April-2024,404.2,421.6,404.2,421.1,2059,151
18-April-2024,417.95,419.05,413.05,416.65,470,64
16-April-2024,412.35,417.5,410.0,411.05,1422,158
15-April-2024,417.1,422.05,401.0,415.2,1352,111
12-April-2024,421.1,422.8,415.45,417.1,1048,78
10-April-2024,426.0,429.9,418.2,421.1,3369,250
9-April-2024,420.05,424.0,414.1,420.05,1744,104
8-April-2024,420.4,420.9,415.0,417.45,4605,274
5-April-2024,426.0,426.2,419.55,421.3,1422,140
4-April-2024,429.45,437.45,422.45,426.9,2396,368
3-April-2024,415.05,426.25,415.05,425.05,3055,359
2-April-2024,404.4,422.0,404.4,421.0,1131,130
1-April-2024,409.75,418.9,408.6,412.6,589,51
28-March-2024,410.35,412.5,399.5,401.75,2990,293
27-March-2024,411.3,411.3,403.6,408.65,1640,176
26-March-2024,418.85,418.85,410.05,411.3,2347,218
22-March-2024,415.05,416.35,408.85,413.4,2920,149
21-March-2024,421.1,428.2,406.5,409.65,11920,516
20-March-2024,393.9,405.2,390.0,402.95,2618,224
19-March-2024,400.95,401.0,392.75,395.95,616,46
18-March-2024,397.35,402.95,393.95,399.7,2983,290
15-March-2024,395.5,395.5,385.25,390.7,891,97
14-March-2024,344.05,396.3,344.05,392.05,2455,150
13-March-2024,391.95,391.95,369.25,372.7,1540,178
12-March-2024,400.5,401.15,384.0,385.4,2075,143
11-March-2024,406.05,407.2,400.0,400.05,1790,120
7-March-2024,411.95,413.95,405.0,406.05,2298,220
6-March-2024,406.85,411.0,401.05,409.75,11003,1162
5-March-2024,417.05,419.0,406.75,407.25,682,149
4-March-2024,429.0,429.45,417.1,418.1,5298,452
2-March-2024,419.35,422.5,419.35,422.5,210,3
1-March-2024,418.35,422.0,412.75,413.1,1622,141
29-February-2024,418.5,421.35,411.55,412.6,4292,383
28-February-2024,430.5,434.0,414.7,416.25,7695,563
27-February-2024,432.65,441.9,419.85,426.0,7508,265
26-February-2024,445.65,449.85,435.5,437.35,5978,381
23-February-2024,449.6,457.4,444.6,446.4,2799,185
22-February-2024,461.95,461.95,448.9,449.9,6400,483
21-February-2024,458.7,467.35,450.15,457.15,4193,284
20-February-2024,444.1,473.7,444.1,456.3,5429,517
19-February-2024,456.15,457.05,439.6,444.1,4504,176
16-February-2024,458.4,458.4,445.55,447.0,5030,354
15-February-2024,479.5,479.5,449.9,453.7,2641,394
14-February-2024,443.6,461.75,440.5,450.4,4121,498
13-February-2024,435.05,445.4,426.5,443.5,2144,255
12-February-2024,467.45,477.9,428.2,429.85,6151,480
9-February-2024,470.95,470.95,447.55,466.45,2892,350
8-February-2024,483.95,484.4,462.5,470.25,16623,1279
7-February-2024,457.4,486.4,452.0,469.8,8082,643
6-February-2024,457.0,463.15,444.8,449.4,4868,403
5-February-2024,440.9,467.0,440.9,452.0,28618,2119
2-February-2024,442.15,454.2,435.1,440.85,8949,595
1-February-2024,427.1,439.15,426.45,434.7,2800,284
31-January-2024,415.1,423.6,415.0,421.35,5985,368
30-January-2024,430.35,430.35,416.0,416.75,1839,227
29-January-2024,412.7,428.2,412.7,418.7,4537,387
25-January-2024,421.0,437.0,414.0,419.05,4695,464
24-January-2024,407.5,421.4,407.5,420.85,250,54
23-January-2024,431.0,435.2,412.55,414.1,1731,243
20-January-2024,434.8,442.8,422.0,423.3,3175,393
19-January-2024,411.1,439.9,407.1,422.2,19727,1740
18-January-2024,407.5,410.85,402.5,408.55,5222,410
17-January-2024,417.0,417.0,405.1,407.2,2410,334
16-January-2024,420.8,420.95,411.7,415.7,3921,373
15-January-2024,413.2,419.65,412.0,419.5,1221,175
12-January-2024,425.0,425.0,411.7,413.25,2171,286
11-January-2024,416.0,422.85,412.35,419.7,7561,485
10-January-2024,421.7,421.7,408.8,411.65,3752,407
9-January-2024,423.3,423.45,416.85,419.1,3984,186
8-January-2024,476.05,476.05,416.75,419.55,4080,327
5-January-2024,403.0,422.0,403.0,417.8,14091,659
4-January-2024,409.55,409.7,406.0,407.05,284,43
3-January-2024,407.95,407.95,405.0,406.05,382,55
2-January-2024,409.7,410.6,403.0,408.6,1393,113
1-January-2024,428.9,428.9,408.25,408.75,486,50
29-December-2023,413.0,414.95,406.25,408.9,6074,539
28-December-2023,412.65,412.65,404.5,408.85,1451,80
27-December-2023,409.0,409.5,402.4,403.25,4262,289
26-December-2023,412.7,412.7,405.0,406.35,1433,80
22-December-2023,413.0,413.0,400.0,404.6,3827,336
21-December-2023,418.4,418.4,395.95,406.75,1421,116
20-December-2023,409.7,409.7,399.95,400.35,1397,120
19-December-2023,414.55,414.8,408.2,408.95,1269,147
18-December-2023,424.0,429.95,411.05,412.45,12645,783
15-December-2023,408.0,411.35,399.2,400.45,3889,358
14-December-2023,408.2,411.15,401.0,407.3,1330,122
13-December-2023,400.0,405.55,400.0,403.85,3567,325
12-December-2023,410.3,411.25,400.0,404.15,8680,421
11-December-2023,394.2,407.35,394.2,406.0,3416,216
8-December-2023,400.55,401.25,393.0,394.3,2214,227
7-December-2023,412.0,412.0,397.0,400.5,7394,452
6-December-2023,425.6,426.45,410.8,412.2,1907,227
5-December-2023,427.4,427.45,416.0,418.15,3652,242
4-December-2023,429.0,431.2,421.75,424.05,6338,406
1-December-2023,427.5,429.05,425.0,425.9,2011,120
30-November-2023,430.0,431.1,425.4,426.0,1859,225
29-November-2023,424.8,429.0,421.1,424.9,1288,126
28-November-2023,434.05,434.05,422.5,422.85,779,171
24-November-2023,440.0,446.35,424.9,425.5,1150,299
23-November-2023,420.25,451.7,420.25,438.75,5421,637
22-November-2023,429.6,429.6,421.45,422.55,852,77
21-November-2023,434.7,434.75,428.0,429.1,4174,179
20-November-2023,421.95,435.0,421.9,427.55,3636,400
17-November-2023,423.6,425.85,415.0,421.9,4122,380
16-November-2023,428.05,429.55,423.0,423.85,1125,91
15-November-2023,429.05,432.0,422.4,427.95,1999,194
13-November-2023,453.85,453.85,421.0,422.15,1454,212
12-November-2023,440.65,443.75,428.8,434.3,2528,181
10-November-2023,449.9,449.9,426.3,433.35,2035,252
9-November-2023,444.4,446.4,427.7,429.85,2108,281
8-November-2023,459.0,459.0,433.2,438.95,7667,805
7-November-2023,459.95,464.2,446.15,448.15,17181,977
6-November-2023,431.05,464.75,430.0,456.45,33795,2179
3-November-2023,421.7,423.2,408.0,411.95,1673,200
2-November-2023,416.2,421.6,413.5,416.25,1163,109
1-November-2023,414.8,423.0,413.65,415.25,1942,209
31-October-2023,420.65,420.65,409.95,412.95,2057,237
30-October-2023,400.1,429.6,400.1,419.65,3709,364
27-October-2023,387.25,422.35,374.5,414.15,7994,779
26-October-2023,384.0,390.6,376.75,387.15,864,150
25-October-2023,382.25,401.95,382.25,387.1,878,132
23-October-2023,405.85,405.85,386.0,390.05,2081,221
20-October-2023,411.95,414.75,400.75,401.8,4118,377
19-October-2023,426.0,426.0,407.45,413.6,3085,313
18-October-2023,414.6,432.7,412.1,415.3,1585,147
17-October-2023,422.55,422.55,410.0,411.8,4025,364
16-October-2023,419.35,427.0,413.65,416.6,3008,405
13-October-2023,418.65,423.85,417.6,419.3,681,103
12-October-2023,421.2,427.0,419.3,420.6,561,78
11-October-2023,415.95,425.65,414.25,418.2,3569,283
10-October-2023,407.75,421.3,404.8,410.95,4504,250
9-October-2023,430.0,430.0,407.0,407.95,4076,465
6-October-2023,423.6,428.3,421.0,423.15,404,43
5-October-2023,426.3,434.2,420.95,422.85,1623,132
4-October-2023,431.5,431.5,410.15,421.55,1580,187
3-October-2023,430.0,431.7,415.3,421.3,4178,313
29-September-2023,441.4,441.4,428.0,430.35,680,90
28-September-2023,432.95,447.8,428.65,431.55,3707,544
27-September-2023,437.3,437.3,422.8,431.05,1247,143
