Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,filename
28-June-2024,123.3,124.0,115.65,122.8,47782,1070,Prime Focus Limited
27-June-2024,127.9,127.9,117.4,122.35,59982,1613,Prime Focus Limited
26-June-2024,118.0,128.0,118.0,126.35,57797,1690,Prime Focus Limited
25-June-2024,111.0,121.5,111.0,117.6,295715,4393,Prime Focus Limited
24-June-2024,105.0,114.9,103.95,110.85,26435,1110,Prime Focus Limited
21-June-2024,100.55,109.4,100.45,105.15,64530,1874,Prime Focus Limited
20-June-2024,99.9,102.35,99.55,100.3,8648,223,Prime Focus Limited
19-June-2024,99.25,102.1,99.25,99.85,4748,120,Prime Focus Limited
18-June-2024,105.35,107.15,100.8,101.2,36514,337,Prime Focus Limited
14-June-2024,96.85,106.9,96.85,105.2,14411,469,Prime Focus Limited
13-June-2024,99.1,99.55,97.25,98.35,14207,279,Prime Focus Limited
12-June-2024,97.7,100.0,97.7,98.6,22095,481,Prime Focus Limited
11-June-2024,96.6,99.45,95.45,98.5,12770,381,Prime Focus Limited
10-June-2024,97.65,98.45,95.2,95.65,5244,162,Prime Focus Limited
7-June-2024,95.0,98.05,95.0,96.2,20863,702,Prime Focus Limited
6-June-2024,92.0,97.6,92.0,94.25,18054,307,Prime Focus Limited
5-June-2024,94.15,94.3,89.0,91.85,3951,103,Prime Focus Limited
4-June-2024,99.6,99.9,82.2,91.35,30808,740,Prime Focus Limited
3-June-2024,109.9,109.9,99.05,99.7,23646,652,Prime Focus Limited
31-May-2024,98.7,102.6,98.7,102.4,8818,217,Prime Focus Limited
30-May-2024,105.9,105.9,100.95,103.55,8060,384,Prime Focus Limited
29-May-2024,107.95,108.05,104.25,105.75,23016,664,Prime Focus Limited
28-May-2024,98.45,108.7,94.8,105.25,12842,505,Prime Focus Limited
27-May-2024,99.5,100.2,98.2,98.35,1714,62,Prime Focus Limited
24-May-2024,98.7,101.0,97.4,98.45,4004,162,Prime Focus Limited
