Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades
28-June-2024,48.0,48.94,46.51,46.93,67510,235
27-June-2024,49.0,52.99,45.99,47.43,161159,502
26-June-2024,49.9,51.5,48.41,48.72,97008,297
25-June-2024,48.26,52.0,44.51,49.9,185538,607
24-June-2024,49.0,50.5,46.79,48.9,13373,138
21-June-2024,51.95,51.95,48.13,49.49,58961,255
20-June-2024,52.46,52.46,49.12,50.03,13396,199
19-June-2024,53.45,53.59,49.0,50.53,51256,325
18-June-2024,52.2,53.7,50.5,52.67,190776,706
14-June-2024,45.8,53.45,44.26,52.12,199871,699
13-June-2024,44.93,49.0,42.82,45.86,79300,536
12-June-2024,42.26,43.5,42.26,43.29,11221,94
11-June-2024,44.8,45.5,42.05,44.3,62226,375
10-June-2024,38.5,46.0,38.02,43.88,87027,425
7-June-2024,39.45,39.45,37.97,38.59,19725,120
6-June-2024,37.5,39.15,36.14,38.05,10815,93
5-June-2024,37.3,37.3,35.0,37.05,20771,163
4-June-2024,38.65,38.65,35.74,36.93,49189,232
3-June-2024,38.47,39.4,36.4,37.62,53642,184
31-May-2024,38.4,38.95,37.1,37.96,6796,98
30-May-2024,39.43,39.43,37.8,38.39,6989,75
29-May-2024,39.5,39.5,38.35,38.66,5727,61
28-May-2024,38.4,39.8,38.3,39.05,18021,140
27-May-2024,39.13,39.5,38.34,38.59,16436,130
24-May-2024,37.85,39.64,37.85,39.11,13853,137
23-May-2024,40.5,40.51,38.0,38.64,58121,322
22-May-2024,42.4,43.12,39.85,40.76,18984,171
21-May-2024,43.3,43.52,41.68,42.36,6156,64
18-May-2024,42.9,43.9,39.84,42.67,7782,66
17-May-2024,43.0,43.0,41.4,41.91,9233,125
16-May-2024,41.2,42.94,41.2,41.66,25847,132
15-May-2024,43.09,43.09,40.82,41.92,31917,194
14-May-2024,42.96,42.96,40.4,41.59,8590,122
13-May-2024,42.74,42.74,41.05,41.63,37341,184
10-May-2024,38.6,42.19,37.0,41.68,73096,443
9-May-2024,39.6,41.0,37.66,39.19,80724,182
8-May-2024,39.9,40.45,38.31,39.12,7347,98
7-May-2024,40.1,41.48,38.05,38.81,18714,118
6-May-2024,44.5,44.5,39.65,40.57,35879,268
3-May-2024,42.0,43.96,42.0,42.58,34196,115
2-May-2024,41.37,43.13,41.37,41.88,23622,106
30-April-2024,39.64,41.37,39.64,41.08,47508,141
29-April-2024,39.05,39.8,38.86,39.4,21803,72
26-April-2024,40.74,40.74,39.15,39.27,8420,61
25-April-2024,39.5,40.1,39.0,40.07,13518,69
24-April-2024,41.45,41.45,38.15,38.88,10826,86
23-April-2024,38.8,39.8,37.3,39.49,9995,94
22-April-2024,36.8,38.9,36.8,38.02,10225,65
19-April-2024,38.48,38.6,36.5,37.3,5817,45
18-April-2024,38.98,38.98,37.1,37.25,24983,111
16-April-2024,36.29,37.9,36.29,37.7,6872,57
15-April-2024,37.01,39.27,36.3,37.74,26762,104
12-April-2024,39.49,39.85,37.01,38.21,13891,81
10-April-2024,39.1,39.1,37.75,38.4,4196,68
9-April-2024,39.9,39.9,39.0,39.04,11395,69
8-April-2024,39.68,40.99,39.25,39.61,24039,76
5-April-2024,40.75,40.99,39.01,39.71,19883,93
4-April-2024,40.9,41.2,39.55,40.45,8783,78
3-April-2024,37.5,39.4,37.45,39.26,14301,79
2-April-2024,36.46,37.67,35.5,37.53,12783,100
1-April-2024,35.6,36.25,35.6,35.88,10925,66
28-March-2024,37.0,37.0,34.6,34.88,35612,119
27-March-2024,38.35,38.35,35.6,36.33,24458,120
26-March-2024,37.75,39.63,37.3,37.42,9756,89
22-March-2024,39.51,42.0,38.65,39.23,30434,94
21-March-2024,37.84,40.45,37.51,40.13,8178,90
20-March-2024,40.97,40.97,37.73,38.55,7227,79
19-March-2024,39.32,39.33,39.13,39.33,38331,83
18-March-2024,36.99,37.46,36.95,37.46,7021,36
15-March-2024,34.99,37.06,34.99,35.68,11161,89
14-March-2024,34.3,35.31,31.95,35.31,9890,87
13-March-2024,34.0,36.8,33.41,33.63,38706,144
12-March-2024,37.9,37.9,35.15,35.16,36975,126
11-March-2024,37.0,38.5,35.45,36.99,18654,140
7-March-2024,39.21,39.21,37.26,37.3,43654,219
6-March-2024,40.0,41.7,39.22,39.22,20792,108
5-March-2024,42.74,42.74,39.91,41.28,72559,183
4-March-2024,43.59,43.59,40.76,42.01,20827,112
2-March-2024,42.99,43.7,42.25,42.81,2470,27
1-March-2024,44.0,44.0,42.0,42.07,61823,111
29-February-2024,41.75,44.62,41.0,42.96,30190,157
28-February-2024,42.65,44.19,41.2,42.5,26679,176
27-February-2024,43.5,44.49,42.9,43.22,23726,119
26-February-2024,43.8,45.2,43.2,44.0,21874,95
23-February-2024,45.5,47.0,43.6,44.5,45288,185
22-February-2024,46.5,47.98,44.89,45.5,37209,205
21-February-2024,47.0,48.45,46.05,47.25,14619,117
20-February-2024,49.2,49.2,47.32,47.92,27556,105
19-February-2024,46.94,49.25,46.0,48.63,37148,218
16-February-2024,48.5,48.5,46.0,46.94,11384,116
15-February-2024,47.5,48.7,45.25,46.98,30770,134
14-February-2024,47.0,47.2,45.21,46.39,11998,108
13-February-2024,45.0,48.5,44.2,46.77,62558,252
12-February-2024,45.94,47.9,43.45,46.52,74794,218
9-February-2024,48.95,48.95,45.0,45.66,74676,257
8-February-2024,48.5,49.9,47.0,47.36,45250,218
7-February-2024,45.99,48.14,45.9,47.9,90854,245
6-February-2024,47.25,48.54,45.64,45.86,45413,339
5-February-2024,49.47,49.47,46.9,48.04,61027,345
2-February-2024,50.92,50.92,48.26,48.5,59015,331
1-February-2024,50.01,51.98,48.69,49.73,90777,454
31-January-2024,53.8,53.8,50.0,51.25,52744,321
30-January-2024,54.0,55.0,50.08,52.11,374134,1388
29-January-2024,50.0,56.42,50.0,55.64,733567,2367
25-January-2024,38.6,47.02,38.6,47.02,719176,1656
24-January-2024,41.0,41.0,38.5,39.19,100547,408
23-January-2024,40.01,42.49,38.5,40.05,213712,663
20-January-2024,38.25,41.2,37.0,39.99,170063,751
19-January-2024,37.9,38.95,36.66,37.4,128893,468
18-January-2024,36.8,39.25,36.8,38.4,105464,295
17-January-2024,38.78,40.0,36.0,37.86,138297,760
16-January-2024,34.8,40.49,33.25,38.12,543861,1515
15-January-2024,33.9,36.3,32.15,33.88,108956,436
