Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades
28-June-2024,98.2,102.95,98.15,98.45,7096,61
27-June-2024,95.2,103.3,95.2,103.3,22924,87
26-June-2024,98.4,98.4,98.4,98.4,785,16
25-June-2024,103.55,103.55,103.55,103.55,22,7
24-June-2024,112.5,112.5,108.95,108.95,1263,17
21-June-2024,114.65,114.65,114.65,114.65,10,1
20-June-2024,117.1,117.1,116.95,116.95,1014,7
19-June-2024,121.95,121.95,118.1,118.9,2764,14
18-June-2024,117.3,119.6,117.0,119.6,3066,22
14-June-2024,117.3,117.3,117.3,117.3,263,3
13-June-2024,119.65,119.65,119.65,119.65,5,1
12-June-2024,119.65,120.1,119.65,120.1,80,5
11-June-2024,126.0,126.0,121.95,121.95,1040,12
10-June-2024,122.4,124.4,122.25,124.4,1101,13
7-June-2024,123.8,123.8,122.0,122.0,1978,14
6-June-2024,116.7,121.4,116.7,121.4,1097,10
5-June-2024,119.2,119.2,119.05,119.05,213,6
4-June-2024,121.45,121.45,121.45,121.45,841,9
3-June-2024,123.9,123.9,120.15,123.9,2858,16
31-May-2024,116.75,121.51,116.75,121.51,14862,40
30-May-2024,119.13,119.13,119.13,119.13,1067,5
29-May-2024,121.56,121.56,121.56,121.56,1479,5
28-May-2024,124.04,124.04,124.04,124.04,5641,5
27-May-2024,126.57,126.57,126.57,126.57,102,3
24-May-2024,129.15,129.15,129.15,129.15,11,4
23-May-2024,131.78,131.78,131.78,131.78,599,5
22-May-2024,134.46,134.46,134.46,134.46,541,6
21-May-2024,137.2,137.2,137.2,137.2,4058,19
18-May-2024,139.99,139.99,139.99,139.99,1,1
17-May-2024,137.25,137.25,137.25,137.25,943,12
16-May-2024,134.56,134.56,134.56,134.56,3317,16
15-May-2024,131.93,131.93,131.93,131.93,1012,5
14-May-2024,125.65,125.65,125.65,125.65,214,10
13-May-2024,119.6,119.67,119.6,119.67,1033,9
10-May-2024,113.0,113.98,110.2,113.98,4747,45
9-May-2024,114.9,115.43,107.05,108.56,14905,145
8-May-2024,104.25,110.67,103.0,109.94,23915,155
