Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades
28-June-2024,1139.0,1139.0,1048.2,1104.85,9633,403
27-June-2024,1177.0,1178.95,1100.0,1115.1,23695,670
26-June-2024,1015.0,1188.0,988.0,1114.5,47918,1553
25-June-2024,999.9,1023.9,955.5,1001.7,12191,435
24-June-2024,934.0,995.0,910.0,959.55,17376,438
21-June-2024,922.0,945.0,903.0,912.0,2639,137
20-June-2024,920.0,930.45,905.0,918.5,1349,69
19-June-2024,911.0,928.75,887.25,903.7,2356,67
18-June-2024,931.5,935.0,906.0,908.7,3348,88
14-June-2024,914.5,926.45,909.0,915.85,4422,88
13-June-2024,909.0,931.95,909.0,924.6,4918,96
12-June-2024,939.4,939.4,912.0,928.55,3368,125
11-June-2024,930.0,930.0,903.5,918.05,2060,48
10-June-2024,910.0,930.0,890.0,924.5,957,45
7-June-2024,889.95,925.0,889.95,919.45,4584,83
6-June-2024,891.9,908.95,880.1,883.7,3663,137
5-June-2024,870.05,895.4,844.0,852.35,4824,295
4-June-2024,903.0,909.0,859.0,879.05,2893,165
3-June-2024,962.0,965.0,900.0,923.7,4461,141
31-May-2024,949.0,949.0,910.0,914.35,1550,100
30-May-2024,940.0,940.05,918.5,921.75,2142,110
29-May-2024,978.25,980.95,927.0,943.85,3083,140
28-May-2024,961.9,1020.0,953.5,977.4,8357,188
27-May-2024,970.0,990.0,950.0,961.85,2653,75
24-May-2024,965.0,972.45,945.05,954.4,2830,81
23-May-2024,941.0,985.0,935.0,968.65,3584,129
22-May-2024,939.0,972.85,931.1,964.85,2202,77
21-May-2024,963.0,974.95,932.0,944.0,3534,163
18-May-2024,966.7,970.7,962.0,963.0,211,15
17-May-2024,945.3,964.75,945.05,947.0,673,36
16-May-2024,949.5,985.0,941.15,948.65,3724,194
15-May-2024,942.0,942.0,909.0,919.2,1319,63
14-May-2024,938.0,948.5,912.1,937.65,604,39
13-May-2024,945.0,959.0,910.0,932.0,1346,59
10-May-2024,939.9,950.0,939.9,942.0,1121,51
9-May-2024,959.9,959.9,932.1,933.1,472,35
8-May-2024,958.7,958.7,933.3,950.9,808,41
7-May-2024,949.95,951.95,921.3,934.65,1942,164
6-May-2024,974.15,977.0,940.0,949.95,3607,166
3-May-2024,979.0,988.0,955.0,974.15,6741,91
2-May-2024,985.0,998.75,970.0,973.9,1458,83
30-April-2024,1013.0,1013.0,970.0,975.9,2020,116
29-April-2024,1013.0,1013.0,963.7,976.2,6062,131
26-April-2024,989.35,1020.0,981.5,991.25,10995,170
25-April-2024,966.3,997.3,966.3,989.35,9957,175
24-April-2024,957.25,1000.0,950.0,980.9,10456,228
23-April-2024,976.0,994.0,955.05,957.25,7108,242
22-April-2024,968.95,1005.0,930.2,982.65,15079,389
19-April-2024,950.0,950.0,915.8,924.7,1428,101
18-April-2024,970.0,981.0,937.0,945.1,3837,141
16-April-2024,935.3,951.55,920.15,945.1,2188,114
15-April-2024,955.0,958.0,918.0,927.35,3617,115
12-April-2024,975.0,992.3,950.2,954.15,3853,116
10-April-2024,989.9,1010.0,929.9,975.4,6155,312
9-April-2024,973.35,987.0,960.0,964.95,3165,115
8-April-2024,993.5,993.6,968.4,973.35,4854,181
5-April-2024,974.9,985.0,953.0,968.4,4582,197
4-April-2024,985.0,993.8,953.25,966.0,3102,210
3-April-2024,969.5,992.0,930.0,976.2,5059,243
2-April-2024,950.05,999.0,945.0,951.95,4281,300
1-April-2024,941.4,999.7,941.3,974.95,10642,730
28-March-2024,840.1,924.5,820.0,907.55,6913,429
