Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,filename
28-June-2024,156.0,160.0,155.2,156.0,34882,1024,Refex Industries Limited
27-June-2024,165.0,165.0,156.8,157.4,60074,1457,Refex Industries Limited
26-June-2024,164.0,164.55,160.85,161.85,17517,518,Refex Industries Limited
25-June-2024,161.0,167.95,161.0,164.1,105719,2669,Refex Industries Limited
24-June-2024,155.75,162.85,155.75,160.9,99929,2135,Refex Industries Limited
21-June-2024,160.1,163.9,157.25,160.1,54401,1415,Refex Industries Limited
20-June-2024,169.7,169.7,158.95,160.0,88299,1867,Refex Industries Limited
19-June-2024,170.05,179.0,164.0,168.0,408468,4612,Refex Industries Limited
18-June-2024,152.7,172.0,152.7,165.3,464435,6009,Refex Industries Limited
14-June-2024,150.5,155.25,150.5,152.55,76668,2085,Refex Industries Limited
13-June-2024,154.35,156.0,150.8,151.3,63018,1717,Refex Industries Limited
12-June-2024,153.7,159.05,150.2,151.95,43523,1626,Refex Industries Limited
11-June-2024,157.45,160.0,153.0,153.7,49444,1572,Refex Industries Limited
10-June-2024,154.9,162.85,154.85,155.8,280900,6953,Refex Industries Limited
7-June-2024,145.05,157.0,143.0,151.8,312871,6782,Refex Industries Limited
6-June-2024,135.9,139.85,134.9,139.85,83764,962,Refex Industries Limited
5-June-2024,130.55,137.15,124.55,133.2,83772,2628,Refex Industries Limited
4-June-2024,137.0,140.0,130.35,131.1,60212,920,Refex Industries Limited
3-June-2024,141.8,141.85,136.35,137.2,144050,2277,Refex Industries Limited
31-May-2024,135.05,136.05,133.0,135.1,52116,1463,Refex Industries Limited
30-May-2024,138.9,138.9,134.0,134.7,22148,869,Refex Industries Limited
29-May-2024,135.0,139.75,134.6,137.2,83398,2217,Refex Industries Limited
28-May-2024,144.0,144.7,135.9,137.35,42292,1672,Refex Industries Limited
27-May-2024,137.0,146.95,136.55,142.8,164932,3330,Refex Industries Limited
24-May-2024,147.2,154.85,143.05,143.05,182461,4603,Refex Industries Limited
23-May-2024,154.0,156.8,148.5,150.55,92020,2382,Refex Industries Limited
22-May-2024,159.8,159.85,152.0,153.75,28738,1334,Refex Industries Limited
21-May-2024,151.05,158.1,151.05,157.85,59601,884,Refex Industries Limited
18-May-2024,149.6,152.75,149.6,150.6,10230,242,Refex Industries Limited
17-May-2024,147.05,151.8,147.05,149.55,21567,771,Refex Industries Limited
16-May-2024,155.0,155.0,147.45,149.0,49301,1254,Refex Industries Limited
15-May-2024,150.75,156.0,149.4,152.75,72894,1138,Refex Industries Limited
14-May-2024,145.0,150.75,144.35,150.75,20807,379,Refex Industries Limited
13-May-2024,145.1,145.9,139.3,143.6,30000,777,Refex Industries Limited
10-May-2024,148.8,148.8,141.05,144.8,137759,3028,Refex Industries Limited
9-May-2024,156.15,156.2,148.35,148.35,101221,1928,Refex Industries Limited
8-May-2024,152.85,159.15,150.45,156.15,126853,1203,Refex Industries Limited
7-May-2024,155.2,156.65,149.9,151.6,88578,2482,Refex Industries Limited
