Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,filename
28-June-2024,642.75,646.15,625.3,629.9,1791,304,Repro India Ltd.
27-June-2024,653.75,657.3,640.75,641.4,1238,161,Repro India Ltd.
26-June-2024,665.0,680.0,649.05,650.65,1582,183,Repro India Ltd.
25-June-2024,663.1,686.1,660.0,660.85,796,176,Repro India Ltd.
24-June-2024,664.55,678.05,659.95,663.05,1445,191,Repro India Ltd.
21-June-2024,679.7,699.1,660.25,664.05,1207,223,Repro India Ltd.
20-June-2024,672.55,692.25,667.55,678.75,1492,239,Repro India Ltd.
19-June-2024,696.25,697.95,670.85,673.9,2045,279,Repro India Ltd.
18-June-2024,689.55,693.65,680.0,689.35,462,90,Repro India Ltd.
14-June-2024,696.8,698.4,683.25,686.85,599,101,Repro India Ltd.
13-June-2024,716.3,716.3,690.4,691.7,606,125,Repro India Ltd.
12-June-2024,690.7,710.65,688.3,702.25,1203,182,Repro India Ltd.
11-June-2024,699.15,699.15,680.25,690.7,1617,294,Repro India Ltd.
10-June-2024,675.25,706.0,663.2,692.85,1788,296,Repro India Ltd.
7-June-2024,678.45,681.85,667.45,675.25,844,177,Repro India Ltd.
6-June-2024,699.15,699.15,661.75,665.1,3836,536,Repro India Ltd.
5-June-2024,719.7,719.7,664.85,669.0,2506,450,Repro India Ltd.
4-June-2024,718.0,718.0,656.6,705.55,1639,357,Repro India Ltd.
3-June-2024,720.05,733.0,704.9,713.4,450,132,Repro India Ltd.
31-May-2024,747.75,747.75,712.85,715.9,294,114,Repro India Ltd.
30-May-2024,732.45,739.6,715.5,717.1,626,167,Repro India Ltd.
29-May-2024,744.05,744.05,730.85,732.45,703,173,Repro India Ltd.
28-May-2024,762.9,762.9,738.0,744.05,1010,254,Repro India Ltd.
27-May-2024,812.0,812.0,756.5,762.9,951,220,Repro India Ltd.
24-May-2024,770.0,787.7,761.95,778.3,2103,354,Repro India Ltd.
23-May-2024,775.25,795.55,775.25,776.4,547,80,Repro India Ltd.
22-May-2024,774.05,774.05,763.1,763.1,18,11,Repro India Ltd.
21-May-2024,805.4,805.4,763.0,763.0,842,189,Repro India Ltd.
18-May-2024,770.0,772.6,765.75,770.7,64,11,Repro India Ltd.
17-May-2024,769.25,772.05,766.35,770.0,362,124,Repro India Ltd.
16-May-2024,770.05,776.45,763.2,769.25,898,215,Repro India Ltd.
15-May-2024,799.05,799.05,764.6,783.15,598,88,Repro India Ltd.
14-May-2024,783.0,831.0,775.05,779.65,2529,274,Repro India Ltd.
13-May-2024,793.0,793.0,740.0,759.15,867,167,Repro India Ltd.
10-May-2024,797.15,822.1,785.0,790.05,1352,438,Repro India Ltd.
9-May-2024,815.5,830.75,790.05,801.95,461,94,Repro India Ltd.
8-May-2024,826.2,830.5,820.75,824.05,668,180,Repro India Ltd.
7-May-2024,848.65,848.65,818.8,826.2,1207,227,Repro India Ltd.
6-May-2024,857.05,861.25,836.8,850.0,1137,167,Repro India Ltd.
3-May-2024,851.4,860.9,828.3,839.9,983,144,Repro India Ltd.
2-May-2024,843.8,865.25,843.35,848.45,270,56,Repro India Ltd.
30-April-2024,835.1,884.05,832.55,843.3,1819,258,Repro India Ltd.
29-April-2024,846.95,846.95,811.65,811.65,138,28,Repro India Ltd.
26-April-2024,820.35,823.3,809.15,810.45,504,100,Repro India Ltd.
25-April-2024,800.0,830.85,800.0,830.35,535,77,Repro India Ltd.
24-April-2024,822.1,823.15,801.7,802.4,217,46,Repro India Ltd.
23-April-2024,805.0,814.75,804.25,805.65,261,39,Repro India Ltd.
22-April-2024,823.4,823.4,795.4,800.25,586,143,Repro India Ltd.
19-April-2024,808.8,808.8,792.9,797.95,66,19,Repro India Ltd.
18-April-2024,820.8,822.85,788.7,792.9,689,91,Repro India Ltd.
16-April-2024,813.7,832.1,810.0,810.55,191,64,Repro India Ltd.
15-April-2024,812.95,833.0,797.1,812.7,1607,182,Repro India Ltd.
12-April-2024,829.85,844.65,819.0,824.9,470,91,Repro India Ltd.
10-April-2024,817.0,825.05,808.4,821.65,148,34,Repro India Ltd.
9-April-2024,821.55,831.05,808.2,816.45,278,56,Repro India Ltd.
8-April-2024,835.3,837.8,807.5,820.3,521,137,Repro India Ltd.
5-April-2024,850.0,850.0,825.0,826.3,414,38,Repro India Ltd.
4-April-2024,857.05,862.0,837.7,845.85,1193,312,Repro India Ltd.
3-April-2024,851.05,867.55,840.5,847.05,1673,297,Repro India Ltd.
2-April-2024,839.65,860.25,839.65,854.7,644,100,Repro India Ltd.
1-April-2024,993.95,993.95,805.6,821.1,2729,737,Repro India Ltd.
28-March-2024,770.4,864.2,770.4,831.45,7152,857,Repro India Ltd.
27-March-2024,771.45,810.0,732.6,748.6,1343,178,Repro India Ltd.
26-March-2024,800.0,800.0,760.0,764.0,615,102,Repro India Ltd.
22-March-2024,805.05,812.9,773.05,785.65,956,249,Repro India Ltd.
21-March-2024,809.7,815.5,801.05,804.35,305,89,Repro India Ltd.
20-March-2024,787.0,818.25,778.4,807.35,1400,322,Repro India Ltd.
19-March-2024,755.55,784.55,755.55,780.2,859,212,Repro India Ltd.
18-March-2024,741.0,757.8,741.0,755.55,430,89,Repro India Ltd.
15-March-2024,786.95,786.95,723.25,730.2,878,405,Repro India Ltd.
14-March-2024,648.0,764.15,648.0,753.05,2469,423,Repro India Ltd.
13-March-2024,723.9,723.9,664.85,675.25,639,199,Repro India Ltd.
12-March-2024,767.0,767.0,709.35,716.95,1366,229,Repro India Ltd.
11-March-2024,814.0,814.0,757.5,761.95,3149,373,Repro India Ltd.
7-March-2024,829.85,829.85,807.3,810.65,1153,280,Repro India Ltd.
6-March-2024,838.0,848.9,808.0,825.8,613,67,Repro India Ltd.
5-March-2024,853.15,857.2,833.85,838.3,592,117,Repro India Ltd.
4-March-2024,899.9,899.9,845.0,861.65,2115,72,Repro India Ltd.
2-March-2024,877.7,882.25,833.0,852.9,2043,86,Repro India Ltd.
1-March-2024,870.9,884.05,866.75,873.85,180,28,Repro India Ltd.
29-February-2024,849.4,874.85,840.05,865.55,127,41,Repro India Ltd.
28-February-2024,861.0,895.35,835.2,856.65,2458,313,Repro India Ltd.
27-February-2024,919.65,919.65,868.0,871.75,540,151,Repro India Ltd.
26-February-2024,887.6,912.4,840.0,891.25,5731,752,Repro India Ltd.
23-February-2024,889.5,893.9,866.0,870.3,1793,252,Repro India Ltd.
22-February-2024,845.1,892.45,824.1,877.35,7657,680,Repro India Ltd.
21-February-2024,898.95,898.95,841.4,845.1,9459,814,Repro India Ltd.
20-February-2024,769.05,938.0,769.05,892.45,17098,3128,Repro India Ltd.
19-February-2024,792.25,794.95,775.1,784.7,433,100,Repro India Ltd.
16-February-2024,797.6,799.0,784.05,788.9,641,88,Repro India Ltd.
