Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,filename
28-June-2024,224.0,227.95,222.35,223.25,8081,430,SMS Pharmaceuticals Ltd
27-June-2024,230.65,230.65,219.0,220.75,58758,1376,SMS Pharmaceuticals Ltd
26-June-2024,233.0,233.0,225.3,226.45,13655,521,SMS Pharmaceuticals Ltd
25-June-2024,240.0,240.0,227.4,228.4,29847,906,SMS Pharmaceuticals Ltd
24-June-2024,225.4,235.0,224.0,232.05,72130,2158,SMS Pharmaceuticals Ltd
21-June-2024,243.0,249.9,233.25,237.1,88388,1523,SMS Pharmaceuticals Ltd
20-June-2024,219.45,245.0,216.7,240.15,218607,4739,SMS Pharmaceuticals Ltd
19-June-2024,206.0,220.0,206.0,216.0,45386,1082,SMS Pharmaceuticals Ltd
18-June-2024,202.0,210.9,202.0,208.15,6846,177,SMS Pharmaceuticals Ltd
14-June-2024,210.65,211.95,206.45,207.75,12069,409,SMS Pharmaceuticals Ltd
13-June-2024,211.5,213.95,208.4,208.9,14425,550,SMS Pharmaceuticals Ltd
12-June-2024,209.95,213.75,206.2,208.55,44878,1127,SMS Pharmaceuticals Ltd
11-June-2024,204.95,207.3,203.0,206.25,7751,248,SMS Pharmaceuticals Ltd
10-June-2024,202.3,207.0,201.45,202.6,32340,919,SMS Pharmaceuticals Ltd
7-June-2024,202.0,203.5,199.0,200.8,29311,711,SMS Pharmaceuticals Ltd
6-June-2024,189.85,199.2,189.85,197.05,14226,449,SMS Pharmaceuticals Ltd
5-June-2024,181.0,193.0,178.5,189.9,12423,339,SMS Pharmaceuticals Ltd
4-June-2024,188.6,192.9,176.0,182.75,17413,375,SMS Pharmaceuticals Ltd
3-June-2024,206.9,206.9,189.55,193.05,17561,442,SMS Pharmaceuticals Ltd
31-May-2024,203.75,204.05,196.75,197.95,13902,403,SMS Pharmaceuticals Ltd
30-May-2024,213.9,215.95,196.15,198.75,43167,1037,SMS Pharmaceuticals Ltd
29-May-2024,211.7,221.9,208.0,211.35,142118,3485,SMS Pharmaceuticals Ltd
28-May-2024,210.45,219.8,207.65,209.9,19276,604,SMS Pharmaceuticals Ltd
27-May-2024,201.1,209.25,201.1,206.65,13176,338,SMS Pharmaceuticals Ltd
24-May-2024,198.7,206.75,198.7,204.65,18928,1076,SMS Pharmaceuticals Ltd
23-May-2024,202.15,209.9,200.6,201.1,36533,866,SMS Pharmaceuticals Ltd
22-May-2024,204.05,209.4,202.5,203.55,16432,518,SMS Pharmaceuticals Ltd
21-May-2024,214.95,214.95,204.65,205.3,16734,906,SMS Pharmaceuticals Ltd
18-May-2024,204.5,209.0,203.05,205.7,5230,179,SMS Pharmaceuticals Ltd
17-May-2024,208.8,208.8,205.1,206.7,10017,354,SMS Pharmaceuticals Ltd
16-May-2024,206.4,212.5,203.85,205.75,6535,270,SMS Pharmaceuticals Ltd
15-May-2024,205.65,207.75,204.15,204.85,27376,1234,SMS Pharmaceuticals Ltd
14-May-2024,202.3,205.9,201.45,204.15,19617,627,SMS Pharmaceuticals Ltd
13-May-2024,205.7,205.75,198.05,200.45,29412,694,SMS Pharmaceuticals Ltd
10-May-2024,202.65,205.0,200.25,203.55,46455,1338,SMS Pharmaceuticals Ltd
9-May-2024,213.5,213.5,201.05,202.0,56913,2999,SMS Pharmaceuticals Ltd
8-May-2024,210.05,213.7,205.55,207.75,51706,1874,SMS Pharmaceuticals Ltd
7-May-2024,195.1,212.7,194.15,209.65,227726,4084,SMS Pharmaceuticals Ltd
6-May-2024,201.0,202.75,195.0,196.75,64095,2241,SMS Pharmaceuticals Ltd
3-May-2024,205.8,206.65,199.0,200.9,107382,3336,SMS Pharmaceuticals Ltd
2-May-2024,206.6,206.6,197.8,205.5,78681,3480,SMS Pharmaceuticals Ltd
30-April-2024,208.05,210.35,204.1,204.55,40899,1625,SMS Pharmaceuticals Ltd
29-April-2024,213.1,213.1,206.35,207.15,71117,3291,SMS Pharmaceuticals Ltd
26-April-2024,208.45,210.2,206.0,207.85,46141,1851,SMS Pharmaceuticals Ltd
25-April-2024,207.05,212.75,207.05,208.5,34918,1788,SMS Pharmaceuticals Ltd
24-April-2024,211.45,215.75,207.3,208.7,32791,1319,SMS Pharmaceuticals Ltd
23-April-2024,218.75,218.75,209.95,211.35,19691,1142,SMS Pharmaceuticals Ltd
22-April-2024,209.9,219.3,206.35,213.95,76112,2499,SMS Pharmaceuticals Ltd
19-April-2024,202.3,207.35,200.55,206.15,148461,5164,SMS Pharmaceuticals Ltd
18-April-2024,212.85,214.2,205.25,206.6,76368,2869,SMS Pharmaceuticals Ltd
16-April-2024,209.85,211.9,201.6,208.65,91213,3483,SMS Pharmaceuticals Ltd
15-April-2024,202.95,210.0,192.15,202.5,71506,3608,SMS Pharmaceuticals Ltd
12-April-2024,207.2,209.5,203.25,204.15,80220,4206,SMS Pharmaceuticals Ltd
10-April-2024,212.95,214.85,205.85,207.1,84003,2589,SMS Pharmaceuticals Ltd
9-April-2024,207.75,217.6,203.75,211.7,61892,1911,SMS Pharmaceuticals Ltd
8-April-2024,209.65,210.15,202.5,203.45,127472,5285,SMS Pharmaceuticals Ltd
5-April-2024,205.35,211.05,201.0,205.6,197504,5006,SMS Pharmaceuticals Ltd
4-April-2024,187.0,205.0,186.4,198.7,138450,3239,SMS Pharmaceuticals Ltd
