Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades
28-June-2024,17.5,18.0,17.49,17.49,860,18
27-June-2024,18.83,18.83,17.55,17.78,6825,91
26-June-2024,17.71,18.6,17.71,18.46,10981,154
25-June-2024,18.89,18.89,17.62,18.11,29361,88
24-June-2024,17.8,19.75,16.88,18.16,75389,322
21-June-2024,17.04,17.4,17.04,17.4,2196,43
20-June-2024,17.89,18.38,16.5,17.04,47814,343
19-June-2024,17.5,18.0,16.36,17.52,15984,116
18-June-2024,16.1,17.28,16.0,16.74,48977,159
14-June-2024,16.03,16.9,15.9,16.42,51706,133
13-June-2024,15.48,16.21,15.28,15.73,9165,73
12-June-2024,15.72,15.72,14.95,15.17,8069,135
11-June-2024,15.5,16.19,15.0,15.41,33393,205
10-June-2024,16.93,16.93,15.71,15.93,15652,129
7-June-2024,15.55,18.0,15.55,16.19,91920,378
6-June-2024,14.86,15.29,14.86,15.16,3970,41
5-June-2024,14.9,15.01,14.9,14.99,103,4
4-June-2024,15.45,15.45,14.2,14.61,2587,31
3-June-2024,14.83,15.53,14.83,15.27,7422,123
31-May-2024,15.6,15.6,14.6,14.83,4587,92
30-May-2024,15.59,15.59,14.76,15.1,2839,55
29-May-2024,14.91,15.45,14.91,15.07,2108,41
28-May-2024,15.58,15.58,15.06,15.17,317,11
27-May-2024,14.82,15.53,14.82,15.27,6391,72
24-May-2024,15.65,15.65,14.8,15.25,4926,65
23-May-2024,15.48,15.85,15.17,15.57,4046,64
22-May-2024,16.0,16.0,15.16,15.18,2476,45
21-May-2024,15.7,16.98,15.47,15.78,7497,47
18-May-2024,15.46,15.6,14.86,15.45,259,6
17-May-2024,15.98,15.98,15.05,15.16,3699,45
16-May-2024,15.22,15.73,15.2,15.46,11673,23
15-May-2024,15.2,15.63,15.2,15.21,1830,38
14-May-2024,14.57,16.0,14.55,15.57,44973,108
13-May-2024,14.9,15.09,14.33,14.79,756,19
10-May-2024,14.5,14.79,14.5,14.61,2255,139
9-May-2024,15.27,15.27,14.55,14.71,751,78
8-May-2024,15.02,15.38,14.69,14.95,19242,146
7-May-2024,15.73,15.73,15.12,15.4,1824,39
6-May-2024,15.6,15.6,15.54,15.55,1108,141
3-May-2024,15.6,16.13,15.5,15.77,1988,45
2-May-2024,16.0,16.0,15.71,15.91,1522,161
30-April-2024,15.85,15.98,15.66,15.69,2136,189
29-April-2024,15.31,16.75,15.31,15.78,23747,181
26-April-2024,16.62,16.62,15.75,15.94,17664,217
25-April-2024,16.0,16.64,15.81,16.01,4391,229
24-April-2024,16.77,16.77,16.16,16.23,2885,104
23-April-2024,16.9,17.14,16.14,16.44,18620,224
22-April-2024,16.35,16.35,15.8,16.06,2809,81
19-April-2024,16.6,16.6,15.45,15.54,28806,301
18-April-2024,16.3,16.5,16.02,16.33,20468,92
16-April-2024,15.05,15.95,15.05,15.51,5274,237
15-April-2024,16.79,16.79,15.26,15.3,14742,290
12-April-2024,15.9,16.89,15.35,16.14,31674,192
10-April-2024,15.7,15.7,15.1,15.49,5743,229
9-April-2024,15.9,15.9,15.05,15.51,4643,215
8-April-2024,15.3,15.99,15.3,15.39,7175,244
5-April-2024,16.79,16.79,15.49,15.73,6160,173
4-April-2024,16.22,16.94,15.4,15.85,30082,102
