Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades
28-June-2024,753.0,761.05,750.0,752.0,14965,1190
27-June-2024,748.65,769.05,748.65,754.9,17146,1270
26-June-2024,748.2,774.8,748.2,763.0,37312,2029
25-June-2024,770.5,770.5,741.75,750.6,16345,799
24-June-2024,778.1,778.1,751.4,755.35,30436,1741
21-June-2024,779.75,784.9,771.25,776.45,26293,1176
20-June-2024,767.0,779.5,765.15,770.8,29670,1507
19-June-2024,762.7,771.25,740.45,765.9,24553,1776
18-June-2024,757.75,762.2,748.0,757.0,28619,1835
14-June-2024,763.95,770.5,751.1,759.45,23361,1075
13-June-2024,772.0,773.75,755.3,758.4,66514,2905
12-June-2024,754.95,792.55,754.4,777.25,198856,17970
11-June-2024,733.4,759.3,726.65,750.45,50390,1828
10-June-2024,720.25,729.7,713.85,725.1,45775,2498
7-June-2024,720.75,726.5,709.2,720.95,37049,2090
6-June-2024,753.75,753.75,714.2,718.7,776197,4429
5-June-2024,707.0,759.0,693.0,748.4,120843,5091
4-June-2024,666.2,712.65,633.6,691.35,144892,5713
3-June-2024,656.45,683.2,655.5,672.3,902840,4457
31-May-2024,673.95,678.65,654.35,656.75,44235,2295
30-May-2024,648.05,674.9,648.05,670.6,47895,1878
29-May-2024,660.0,668.8,649.4,653.45,27911,1097
28-May-2024,637.0,676.0,636.8,660.15,178402,4975
27-May-2024,665.85,671.35,633.55,636.4,66816,3627
24-May-2024,671.65,672.0,660.65,665.5,20311,1529
23-May-2024,675.6,675.6,663.0,667.55,11493,666
22-May-2024,673.05,677.0,661.0,674.85,9405,616
21-May-2024,680.0,680.0,665.5,667.4,16030,1242
18-May-2024,660.2,680.65,660.2,675.05,1217,252
17-May-2024,668.0,676.0,666.4,674.25,14172,1044
16-May-2024,660.9,672.0,658.3,670.05,16174,1177
15-May-2024,674.0,674.0,657.7,661.25,20385,1068
14-May-2024,672.0,680.6,665.6,669.05,26620,1998
13-May-2024,670.0,674.3,656.65,670.2,39947,1708
10-May-2024,659.95,675.55,650.5,670.0,56651,2156
9-May-2024,650.0,670.0,649.85,656.1,68685,3164
8-May-2024,626.95,651.95,625.7,649.85,26055,1576
7-May-2024,653.85,653.85,626.9,633.75,9526,774
6-May-2024,659.95,661.0,646.35,653.05,7814,565
3-May-2024,661.1,664.15,644.05,654.75,17973,887
2-May-2024,655.75,663.0,651.25,657.4,9977,697
30-April-2024,655.95,666.35,654.05,655.3,27506,1620
29-April-2024,669.4,669.4,649.1,655.95,18868,993
26-April-2024,633.4,667.1,629.0,663.95,133167,4868
25-April-2024,620.2,637.25,617.55,635.25,24321,1097
24-April-2024,618.35,622.25,610.35,617.45,71273,892
23-April-2024,612.65,624.0,609.0,617.15,13906,754
22-April-2024,598.25,616.3,596.5,607.75,56687,1839
19-April-2024,584.45,604.0,584.45,597.4,23910,1202
18-April-2024,608.35,614.85,603.95,609.9,9496,523
16-April-2024,599.45,614.15,599.45,605.65,13763,676
15-April-2024,610.25,623.0,600.75,607.2,52987,1759
12-April-2024,629.95,632.9,616.7,619.2,91763,1086
10-April-2024,597.55,633.65,596.3,630.5,56487,2028
9-April-2024,612.3,612.3,593.85,595.5,19174,855
8-April-2024,628.95,628.95,607.5,608.55,19900,1365
5-April-2024,618.75,627.0,614.7,623.1,17528,795
4-April-2024,625.0,628.8,615.0,619.0,15409,644
3-April-2024,621.0,626.0,616.55,620.3,21754,868
2-April-2024,613.2,619.35,607.2,616.0,37141,767
1-April-2024,601.85,612.7,598.8,610.65,17141,876
28-March-2024,606.65,606.65,593.15,600.75,5712,572
27-March-2024,592.45,601.0,587.3,596.0,19731,1032
26-March-2024,586.0,594.0,583.2,585.4,15168,654
22-March-2024,593.5,594.15,585.25,586.6,9525,601
21-March-2024,580.95,596.0,580.95,594.15,20885,639
20-March-2024,579.15,580.35,567.65,575.95,11057,687
19-March-2024,599.35,599.35,573.4,575.0,8013,800
18-March-2024,590.25,598.5,588.1,591.4,12037,811
15-March-2024,590.45,598.5,581.25,590.6,7016,439
14-March-2024,585.0,600.8,579.45,593.55,14663,703
13-March-2024,602.25,618.7,582.2,586.7,123239,3522
12-March-2024,614.75,617.0,605.05,608.55,7972,482
11-March-2024,629.85,629.85,611.0,614.45,7948,360
7-March-2024,627.35,630.2,617.45,622.05,19362,1014
6-March-2024,646.65,646.65,598.15,616.1,56651,2931
5-March-2024,638.8,648.3,636.0,643.95,16764,779
4-March-2024,628.95,639.9,619.85,638.8,23040,1450
2-March-2024,625.85,630.75,613.85,629.3,1624,282
1-March-2024,619.95,623.35,611.85,613.6,6733,401
29-February-2024,595.6,618.95,595.6,614.7,15398,791
28-February-2024,622.95,623.1,603.85,606.25,15900,1110
27-February-2024,645.0,645.0,618.6,620.05,8104,393
26-February-2024,637.55,648.15,630.9,632.4,27901,1262
23-February-2024,627.75,638.3,621.0,634.4,10391,515
22-February-2024,610.15,627.1,607.55,624.45,10471,547
21-February-2024,622.1,622.1,608.3,610.15,18087,1254
20-February-2024,628.9,630.0,617.0,622.3,13374,646
19-February-2024,629.4,629.4,618.35,619.85,6500,476
16-February-2024,624.55,630.8,621.5,624.45,75764,851
15-February-2024,619.95,641.9,614.85,621.2,30956,1160
14-February-2024,618.5,629.1,608.6,627.05,13027,856
13-February-2024,600.2,615.3,599.1,613.65,10296,544
12-February-2024,624.4,625.5,604.45,606.3,12447,594
9-February-2024,635.8,636.75,618.75,622.3,18354,767
8-February-2024,638.4,654.5,637.25,638.7,18762,590
7-February-2024,641.05,644.65,634.95,640.35,7150,288
6-February-2024,651.85,651.85,639.0,640.35,10907,808
5-February-2024,642.0,671.0,630.7,645.05,15957,599
2-February-2024,647.9,665.0,647.9,650.35,10832,461
1-February-2024,659.1,667.95,646.9,654.6,15074,787
31-January-2024,664.35,667.0,655.0,658.7,13676,867
30-January-2024,659.9,671.0,654.0,656.05,19073,878
29-January-2024,646.3,666.0,646.3,659.75,23127,1337
25-January-2024,644.05,657.9,642.4,651.05,14737,838
24-January-2024,620.0,645.0,614.9,643.85,30559,1973
23-January-2024,664.9,664.9,617.5,619.95,92765,3362
20-January-2024,666.1,672.2,660.7,666.1,6243,281
19-January-2024,680.3,680.3,666.7,669.0,23506,1269
