Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades
28-June-2024,63.36,66.25,63.26,64.31,91485,1557
27-June-2024,63.0,66.69,62.27,63.36,146716,2323
26-June-2024,60.0,65.0,60.0,63.03,45219,671
25-June-2024,62.15,63.38,60.3,60.32,22411,264
24-June-2024,61.49,62.3,59.95,61.51,10608,360
21-June-2024,59.89,65.05,59.7,62.74,110405,1525
20-June-2024,59.32,59.93,58.33,59.0,21025,199
19-June-2024,60.44,60.44,57.95,58.19,12501,190
18-June-2024,59.0,59.9,58.02,59.07,38091,463
14-June-2024,57.75,59.8,57.12,58.18,29338,488
13-June-2024,57.4,59.3,56.3,57.54,59321,926
12-June-2024,55.2,58.3,55.0,57.09,25456,369
11-June-2024,52.0,55.06,52.0,54.12,6517,126
10-June-2024,54.77,54.77,53.25,53.29,4124,89
7-June-2024,53.67,54.0,53.45,53.7,957,22
6-June-2024,50.0,53.04,50.0,52.62,2441,72
5-June-2024,48.5,51.74,47.75,50.5,2631,46
4-June-2024,52.5,52.65,46.85,48.16,8676,254
3-June-2024,55.89,55.89,52.9,53.05,21249,202
31-May-2024,51.0,53.39,51.0,52.41,6764,231
30-May-2024,54.05,54.05,52.5,52.54,4952,117
29-May-2024,54.67,54.67,52.98,53.75,9202,319
28-May-2024,53.8,53.8,53.09,53.6,265,17
27-May-2024,53.16,54.7,53.16,53.74,11640,256
24-May-2024,55.42,55.42,54.0,54.46,7884,241
23-May-2024,55.0,55.4,54.43,54.79,9429,249
22-May-2024,54.48,56.3,54.48,54.86,2786,64
21-May-2024,55.81,56.6,55.45,55.58,17011,396
18-May-2024,55.45,56.95,55.45,56.95,80,7
17-May-2024,55.4,57.05,54.29,55.62,12657,237
16-May-2024,55.9,57.05,54.56,55.37,587,46
15-May-2024,56.63,57.25,56.0,56.75,6025,53
14-May-2024,56.2,56.69,55.45,56.63,3948,54
13-May-2024,53.04,55.9,53.04,55.1,1054,30
10-May-2024,54.11,55.05,53.35,54.12,12074,223
9-May-2024,57.51,57.65,54.55,54.94,15768,279
8-May-2024,55.93,58.7,55.93,57.18,14670,179
7-May-2024,58.0,58.95,56.5,57.07,4432,94
6-May-2024,59.8,59.8,57.3,58.0,6174,128
3-May-2024,59.01,60.5,58.5,58.58,15464,247
2-May-2024,60.25,60.8,59.81,59.97,19492,268
30-April-2024,59.14,60.25,59.14,60.01,7530,118
29-April-2024,59.12,60.58,59.12,59.26,4182,99
26-April-2024,59.05,60.35,59.0,59.06,2694,67
25-April-2024,58.67,60.6,58.67,59.65,13567,170
24-April-2024,63.37,63.37,59.56,59.87,9427,150
23-April-2024,57.95,62.99,57.5,61.13,16477,440
22-April-2024,55.24,57.63,55.24,57.61,1519,34
19-April-2024,57.0,57.0,55.23,55.84,12993,173
18-April-2024,56.92,58.79,56.41,57.41,23583,265
16-April-2024,55.65,56.31,55.3,55.8,6558,84
15-April-2024,54.01,56.27,54.01,55.73,17612,300
12-April-2024,57.5,57.99,56.59,56.97,15366,216
10-April-2024,58.29,58.29,56.82,57.6,10173,127
9-April-2024,57.74,58.19,57.2,57.65,945,23
8-April-2024,58.05,59.14,57.56,57.7,11925,145
5-April-2024,58.48,59.66,58.45,58.62,2805,58
4-April-2024,60.96,60.96,58.62,59.3,7652,231
3-April-2024,58.72,59.85,58.68,59.61,7669,115
2-April-2024,57.24,59.45,57.24,58.67,20608,235
1-April-2024,50.5,58.65,50.5,57.21,29855,459
28-March-2024,52.73,52.73,50.3,50.42,13321,172
27-March-2024,54.95,54.95,50.45,50.59,21953,168
26-March-2024,54.59,54.59,51.8,52.32,37843,314
22-March-2024,51.61,54.74,51.61,53.25,25143,284
21-March-2024,52.69,53.2,52.25,52.66,5044,44
20-March-2024,53.04,53.15,51.11,51.16,8966,88
19-March-2024,53.0,53.85,52.0,52.0,22957,123
18-March-2024,53.78,54.89,52.6,53.13,10234,115
15-March-2024,53.01,54.2,51.6,52.74,14908,168
14-March-2024,51.0,54.35,50.42,53.26,42629,429
13-March-2024,56.84,60.6,50.8,51.24,123002,1112
12-March-2024,59.85,59.85,56.5,56.83,17431,178
11-March-2024,61.93,62.28,59.31,59.59,27115,187
7-March-2024,61.6,62.28,61.35,61.89,6269,71
6-March-2024,65.49,65.49,60.45,61.22,19914,213
5-March-2024,63.65,66.2,63.45,64.21,29900,396
4-March-2024,65.16,66.45,64.35,64.7,4938,64
2-March-2024,65.05,66.9,65.05,66.0,1084,34
1-March-2024,65.6,66.84,65.1,65.84,5429,60
29-February-2024,64.11,65.61,63.2,65.01,30773,426
28-February-2024,67.8,67.8,63.2,64.64,24384,245
27-February-2024,67.59,68.88,66.01,66.47,17942,200
26-February-2024,69.9,69.9,67.05,67.2,24533,193
23-February-2024,68.71,70.89,68.56,68.77,87123,761
22-February-2024,69.19,69.56,67.61,68.71,28828,410
21-February-2024,71.99,72.33,68.18,68.55,115582,936
20-February-2024,71.87,72.59,69.66,70.65,142678,1251
19-February-2024,69.67,73.4,67.7,71.58,366801,4150
16-February-2024,65.0,69.73,62.6,68.45,190961,2217
15-February-2024,66.99,67.5,62.96,64.02,65623,641
14-February-2024,58.49,62.95,56.02,61.73,13960,212
13-February-2024,56.03,57.75,54.0,57.41,51479,593
12-February-2024,59.71,59.84,56.0,56.44,43486,662
9-February-2024,61.47,61.47,58.5,59.45,104396,789
8-February-2024,65.5,65.5,60.8,61.21,71197,599
7-February-2024,64.8,65.55,64.25,64.92,11289,168
6-February-2024,66.01,66.63,64.62,64.78,25703,321
5-February-2024,66.64,68.92,64.8,66.47,53629,486
2-February-2024,66.0,66.39,64.73,65.27,41596,564
1-February-2024,66.84,66.9,64.0,64.61,16887,211
31-January-2024,64.53,68.17,64.43,65.67,68037,730
30-January-2024,63.89,66.0,62.0,64.32,44027,457
29-January-2024,62.72,62.95,61.49,61.7,5318,80
25-January-2024,63.18,63.18,60.8,61.49,20850,242
24-January-2024,60.25,62.1,60.02,61.84,21337,353
23-January-2024,65.0,65.0,60.3,60.78,7070,152
20-January-2024,61.88,64.74,61.67,63.38,51558,499
19-January-2024,61.86,62.3,61.14,61.6,10750,145
18-January-2024,60.5,62.56,59.58,61.02,24381,333
17-January-2024,62.95,62.95,60.79,61.1,27565,399
16-January-2024,64.3,64.35,61.42,63.03,12494,178
15-January-2024,66.4,66.4,63.23,63.34,29026,392
12-January-2024,65.0,65.3,64.6,64.94,15284,113
11-January-2024,65.7,67.05,64.9,65.24,21046,233
10-January-2024,65.64,66.4,63.0,65.69,20605,268
9-January-2024,66.39,67.02,64.35,64.79,99888,864
8-January-2024,61.26,66.35,61.01,64.77,142164,1261
5-January-2024,61.0,62.65,61.0,61.44,12076,126
4-January-2024,60.3,62.65,60.3,62.21,33182,390
3-January-2024,60.11,61.89,59.89,60.56,23281,261
2-January-2024,59.3,63.5,58.15,61.43,40180,598
1-January-2024,59.32,60.0,58.35,59.31,14683,185
29-December-2023,57.91,59.0,57.9,58.07,6228,54
28-December-2023,58.63,59.8,57.73,57.98,30907,372
27-December-2023,61.4,61.4,58.7,58.89,26677,368
26-December-2023,62.3,62.3,59.65,60.22,15077,181
22-December-2023,60.16,63.55,60.16,61.53,20393,199
21-December-2023,57.0,61.0,57.0,60.82,14520,148
20-December-2023,64.3,64.82,58.5,58.72,66473,831
19-December-2023,64.7,64.7,62.84,63.08,18592,205
18-December-2023,64.65,65.9,63.67,63.92,11486,163
15-December-2023,66.7,66.7,64.57,64.65,46763,385
14-December-2023,63.1,67.01,62.99,65.64,18233,293
13-December-2023,63.0,64.37,62.7,62.83,47562,755
12-December-2023,64.8,65.63,63.54,63.67,37873,449
11-December-2023,66.0,67.01,64.7,65.09,28527,266
8-December-2023,65.65,67.8,63.5,64.34,26457,244
7-December-2023,65.28,66.1,64.35,64.87,52170,450
6-December-2023,65.01,66.65,64.95,65.58,67221,674
5-December-2023,68.99,68.99,65.05,65.3,109085,1021
4-December-2023,69.98,70.0,67.2,68.23,45689,414
1-December-2023,64.26,69.3,63.57,67.08,394205,3455
30-November-2023,61.85,65.79,60.9,63.43,138433,1832
29-November-2023,56.25,60.52,55.85,59.38,92656,1152
28-November-2023,57.8,57.8,56.0,56.18,14685,175
24-November-2023,58.41,58.5,56.55,56.85,13835,175
23-November-2023,56.9,59.5,56.4,57.82,51191,354
22-November-2023,57.2,58.79,55.04,56.96,40285,620
21-November-2023,57.0,57.0,53.75,54.73,24011,360
20-November-2023,58.52,58.52,54.1,54.58,5876,116
17-November-2023,57.42,57.9,55.55,55.99,4479,61
16-November-2023,57.21,58.7,56.6,56.77,27181,194
15-November-2023,58.0,58.0,56.65,56.79,19041,188
13-November-2023,57.0,57.45,56.85,56.9,12006,177
12-November-2023,58.99,58.99,56.55,56.76,6374,127
10-November-2023,54.02,58.0,54.0,57.35,21997,178
9-November-2023,56.9,57.45,56.9,57.12,18296,145
8-November-2023,57.45,57.45,56.55,57.11,18143,131
7-November-2023,57.0,57.75,56.85,57.28,14050,162
6-November-2023,60.0,61.28,55.6,57.11,50116,510
3-November-2023,58.95,59.65,57.55,59.31,21228,338
2-November-2023,54.9,58.49,54.16,57.01,40746,490
1-November-2023,53.28,55.4,52.55,54.7,33398,427
31-October-2023,53.0,53.15,52.1,52.8,2526,64
30-October-2023,51.91,53.28,50.95,51.95,14374,244
27-October-2023,51.52,52.39,50.85,51.09,16404,267
26-October-2023,50.25,50.6,48.4,50.4,24093,372
25-October-2023,53.91,53.95,50.4,51.24,24209,332
23-October-2023,56.0,57.05,52.33,52.61,33651,497
20-October-2023,60.89,61.25,56.6,56.94,82514,831
19-October-2023,57.5,60.6,55.11,59.77,95029,1119
18-October-2023,55.53,58.5,55.53,57.05,25756,314
17-October-2023,56.3,56.9,55.5,55.7,9294,156
16-October-2023,54.55,56.0,54.55,55.1,4191,59
13-October-2023,57.25,57.25,54.94,55.29,14592,167
12-October-2023,55.0,57.19,55.0,55.7,10029,205
11-October-2023,56.71,56.71,55.02,55.46,6894,151
10-October-2023,53.13,56.2,53.13,55.54,6568,118
9-October-2023,56.49,56.49,54.0,54.21,10055,144
6-October-2023,57.9,58.3,56.55,56.85,24662,373
5-October-2023,59.1,59.99,56.35,57.23,163069,1335
4-October-2023,53.0,59.35,52.91,57.09,153686,869
3-October-2023,54.0,55.0,52.25,53.54,39466,479
29-September-2023,54.0,54.3,52.5,52.81,30221,501
28-September-2023,54.45,54.5,53.5,53.89,11986,162
27-September-2023,56.0,56.0,53.4,54.37,2885,67
26-September-2023,55.3,55.3,53.05,53.89,14807,241
25-September-2023,51.25,56.5,51.25,55.21,31528,353
22-September-2023,53.45,54.02,52.1,52.28,24713,317
21-September-2023,54.11,54.36,52.75,53.46,8178,86
20-September-2023,53.1,55.0,53.1,53.88,12747,278
18-September-2023,54.56,55.69,53.36,53.55,21820,337
15-September-2023,54.65,56.05,54.65,55.4,27430,271
14-September-2023,55.46,56.5,54.65,54.95,9611,206
13-September-2023,54.0,55.25,52.5,55.16,28973,351
12-September-2023,59.6,59.6,53.8,54.18,21082,297
11-September-2023,59.25,61.05,56.45,58.4,139735,1472
8-September-2023,59.25,59.25,57.45,57.96,15430,213
7-September-2023,56.7,58.71,56.7,58.22,14738,300
6-September-2023,56.25,58.8,55.55,58.09,50322,466
5-September-2023,57.1,57.75,56.52,57.04,6551,94
4-September-2023,56.32,58.65,56.32,57.06,20028,148
1-September-2023,56.4,58.16,56.4,57.29,20931,225
31-August-2023,59.89,59.89,56.9,57.24,90533,1045
30-August-2023,62.8,62.8,58.55,59.7,173262,1691
29-August-2023,58.0,60.47,57.5,60.07,215766,1889
28-August-2023,52.3,56.4,52.3,55.85,97282,1126
25-August-2023,49.0,53.5,48.9,52.33,62596,775
24-August-2023,48.5,49.45,48.5,48.59,15164,214
23-August-2023,49.6,50.35,48.41,48.7,38508,265
22-August-2023,48.9,50.19,47.46,49.36,21948,353
21-August-2023,45.2,48.19,45.2,47.11,340652,212
18-August-2023,46.3,46.55,45.25,45.54,67411,148
17-August-2023,46.26,47.15,46.26,46.6,2551,53
16-August-2023,46.01,47.4,46.0,46.34,16921,180
14-August-2023,46.65,46.95,45.95,46.82,4187,61
11-August-2023,47.99,47.99,46.45,46.53,16244,196
10-August-2023,48.3,49.0,46.96,47.21,23416,180
9-August-2023,47.89,49.2,46.85,48.12,22794,507
8-August-2023,45.16,47.5,45.16,46.86,8271,125
7-August-2023,47.99,47.99,46.0,46.78,22042,184
4-August-2023,47.0,47.9,46.8,47.11,23313,160
3-August-2023,48.5,48.5,46.65,47.17,11565,145
2-August-2023,47.0,48.65,47.0,47.22,12256,246
1-August-2023,48.99,48.99,47.35,47.73,28806,303
31-July-2023,47.6,47.87,46.46,47.67,11259,116
28-July-2023,47.35,47.6,46.45,47.41,8603,123
27-July-2023,46.75,47.5,46.25,47.0,7513,115
26-July-2023,46.0,46.8,45.93,46.32,4659,68
25-July-2023,47.09,47.2,45.82,45.93,18914,134
24-July-2023,48.0,48.05,46.35,46.61,24472,188
21-July-2023,47.77,47.9,47.0,47.6,10698,146
