Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,filename
28-June-2024,14.31,14.31,14.27,14.27,219977,553,Sanmit Infra Limited
27-June-2024,14.56,14.56,14.56,14.56,210449,736,Sanmit Infra Limited
26-June-2024,14.28,14.28,14.28,14.28,52094,192,Sanmit Infra Limited
25-June-2024,14.0,14.14,14.0,14.0,280143,764,Sanmit Infra Limited
24-June-2024,13.87,13.87,13.33,13.87,494426,1183,Sanmit Infra Limited
21-June-2024,13.88,13.88,13.6,13.6,420742,741,Sanmit Infra Limited
20-June-2024,13.87,13.87,13.87,13.87,165143,529,Sanmit Infra Limited
19-June-2024,14.15,14.15,14.15,14.15,87577,364,Sanmit Infra Limited
18-June-2024,14.43,14.43,14.43,14.43,120409,442,Sanmit Infra Limited
14-June-2024,14.72,14.72,14.72,14.72,138024,381,Sanmit Infra Limited
13-June-2024,15.02,15.02,15.02,15.02,79945,301,Sanmit Infra Limited
12-June-2024,15.32,15.32,15.32,15.32,184617,359,Sanmit Infra Limited
11-June-2024,15.03,15.63,15.03,15.63,699367,944,Sanmit Infra Limited
10-June-2024,15.33,15.33,15.33,15.33,47799,267,Sanmit Infra Limited
7-June-2024,15.64,15.64,15.64,15.64,44496,264,Sanmit Infra Limited
6-June-2024,15.95,15.95,15.95,15.95,61548,239,Sanmit Infra Limited
5-June-2024,16.27,16.27,16.27,16.27,26823,190,Sanmit Infra Limited
4-June-2024,16.6,16.6,16.6,16.6,25316,194,Sanmit Infra Limited
3-June-2024,16.93,16.93,16.93,16.93,60111,368,Sanmit Infra Limited
31-May-2024,17.27,17.27,17.27,17.27,32839,224,Sanmit Infra Limited
30-May-2024,17.62,17.62,17.62,17.62,41090,189,Sanmit Infra Limited
29-May-2024,17.97,17.97,17.97,17.97,25125,178,Sanmit Infra Limited
28-May-2024,18.33,18.33,18.33,18.33,14543,186,Sanmit Infra Limited
27-May-2024,18.7,18.7,18.7,18.7,67109,274,Sanmit Infra Limited
