Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades
28-June-2024,49.17,50.02,48.75,49.03,2160061,9610
27-June-2024,50.85,50.85,48.29,48.8,1095328,5132
26-June-2024,51.55,51.92,50.1,50.42,2341070,10870
25-June-2024,50.5,52.3,50.39,51.52,3590610,15104
24-June-2024,51.43,51.75,49.71,50.02,1646746,8933
21-June-2024,52.44,53.3,50.91,51.62,5902540,19922
20-June-2024,51.73,52.7,50.61,51.61,6988195,23122
19-June-2024,48.04,52.25,46.46,51.22,7097724,19036
18-June-2024,49.6,49.7,47.35,47.75,2150025,10228
14-June-2024,49.96,51.29,48.5,49.13,5388778,19556
13-June-2024,45.01,49.95,44.9,49.29,10209620,30063
12-June-2024,44.81,45.23,44.0,44.14,1938654,8154
11-June-2024,42.78,45.1,41.92,44.48,3978990,14822
10-June-2024,43.09,43.4,42.45,42.52,984253,5512
7-June-2024,41.0,43.46,40.55,43.04,2871241,9631
6-June-2024,40.35,41.2,40.15,40.75,753835,4150
5-June-2024,39.4,39.9,38.05,39.7,963509,5476
4-June-2024,41.59,41.59,36.69,38.6,747418,4261
3-June-2024,41.32,41.85,40.65,40.97,1147102,6319
31-May-2024,40.5,40.69,39.92,40.12,716343,4703
30-May-2024,40.81,41.27,40.34,40.42,898962,6418
29-May-2024,41.01,41.67,41.01,41.45,578096,3266
28-May-2024,41.68,41.8,41.0,41.21,667198,4125
27-May-2024,41.9,42.15,41.29,41.67,856580,4206
24-May-2024,41.7,42.74,41.6,41.71,868706,4287
23-May-2024,42.05,42.79,41.73,41.89,661636,3923
22-May-2024,42.13,42.45,41.68,41.91,539587,3523
21-May-2024,43.18,43.18,42.01,42.11,190053,1482
18-May-2024,42.41,43.09,42.41,42.83,97745,878
17-May-2024,42.14,42.68,41.85,42.51,353668,1637
16-May-2024,42.15,42.23,41.68,41.88,339147,2767
15-May-2024,42.29,42.39,41.8,42.02,244249,1245
14-May-2024,41.78,42.11,41.25,41.98,278685,1380
