Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,filename
28-June-2024,0.65,0.65,0.64,0.64,840737,422,Siti Networks Limited
27-June-2024,0.65,0.65,0.64,0.65,1216528,520,Siti Networks Limited
26-June-2024,0.65,0.65,0.64,0.64,579080,463,Siti Networks Limited
25-June-2024,0.65,0.65,0.63,0.65,765300,511,Siti Networks Limited
24-June-2024,0.65,0.65,0.64,0.64,1913514,710,Siti Networks Limited
21-June-2024,0.65,0.65,0.64,0.65,1317580,527,Siti Networks Limited
20-June-2024,0.64,0.65,0.63,0.65,1519806,616,Siti Networks Limited
19-June-2024,0.65,0.65,0.64,0.64,1067692,586,Siti Networks Limited
18-June-2024,0.65,0.65,0.64,0.65,1382212,768,Siti Networks Limited
14-June-2024,0.65,0.65,0.63,0.65,1571641,625,Siti Networks Limited
13-June-2024,0.64,0.65,0.63,0.64,1083542,692,Siti Networks Limited
12-June-2024,0.65,0.65,0.64,0.64,955515,605,Siti Networks Limited
11-June-2024,0.64,0.65,0.63,0.65,819607,571,Siti Networks Limited
10-June-2024,0.64,0.64,0.62,0.64,512996,455,Siti Networks Limited
7-June-2024,0.63,0.63,0.63,0.63,131074,159,Siti Networks Limited
6-June-2024,0.62,0.62,0.62,0.62,196556,237,Siti Networks Limited
5-June-2024,0.62,0.62,0.61,0.61,345079,459,Siti Networks Limited
4-June-2024,0.62,0.62,0.62,0.62,501140,466,Siti Networks Limited
3-June-2024,0.65,0.65,0.63,0.63,2288035,855,Siti Networks Limited
27-May-2024,0.63,0.64,0.62,0.64,941183,365,Siti Networks Limited
21-May-2024,0.63,0.63,0.63,0.63,855047,395,Siti Networks Limited
13-May-2024,0.64,0.64,0.64,0.64,99646,105,Siti Networks Limited
6-May-2024,0.65,0.65,0.65,0.65,117496,120,Siti Networks Limited
29-April-2024,0.66,0.66,0.66,0.66,137048,123,Siti Networks Limited
22-April-2024,0.67,0.67,0.67,0.67,74477,100,Siti Networks Limited
15-April-2024,0.68,0.68,0.68,0.68,79152,90,Siti Networks Limited
