Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades
28-June-2024,332.5,338.45,311.1,338.45,14389,332
27-June-2024,324.75,326.05,295.05,322.35,10583,279
26-June-2024,310.0,310.55,285.0,310.55,13489,253
25-June-2024,282.35,282.35,270.0,282.35,10251,206
24-June-2024,242.5,256.7,222.0,256.7,5024,136
21-June-2024,235.0,239.8,230.0,233.4,1034,21
20-June-2024,233.45,244.95,224.0,233.0,1748,53
19-June-2024,228.9,234.0,225.0,233.4,1378,45
18-June-2024,239.95,240.0,238.0,238.35,279,7
14-June-2024,236.5,239.9,236.5,239.85,312,11
13-June-2024,228.0,244.85,228.0,236.5,705,24
12-June-2024,246.95,246.95,226.3,229.45,1029,31
11-June-2024,228.95,246.55,222.1,226.95,801,71
10-June-2024,225.0,228.95,215.0,227.35,765,31
7-June-2024,230.8,231.0,216.05,219.95,1191,50
6-June-2024,222.1,232.95,222.1,230.95,18,4
5-June-2024,223.5,223.5,222.0,222.0,450,4
4-June-2024,223.5,234.75,223.5,223.5,835,24
3-June-2024,243.9,243.9,222.05,223.6,696,21
31-May-2024,235.0,242.4,230.15,232.7,704,27
30-May-2024,247.0,247.0,240.0,242.25,222,14
29-May-2024,237.25,237.25,231.1,236.65,1227,51
28-May-2024,220.95,228.95,218.05,226.35,415,31
27-May-2024,233.6,235.0,216.55,218.05,1888,60
24-May-2024,228.4,249.35,225.85,227.9,2709,69
23-May-2024,245.8,245.8,236.2,237.7,817,28
22-May-2024,258.4,258.4,237.25,248.6,295,18
21-May-2024,245.0,249.0,240.0,248.75,65,13
18-May-2024,255.8,255.8,250.0,250.0,206,10
17-May-2024,245.95,245.95,238.7,244.85,828,22
16-May-2024,240.0,248.9,233.5,234.5,262,9
15-May-2024,242.95,242.95,240.0,240.0,64,6
14-May-2024,233.55,234.6,231.4,231.45,1631,61
13-May-2024,233.7,243.65,233.7,243.55,405,14
10-May-2024,245.95,245.95,233.05,233.65,125,11
9-May-2024,247.0,247.0,235.0,245.1,116,11
8-May-2024,233.35,244.0,233.35,239.85,1426,47
7-May-2024,235.9,247.5,235.9,244.9,496,19
6-May-2024,240.55,242.85,233.35,235.85,374,26
3-May-2024,256.25,256.25,240.9,245.45,1437,20
2-May-2024,245.0,249.5,241.85,245.0,790,26
30-April-2024,252.0,258.6,239.4,240.7,1531,74
29-April-2024,247.8,254.9,240.9,252.0,2214,35
26-April-2024,259.85,259.85,241.25,247.8,846,37
25-April-2024,250.0,251.0,250.0,250.95,64,4
24-April-2024,238.1,250.0,238.0,249.35,269,14
23-April-2024,251.35,251.35,235.05,238.9,702,43
22-April-2024,248.0,248.0,245.0,245.2,330,19
19-April-2024,249.0,249.0,241.5,248.95,211,21
18-April-2024,250.0,250.0,245.0,249.0,2853,45
16-April-2024,269.0,269.0,246.7,249.65,479,20
15-April-2024,242.4,261.95,242.4,259.0,740,37
12-April-2024,260.0,260.0,255.0,255.1,133,8
10-April-2024,269.9,269.9,256.45,256.85,867,33
9-April-2024,261.4,270.0,261.0,269.9,434,16
8-April-2024,249.05,261.4,249.0,261.4,445,24
5-April-2024,257.0,257.0,248.95,249.0,472,17
4-April-2024,255.0,265.9,254.85,257.0,470,21
