Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades
28-June-2024,546.1,554.0,546.0,552.6,7195,339
27-June-2024,548.5,552.05,545.2,549.05,1281,113
26-June-2024,535.9,565.55,535.9,548.05,8866,407
25-June-2024,535.25,551.0,535.0,547.05,3793,297
24-June-2024,553.0,553.0,536.85,538.5,3178,371
21-June-2024,552.0,563.4,545.1,545.95,2167,286
20-June-2024,547.55,560.0,544.95,548.85,4031,302
19-June-2024,547.95,557.2,540.1,545.2,2823,213
18-June-2024,549.95,552.2,533.65,545.0,6075,554
14-June-2024,560.0,560.0,534.95,538.9,9136,1075
13-June-2024,563.5,563.5,551.0,555.0,3146,262
12-June-2024,555.25,570.0,554.0,563.45,8161,1013
11-June-2024,574.95,574.95,547.35,551.3,1923,371
10-June-2024,550.0,570.0,544.9,561.05,22326,1616
7-June-2024,523.55,529.0,507.7,525.55,7049,697
6-June-2024,479.0,517.85,478.15,510.1,4278,555
5-June-2024,471.25,489.0,456.25,485.85,2944,284
4-June-2024,485.1,485.1,438.95,451.8,13419,1384
3-June-2024,502.45,503.0,481.9,485.0,3366,449
31-May-2024,496.55,506.9,486.65,492.6,1815,318
30-May-2024,503.1,503.1,492.9,496.55,995,164
29-May-2024,497.55,515.05,494.0,505.15,5980,525
28-May-2024,525.6,529.3,502.05,511.25,3775,679
27-May-2024,529.0,534.0,523.0,525.6,1939,204
24-May-2024,527.7,532.0,523.9,526.9,1798,183
23-May-2024,530.0,531.65,525.0,525.0,999,131
22-May-2024,497.15,535.35,497.15,529.15,838,179
21-May-2024,536.95,537.2,521.1,524.3,1438,179
18-May-2024,538.0,544.85,537.0,538.9,134,43
17-May-2024,525.0,539.65,525.0,537.95,1756,157
16-May-2024,537.55,543.75,531.5,535.65,1444,382
15-May-2024,544.0,544.0,536.55,537.15,1269,321
14-May-2024,529.5,540.6,527.95,533.3,816,228
13-May-2024,538.8,538.8,506.7,519.65,817,226
10-May-2024,522.0,532.35,520.75,528.2,476,130
9-May-2024,542.65,546.7,510.0,522.75,1958,452
8-May-2024,525.1,546.85,525.0,540.3,811,131
7-May-2024,541.05,551.9,527.5,530.05,1950,199
6-May-2024,555.5,558.8,541.0,543.1,2247,341
3-May-2024,562.4,563.4,547.2,555.95,958,160
2-May-2024,560.0,575.0,558.5,560.7,808,127
30-April-2024,562.0,571.0,552.5,558.0,3662,406
29-April-2024,562.2,568.3,536.95,561.8,7802,579
26-April-2024,570.0,570.0,555.9,562.65,2131,220
25-April-2024,558.45,562.8,550.05,560.9,2777,260
24-April-2024,552.1,577.35,552.1,559.7,7432,764
23-April-2024,556.55,563.5,539.25,546.3,1639,253
22-April-2024,564.45,564.45,547.5,553.8,1220,115
19-April-2024,540.0,553.0,538.6,549.7,2684,347
18-April-2024,555.0,562.65,542.5,550.2,2775,457
16-April-2024,541.4,559.5,541.4,550.65,493,113
15-April-2024,532.05,564.9,532.05,550.4,7198,596
12-April-2024,573.0,584.05,562.9,571.15,3464,335
10-April-2024,567.35,580.85,562.35,571.55,3893,441
9-April-2024,577.7,584.0,558.0,562.85,4072,444
8-April-2024,580.0,588.0,565.0,573.4,3424,340
5-April-2024,560.35,580.1,560.25,576.4,2842,319
4-April-2024,577.15,582.95,560.0,561.35,7581,447
3-April-2024,573.4,590.4,564.05,574.25,11190,1251
2-April-2024,533.35,589.8,523.65,585.1,19272,1857
1-April-2024,503.55,531.0,503.55,524.85,2206,189
28-March-2024,484.05,512.95,480.15,491.9,3922,470
27-March-2024,478.0,483.55,463.0,466.05,3003,274
26-March-2024,482.1,495.3,475.0,477.5,8077,752
22-March-2024,495.15,509.0,489.0,493.6,3040,388
21-March-2024,492.65,494.0,485.45,489.5,1234,177
20-March-2024,492.0,494.0,484.7,485.55,7609,188
19-March-2024,490.05,493.0,490.0,491.6,5801,469
18-March-2024,485.7,494.8,485.7,491.7,2554,140
15-March-2024,491.95,497.0,476.95,484.25,6767,336
14-March-2024,480.0,498.55,480.0,486.65,4985,590
13-March-2024,502.1,520.0,478.8,484.25,4129,606
12-March-2024,509.65,523.85,500.2,508.55,7589,595
11-March-2024,530.35,533.55,509.95,516.15,4607,622
7-March-2024,509.95,538.6,506.5,529.25,6044,630
6-March-2024,520.05,525.25,501.0,509.7,7562,813
5-March-2024,527.3,529.5,522.15,523.8,3233,365
4-March-2024,529.65,539.45,526.15,529.7,1838,351
2-March-2024,533.3,555.85,529.9,534.4,35,25
1-March-2024,521.05,534.05,521.0,529.4,720,113
29-February-2024,546.5,546.5,525.0,526.75,1969,229
28-February-2024,551.9,552.2,530.0,536.25,3239,447
27-February-2024,555.55,562.05,545.8,549.55,1971,210
26-February-2024,540.95,557.0,536.7,551.1,3864,384
23-February-2024,555.55,555.55,540.95,546.6,803,60
22-February-2024,554.45,555.55,540.0,548.9,1892,308
21-February-2024,560.9,562.7,550.1,552.4,1688,259
20-February-2024,567.9,567.9,549.95,555.2,2427,237
19-February-2024,554.75,564.3,543.0,558.9,5457,365
16-February-2024,553.5,554.0,544.05,549.9,2428,212
15-February-2024,545.3,545.3,527.6,539.3,3776,410
14-February-2024,525.0,553.95,524.35,535.15,1938,223
13-February-2024,556.55,556.55,534.0,534.8,2133,205
12-February-2024,573.45,574.3,544.75,551.5,3170,358
9-February-2024,568.05,580.3,568.0,568.0,3193,278
8-February-2024,568.45,573.35,556.15,567.4,3447,378
7-February-2024,550.15,565.0,550.15,557.3,7743,548
6-February-2024,563.6,563.6,550.3,553.85,2208,329
5-February-2024,595.9,595.9,560.0,561.35,2198,421
2-February-2024,588.5,597.15,582.05,585.45,3757,410
1-February-2024,588.15,597.35,581.95,588.9,850,118
31-January-2024,585.75,589.8,582.6,586.6,2776,251
30-January-2024,591.45,595.4,579.9,583.95,3426,380
29-January-2024,606.55,606.55,583.4,588.45,1997,183
25-January-2024,590.65,595.9,579.3,590.05,1395,175
24-January-2024,583.45,591.05,577.0,582.4,2203,180
23-January-2024,588.05,593.8,571.6,579.9,9296,722
20-January-2024,597.1,603.1,581.0,588.85,2707,246
19-January-2024,596.0,617.9,591.2,596.85,3210,352
18-January-2024,597.05,607.95,578.85,596.45,7032,693
17-January-2024,601.7,603.5,590.55,595.45,3799,311
16-January-2024,610.1,611.3,597.05,599.9,2928,261
15-January-2024,614.3,614.3,600.0,603.15,1334,194
12-January-2024,622.15,622.15,601.4,605.15,2876,336
11-January-2024,618.45,627.0,607.8,612.65,3889,418
10-January-2024,619.9,620.0,600.7,606.3,7067,691
9-January-2024,641.95,643.7,608.0,613.8,15548,1291
8-January-2024,599.45,644.0,591.9,626.15,18418,1361
5-January-2024,589.15,598.05,581.0,586.0,4904,384
4-January-2024,593.5,595.7,578.65,587.25,5056,534
3-January-2024,585.7,594.05,577.55,589.0,4241,509
2-January-2024,587.95,587.95,568.15,583.15,2264,381
1-January-2024,555.05,586.95,555.05,576.8,4495,739
29-December-2023,568.0,568.0,557.0,561.95,2335,322
28-December-2023,571.4,576.1,558.45,561.45,3029,352
27-December-2023,579.5,588.0,568.65,570.0,1333,206
26-December-2023,582.2,582.2,565.95,575.05,2350,221
22-December-2023,571.0,576.95,565.5,570.75,585,131
21-December-2023,548.0,572.0,541.7,567.0,4715,504
20-December-2023,585.1,586.15,544.25,550.2,4878,863
19-December-2023,596.95,596.95,582.5,584.05,1567,232
18-December-2023,590.0,602.0,581.85,584.65,5419,506
15-December-2023,589.0,601.8,583.55,591.2,1993,314
14-December-2023,600.8,602.45,581.8,586.6,1956,227
13-December-2023,606.0,614.45,591.0,596.8,1411,397
12-December-2023,562.05,619.7,562.05,605.4,23835,2547
11-December-2023,574.95,574.95,558.9,563.3,2409,329
8-December-2023,572.8,573.4,558.7,561.35,730,170
7-December-2023,577.2,587.0,559.05,563.6,3117,455
6-December-2023,528.9,593.55,521.65,578.85,22006,2726
5-December-2023,527.45,537.8,525.5,529.85,2922,384
4-December-2023,522.65,540.0,520.4,528.8,2096,335
1-December-2023,521.0,526.8,517.35,520.4,3288,490
30-November-2023,517.05,527.9,508.1,515.15,6497,644
29-November-2023,538.7,547.0,513.45,518.2,2963,397
28-November-2023,550.55,551.9,532.0,532.7,2264,345
24-November-2023,543.45,551.4,543.45,548.0,940,205
23-November-2023,550.8,550.8,542.0,544.1,2163,456
22-November-2023,562.0,562.0,541.9,545.25,1269,181
21-November-2023,559.95,559.95,543.0,549.0,1745,253
20-November-2023,563.55,563.55,550.35,553.25,1785,196
17-November-2023,549.95,554.4,545.6,552.55,1741,157
16-November-2023,545.95,549.95,536.4,547.3,3748,494
15-November-2023,545.0,558.35,532.6,538.65,16551,1534
13-November-2023,565.0,575.95,559.45,575.35,348,66
12-November-2023,553.0,570.9,552.3,564.7,2786,393
10-November-2023,553.05,566.55,551.55,561.05,2011,305
9-November-2023,564.0,571.25,550.0,553.2,4432,435
8-November-2023,560.5,567.0,554.95,563.75,1565,338
7-November-2023,559.2,559.35,550.95,557.2,943,144
6-November-2023,560.1,562.2,554.9,556.8,593,134
3-November-2023,559.3,562.7,536.55,543.55,1021,224
2-November-2023,555.05,563.35,552.5,555.7,759,154
1-November-2023,560.4,564.1,548.85,552.05,1433,303
31-October-2023,573.55,573.55,557.35,561.05,563,197
30-October-2023,574.5,574.5,557.8,560.45,1668,386
27-October-2023,587.2,587.2,557.0,564.0,1986,367
26-October-2023,545.0,550.0,531.7,546.1,3075,316
25-October-2023,581.55,581.55,541.0,544.6,2587,404
23-October-2023,588.2,588.2,556.35,564.85,2321,413
20-October-2023,597.25,600.0,583.8,586.3,3982,374
19-October-2023,599.9,602.95,586.55,592.25,3810,726
18-October-2023,595.0,612.55,595.0,597.75,4064,443
17-October-2023,599.9,611.0,596.95,604.4,2484,369
16-October-2023,596.2,609.85,594.0,595.05,3162,462
13-October-2023,598.5,605.4,591.6,602.15,3060,262
12-October-2023,603.3,604.0,596.1,598.5,1418,236
11-October-2023,603.55,604.7,591.05,601.05,3007,289
10-October-2023,575.65,594.5,575.65,591.1,925,110
9-October-2023,585.25,596.75,574.75,579.75,5057,606
6-October-2023,589.4,605.8,589.4,600.35,4131,379
5-October-2023,590.0,606.55,590.0,601.4,873,115
4-October-2023,593.15,612.75,593.15,596.55,1819,214
3-October-2023,600.0,610.6,600.0,602.05,3411,527
29-September-2023,605.85,610.5,598.1,608.95,1225,183
28-September-2023,614.35,615.15,591.7,600.0,1200,184
27-September-2023,610.25,620.0,606.05,610.95,2100,290
26-September-2023,604.0,622.05,604.0,608.6,3003,263
25-September-2023,607.8,609.45,601.0,604.0,699,118
22-September-2023,609.9,615.55,596.3,607.85,2128,297
21-September-2023,614.35,617.2,596.95,609.25,3820,454
20-September-2023,609.95,616.05,606.25,613.7,6347,375
18-September-2023,624.95,624.95,602.15,607.3,4347,453
15-September-2023,623.75,626.9,612.2,615.55,4412,364
14-September-2023,618.95,623.9,613.0,620.1,4505,446
13-September-2023,612.7,619.05,587.95,614.55,2593,367
12-September-2023,636.05,640.0,598.95,606.05,11523,922
11-September-2023,649.4,649.4,630.0,632.35,8457,770
8-September-2023,644.05,652.0,636.8,644.3,2576,284
7-September-2023,637.05,658.0,637.05,639.7,12347,932
6-September-2023,599.0,640.95,596.55,636.6,22492,1639
5-September-2023,614.05,620.95,595.4,600.15,9439,542
4-September-2023,607.05,617.4,607.05,613.0,9727,828
1-September-2023,604.55,612.75,603.1,605.45,8385,685
31-August-2023,615.35,620.05,596.95,603.15,10953,946
30-August-2023,625.45,625.45,611.2,615.3,6583,510
29-August-2023,576.35,610.35,576.0,604.8,9300,851
28-August-2023,578.05,588.3,569.6,571.8,19384,1744
25-August-2023,580.65,589.4,575.0,578.9,5658,543
24-August-2023,596.35,596.4,566.5,574.25,8024,726
23-August-2023,596.05,603.55,589.35,591.4,19936,1254
22-August-2023,598.35,609.45,595.55,601.4,13398,732
21-August-2023,594.05,618.4,594.05,597.05,31873,1686
18-August-2023,622.9,626.6,591.2,594.9,51512,1966
17-August-2023,606.0,646.75,604.35,615.05,18246,1358
16-August-2023,650.05,650.05,597.4,600.9,86687,5323
14-August-2023,718.0,735.55,700.0,705.05,114986,6039
11-August-2023,790.1,791.05,708.6,718.8,66584,4759
10-August-2023,788.75,800.5,776.55,782.65,12496,1019
9-August-2023,786.1,814.0,776.8,797.8,23073,1987
8-August-2023,752.0,815.0,752.0,785.85,32303,2624
7-August-2023,745.6,766.9,741.55,751.85,74490,4053
4-August-2023,743.65,756.4,729.05,738.25,27527,2043
3-August-2023,752.35,766.3,734.95,742.5,52235,3232
2-August-2023,737.15,762.75,729.25,750.35,12615,1069
1-August-2023,766.6,769.95,740.85,752.15,7732,578
31-July-2023,735.0,762.25,726.55,757.95,9577,933
28-July-2023,740.5,750.55,720.0,724.85,12554,1430
27-July-2023,742.0,774.6,742.0,749.2,9639,619
26-July-2023,747.05,763.95,746.6,760.4,2906,392
25-July-2023,772.2,782.0,738.0,746.75,30284,2073
24-July-2023,740.0,784.35,735.5,767.0,8606,807
21-July-2023,756.05,772.35,734.85,739.35,16201,1825
20-July-2023,768.1,774.45,756.5,762.05,6183,653
19-July-2023,777.65,781.6,764.0,768.15,5551,402
18-July-2023,796.45,798.7,764.95,777.4,13046,1958
17-July-2023,754.0,806.55,752.4,781.35,12352,1021
14-July-2023,752.0,768.35,743.1,753.6,9600,1002
13-July-2023,770.1,795.95,743.85,753.25,20197,1828
12-July-2023,761.65,777.65,761.65,770.85,7124,626
11-July-2023,769.05,786.0,752.0,767.75,23300,2364
10-July-2023,728.8,797.25,711.65,764.95,31832,2898
7-July-2023,703.85,724.75,692.8,709.95,19620,2054
6-July-2023,700.05,714.2,692.0,698.7,16932,1360
5-July-2023,695.35,721.15,692.95,700.05,8842,794
4-July-2023,727.25,730.65,691.1,693.5,14921,1581
3-July-2023,717.75,742.05,712.5,719.0,8764,812
30-June-2023,740.0,742.3,711.0,714.7,36397,2542
28-June-2023,641.8,754.9,640.45,733.5,67405,4941
27-June-2023,606.95,639.95,602.95,630.8,18589,1594
26-June-2023,589.95,606.4,589.5,595.4,8556,688
23-June-2023,613.25,613.25,590.25,593.0,3442,520
22-June-2023,604.25,631.0,604.25,612.95,8766,912
21-June-2023,635.3,635.3,612.4,615.7,19460,1481
20-June-2023,630.05,639.55,621.55,624.5,50355,2783
19-June-2023,637.55,644.65,626.7,632.8,16735,1208
16-June-2023,647.3,651.9,626.85,632.3,16044,866
15-June-2023,628.55,652.25,627.95,641.7,3478,373
14-June-2023,641.35,647.5,624.95,627.45,5300,399
13-June-2023,640.0,649.0,634.0,635.8,2752,289
12-June-2023,621.05,649.0,621.05,639.2,7208,880
