Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,filename
28-June-2024,521.35,521.35,509.3,510.25,22586,1717,Suprajit Engineering Ltd.
27-June-2024,513.0,527.55,511.15,514.5,49743,2846,Suprajit Engineering Ltd.
26-June-2024,522.05,522.05,512.35,514.8,11756,957,Suprajit Engineering Ltd.
25-June-2024,524.15,530.25,511.65,513.75,39291,2864,Suprajit Engineering Ltd.
24-June-2024,513.7,516.5,501.35,508.85,18274,1320,Suprajit Engineering Ltd.
21-June-2024,518.4,519.3,509.0,513.7,37450,1729,Suprajit Engineering Ltd.
20-June-2024,518.0,520.95,507.2,509.75,14344,1063,Suprajit Engineering Ltd.
19-June-2024,519.55,526.0,507.9,511.2,35987,2431,Suprajit Engineering Ltd.
18-June-2024,520.0,526.85,517.05,519.55,17991,973,Suprajit Engineering Ltd.
14-June-2024,512.5,518.1,506.35,514.65,70321,4444,Suprajit Engineering Ltd.
13-June-2024,508.1,515.9,503.0,512.0,60935,2864,Suprajit Engineering Ltd.
12-June-2024,498.45,511.9,493.6,498.6,142365,7197,Suprajit Engineering Ltd.
11-June-2024,488.55,499.95,481.2,490.05,121825,4804,Suprajit Engineering Ltd.
10-June-2024,485.75,490.3,474.6,480.35,52591,2604,Suprajit Engineering Ltd.
7-June-2024,463.55,481.0,460.9,476.45,68974,3164,Suprajit Engineering Ltd.
6-June-2024,460.0,496.4,452.65,463.8,118886,4406,Suprajit Engineering Ltd.
5-June-2024,429.05,461.0,416.2,450.45,31482,2777,Suprajit Engineering Ltd.
4-June-2024,446.35,446.35,398.1,420.6,34775,3256,Suprajit Engineering Ltd.
3-June-2024,452.0,459.4,439.5,444.7,17254,1038,Suprajit Engineering Ltd.
31-May-2024,444.95,455.55,441.0,442.5,41078,2537,Suprajit Engineering Ltd.
30-May-2024,419.75,455.95,419.55,437.4,101436,6306,Suprajit Engineering Ltd.
29-May-2024,407.45,413.65,407.0,411.55,3526,325,Suprajit Engineering Ltd.
28-May-2024,420.25,420.25,406.4,407.45,8137,300,Suprajit Engineering Ltd.
27-May-2024,423.2,423.2,411.0,412.0,10011,661,Suprajit Engineering Ltd.
24-May-2024,414.95,418.1,409.95,415.45,14892,1056,Suprajit Engineering Ltd.
23-May-2024,405.3,412.0,405.3,411.05,7308,677,Suprajit Engineering Ltd.
22-May-2024,418.2,418.2,406.45,407.1,5695,614,Suprajit Engineering Ltd.
21-May-2024,418.8,422.3,407.7,410.2,9104,772,Suprajit Engineering Ltd.
18-May-2024,422.3,425.0,410.05,414.0,443,73,Suprajit Engineering Ltd.
17-May-2024,415.8,418.0,410.2,414.0,5360,514,Suprajit Engineering Ltd.
16-May-2024,418.85,418.85,406.35,411.7,6749,516,Suprajit Engineering Ltd.
