Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades
28-June-2024,88.2,90.0,88.2,90.0,15036,13
27-June-2024,92.5,92.5,90.0,90.0,5679,9
26-June-2024,90.7,90.7,90.7,90.7,180,3
25-June-2024,88.05,88.95,88.05,88.95,406,3
24-June-2024,87.0,87.25,87.0,87.25,1050,7
21-June-2024,84.0,85.55,83.05,85.55,11235,7
20-June-2024,85.55,85.55,83.9,83.9,11483,10
19-June-2024,88.9,88.9,85.6,85.6,11720,13
18-June-2024,89.05,89.05,87.25,87.3,3327,10
14-June-2024,90.0,90.0,89.0,89.0,1484,7
13-June-2024,88.1,90.0,88.1,90.0,26543,21
12-June-2024,89.3,89.9,89.25,89.25,5651,19
11-June-2024,91.1,92.0,91.05,91.05,24642,40
10-June-2024,92.9,92.9,92.9,92.9,31173,22
7-June-2024,94.75,94.75,94.75,94.75,4769,6
6-June-2024,96.65,96.65,96.65,96.65,4524,14
5-June-2024,98.6,98.6,98.6,98.6,50320,23
4-June-2024,100.6,100.6,100.6,100.6,2552,10
3-June-2024,105.0,105.0,102.65,102.65,7302,10
31-May-2024,104.74,104.74,104.74,104.74,8609,14
30-May-2024,106.87,106.88,106.87,106.87,17180,21
29-May-2024,109.05,109.05,109.05,109.05,16829,15
28-May-2024,111.27,111.27,111.27,111.27,4252,15
27-May-2024,113.54,113.54,113.54,113.54,1980,6
24-May-2024,111.32,111.32,111.32,111.32,11031,14
23-May-2024,109.14,109.14,109.14,109.14,3878,14
22-May-2024,107.0,110.79,107.0,107.0,36871,45
21-May-2024,109.0,109.0,109.0,109.0,18161,57
18-May-2024,103.81,103.81,103.81,103.81,6953,28
17-May-2024,98.87,98.87,98.87,98.87,6534,29
16-May-2024,94.17,94.17,94.17,94.17,5441,26
15-May-2024,88.99,89.69,88.99,89.69,6556,37
14-May-2024,81.36,85.42,81.0,85.42,24883,49
13-May-2024,73.62,81.36,73.62,81.36,21366,54
10-May-2024,77.49,77.49,77.49,77.49,551,4
9-May-2024,79.07,79.07,79.07,79.07,11002,13
8-May-2024,82.29,82.29,80.68,80.68,2762,13
7-May-2024,82.32,82.32,82.32,82.32,204,5
6-May-2024,84.58,84.58,84.0,84.0,2031,9
3-May-2024,82.92,82.93,82.86,82.93,201,5
2-May-2024,84.55,84.55,84.55,84.55,5,2
30-April-2024,82.93,82.93,82.93,82.93,2948,9
29-April-2024,84.62,86.4,84.62,84.62,2152,9
26-April-2024,86.38,88.0,86.34,86.34,3170,13
25-April-2024,89.88,89.88,88.09,88.1,8747,17
24-April-2024,86.37,89.88,86.37,89.88,996,12
23-April-2024,89.95,89.95,88.12,88.12,10517,20
22-April-2024,89.91,89.91,89.91,89.91,1,1
19-April-2024,91.74,92.09,91.74,91.74,4548,22
18-April-2024,93.61,93.61,93.61,93.61,3852,11
16-April-2024,91.78,91.78,91.78,91.78,7804,7
15-April-2024,89.99,89.99,89.99,89.99,20536,12
12-April-2024,88.23,88.23,88.23,88.23,3611,15
10-April-2024,86.5,86.5,86.5,86.5,2260,9
9-April-2024,84.81,84.81,84.81,84.81,175,3
8-April-2024,83.15,83.15,83.15,83.15,253,4
5-April-2024,81.52,81.52,81.52,81.52,878,6
4-April-2024,79.1,79.99,78.0,79.93,6709,28
3-April-2024,76.15,76.19,76.15,76.19,3674,16
2-April-2024,72.55,72.57,70.0,72.57,5207,29
1-April-2024,65.83,69.12,65.0,69.12,2294,10
28-March-2024,62.7,65.83,59.9,65.83,2759,18
27-March-2024,62.75,63.3,62.7,62.7,4503,24
26-March-2024,69.77,69.77,63.13,65.99,3936,39
22-March-2024,66.5,66.5,66.4,66.45,9524,13
21-March-2024,67.75,67.75,67.75,67.75,844,6
20-March-2024,70.0,70.0,69.13,69.13,241,6
19-March-2024,70.54,70.54,70.54,70.54,50,1
18-March-2024,71.97,71.97,71.97,71.97,60,3
15-March-2024,73.43,73.43,73.43,73.43,186,4
14-March-2024,74.92,74.92,74.92,74.92,1000,1
13-March-2024,74.92,74.92,74.92,74.92,145,2
12-March-2024,76.44,76.44,76.44,76.44,3217,7
11-March-2024,78.0,78.03,78.0,78.0,25496,13
7-March-2024,76.0,77.23,76.0,76.5,3331,11
6-March-2024,78.8,78.8,75.72,75.72,14181,15
5-March-2024,77.26,77.26,77.26,77.26,3383,5
4-March-2024,75.0,75.75,75.0,75.75,2972,12
1-March-2024,74.27,74.27,74.25,74.27,2819,8
29-February-2024,72.82,72.82,72.82,72.82,2558,9
28-February-2024,71.43,71.43,71.4,71.4,2348,7
27-February-2024,70.03,70.03,70.03,70.03,2443,5
26-February-2024,68.66,68.66,68.66,68.66,1561,6
23-February-2024,67.3,67.32,67.3,67.32,1582,9
22-February-2024,67.13,67.13,65.79,66.0,33650,18
21-February-2024,67.13,67.13,67.13,67.13,17770,14
20-February-2024,68.5,68.5,68.49,68.5,6525,26
19-February-2024,66.89,68.5,66.89,68.5,4368,21
16-February-2024,68.49,68.65,67.28,68.25,12678,25
15-February-2024,68.6,68.65,68.6,68.65,8877,20
14-February-2024,67.62,70.0,67.62,70.0,26730,25
13-February-2024,75.0,75.0,67.91,69.0,91468,171
12-February-2024,71.48,71.48,71.48,71.48,75613,64
9-February-2024,68.08,68.08,68.08,68.08,26472,53
8-February-2024,64.84,64.84,64.8,64.84,11508,57
7-February-2024,61.76,61.76,61.76,61.76,18367,42
6-February-2024,57.0,58.82,57.0,58.82,15373,36
5-February-2024,56.02,56.02,56.02,56.02,25437,34
2-February-2024,52.32,53.36,52.32,53.36,12264,28
1-February-2024,50.28,52.32,50.28,52.32,19843,22
31-January-2024,51.3,51.3,51.3,51.3,25978,23
30-January-2024,52.34,52.34,52.34,52.34,22855,14
29-January-2024,53.4,53.4,53.4,53.4,10145,16
25-January-2024,54.48,54.48,54.48,54.48,25174,18
24-January-2024,55.59,55.59,55.59,55.59,11894,7
23-January-2024,56.72,56.72,56.72,56.72,20390,16
20-January-2024,57.87,57.87,57.87,57.87,38073,31
19-January-2024,59.05,59.05,59.05,59.05,451,7
18-January-2024,60.25,60.25,60.25,60.25,8710,19
17-January-2024,61.47,61.47,61.47,61.47,14008,28
16-January-2024,65.0,65.0,62.72,62.72,2749,15
15-January-2024,64.43,64.43,64.0,64.0,33361,29
12-January-2024,63.17,63.17,63.17,63.17,4836,10
11-January-2024,61.94,61.94,61.94,61.94,996,12
10-January-2024,60.73,60.73,60.73,60.73,1426,6
9-January-2024,59.54,59.54,59.54,59.54,5059,12
8-January-2024,58.38,58.38,58.38,58.38,3218,9
5-January-2024,57.0,57.24,57.0,57.24,11696,22
4-January-2024,56.12,56.12,56.12,56.12,7263,12
3-January-2024,55.02,55.02,55.02,55.02,385,4
2-January-2024,53.9,53.95,53.9,53.95,10964,19
1-January-2024,52.9,52.9,52.9,52.9,41529,21
29-December-2023,51.87,51.87,51.87,51.87,1896,8
28-December-2023,50.86,50.86,50.86,50.86,1001,3
27-December-2023,49.87,49.87,49.87,49.87,457,6
26-December-2023,48.9,48.9,48.9,48.9,10421,18
22-December-2023,47.95,47.95,47.95,47.95,10194,10
21-December-2023,47.0,47.01,46.55,47.01,8955,29
20-December-2023,47.85,47.85,47.5,47.5,19616,27
19-December-2023,46.9,46.92,46.9,46.92,13238,28
18-December-2023,46.0,46.0,46.0,46.0,31382,19
15-December-2023,45.1,45.1,45.1,45.1,7986,11
14-December-2023,44.0,44.22,43.0,44.22,11109,25
13-December-2023,43.36,43.36,43.0,43.36,106745,43
12-December-2023,42.51,42.51,42.51,42.51,2156,9
11-December-2023,41.68,41.68,41.68,41.68,2045,7
8-December-2023,40.87,40.87,40.87,40.87,6509,8
7-December-2023,40.07,40.07,40.07,40.07,1630,4
6-December-2023,39.29,39.29,39.29,39.29,31402,8
5-December-2023,38.52,38.52,38.52,38.52,1790,6
4-December-2023,37.77,37.77,37.77,37.77,1008,5
1-December-2023,37.03,37.03,37.03,37.03,7096,6
30-November-2023,36.31,36.31,36.31,36.31,1150,3
29-November-2023,35.6,35.6,35.6,35.6,138,3
28-November-2023,34.91,34.91,34.91,34.91,10808,6
24-November-2023,34.15,34.23,34.15,34.23,39841,14
23-November-2023,33.56,33.56,33.56,33.56,1950,6
22-November-2023,32.91,32.91,32.91,32.91,981,8
21-November-2023,32.0,32.27,32.0,32.27,2769,7
20-November-2023,31.64,31.64,31.64,31.64,2270,8
17-November-2023,31.02,31.02,31.0,31.02,2675,9
16-November-2023,30.42,30.42,30.42,30.42,825,5
15-November-2023,29.25,29.83,29.25,29.83,1506,5
13-November-2023,29.25,29.27,29.25,29.25,1043,3
12-November-2023,28.7,28.7,28.7,28.7,260,2
10-November-2023,28.56,28.56,28.56,28.56,255,3
9-November-2023,28.42,28.5,28.0,28.0,5320,11
8-November-2023,28.42,28.42,28.42,28.42,3110,4
2-November-2023,29.0,29.0,29.0,29.0,500,6
1-November-2023,28.75,28.75,28.75,28.75,825,6
31-October-2023,28.23,28.23,28.23,28.23,50,1
30-October-2023,28.23,28.23,28.23,28.23,502,5
27-October-2023,28.8,28.8,28.8,28.8,100,2
26-October-2023,29.38,29.38,29.38,29.38,150,3
25-October-2023,29.97,29.97,29.97,29.97,565,5
23-October-2023,30.69,30.69,30.58,30.58,5000,7
20-October-2023,30.09,30.09,29.5,30.09,2458,12
19-October-2023,28.65,29.5,28.0,29.5,31123,54
18-October-2023,28.05,28.77,27.95,28.1,64656,84
17-October-2023,26.1,27.4,26.1,27.4,8181,19
16-October-2023,25.4,26.14,25.0,26.1,739,19
13-October-2023,24.9,24.9,24.9,24.9,598,5
12-October-2023,24.0,24.0,23.75,23.75,173,3
11-October-2023,23.75,25.0,23.75,25.0,13,3
10-October-2023,25.58,25.58,24.1,25.0,930,6
9-October-2023,25.16,25.16,24.4,24.4,2010,4
6-October-2023,26.68,26.68,25.67,25.67,5050,3
3-October-2023,25.15,26.16,25.15,26.16,9511,10
29-September-2023,26.5,26.5,25.65,25.65,8258,7
28-September-2023,25.99,25.99,25.99,25.99,200,3
26-September-2023,26.52,26.52,26.52,26.52,1500,8
25-September-2023,26.0,26.0,26.0,26.0,200,1
18-September-2023,26.65,26.65,26.5,26.5,1000,4
15-September-2023,26.95,26.95,26.95,26.95,60,1
14-September-2023,27.0,27.0,26.99,27.0,3887,9
13-September-2023,26.52,27.0,26.4,27.0,13410,5
12-September-2023,27.6,27.6,26.52,26.52,10300,8
11-September-2023,27.06,27.06,27.06,27.06,520,3
8-September-2023,26.53,26.53,26.53,26.53,6168,8
7-September-2023,25.5,26.01,25.5,26.01,2500,3
6-September-2023,26.0,26.0,26.0,26.0,199,3
5-September-2023,26.53,26.92,26.5,26.5,4550,10
4-September-2023,27.36,27.36,26.4,26.4,34100,16
1-September-2023,26.8,26.83,26.8,26.83,2970,7
31-August-2023,26.31,26.32,26.3,26.31,19608,21
30-August-2023,26.0,26.32,26.0,26.32,2608,11
29-August-2023,25.81,25.81,25.81,25.81,6786,15
28-August-2023,24.5,24.59,24.5,24.59,6027,13
25-August-2023,22.5,23.42,21.5,23.42,4563,23
24-August-2023,21.94,23.03,21.6,22.31,36951,68
23-August-2023,21.05,21.99,21.05,21.94,3405,11
22-August-2023,21.35,21.35,21.0,21.35,125,5
21-August-2023,21.25,21.35,21.25,21.35,2984,2
18-August-2023,21.5,22.49,21.4,21.45,6688,25
17-August-2023,21.75,22.6,20.8,22.49,2292,13
16-August-2023,22.6,22.6,21.55,21.55,1000,7
14-August-2023,22.2,22.95,21.53,21.56,6523,13
11-August-2023,22.0,22.2,21.46,22.2,2837,13
10-August-2023,22.99,23.0,22.01,22.01,2084,12
9-August-2023,22.49,23.0,22.46,23.0,2099,11
8-August-2023,21.8,22.75,21.47,22.5,13176,24
7-August-2023,22.6,22.6,22.6,22.6,104,2
4-August-2023,23.0,23.0,22.17,22.34,3967,11
3-August-2023,22.6,23.0,22.55,23.0,1416,11
2-August-2023,22.32,23.71,22.32,23.68,607,4
1-August-2023,22.55,23.67,21.85,23.13,1774,7
31-July-2023,23.25,23.62,22.55,22.55,2150,6
28-July-2023,22.9,22.9,22.5,22.5,4070,5
27-July-2023,22.7,23.0,22.65,22.71,2202,8
26-July-2023,22.55,22.75,22.55,22.7,1165,5
25-July-2023,22.05,23.6,22.05,23.53,3083,15
24-July-2023,23.5,23.5,22.35,22.5,209,7
21-July-2023,23.2,23.5,22.99,23.02,5518,21
20-July-2023,22.1,23.2,22.1,23.16,2938,12
19-July-2023,23.25,23.25,22.1,22.1,3422,20
18-July-2023,22.7,23.0,22.6,23.0,1852,7
17-July-2023,23.0,23.55,23.0,23.16,1725,20
14-July-2023,23.05,23.25,23.05,23.25,748,9
13-July-2023,23.5,23.9,23.05,23.05,1613,22
12-July-2023,23.7,23.7,23.0,23.0,17349,55
11-July-2023,23.61,24.0,23.0,23.62,2773,20
10-July-2023,22.95,23.6,22.9,23.48,2846,21
7-July-2023,21.4,22.52,21.4,22.5,15705,25
6-July-2023,21.1,21.45,21.1,21.45,17,4
5-July-2023,20.81,21.5,20.3,21.5,2141,10
4-July-2023,20.45,21.9,20.45,20.7,6621,17
3-July-2023,21.8,21.8,21.4,21.5,401,5
30-June-2023,21.7,22.79,21.5,21.95,2206,11
28-June-2023,21.95,22.47,21.5,21.99,2409,6
27-June-2023,20.86,21.99,20.77,21.99,1601,10
26-June-2023,21.2,21.5,21.2,21.5,102255,7
23-June-2023,21.25,22.2,21.25,21.9,28,4
22-June-2023,22.0,22.0,21.8,21.81,568,8
21-June-2023,21.87,22.0,21.87,22.0,3821,13
20-June-2023,22.49,23.0,21.8,22.15,14450,32
19-June-2023,22.3,22.69,22.2,22.69,1217,8
16-June-2023,22.74,23.2,22.0,23.15,14848,31
15-June-2023,21.9,22.78,21.9,22.74,4015,15
14-June-2023,22.05,22.05,21.86,21.86,2121,10
13-June-2023,22.7,23.0,22.05,23.0,2090,4
12-June-2023,22.5,22.96,21.66,22.7,5740,22
9-June-2023,23.6,23.6,22.8,22.8,1105,4
8-June-2023,23.2,23.75,22.22,23.0,6370,22
7-June-2023,24.34,24.34,23.0,23.36,24079,44
6-June-2023,23.94,24.34,23.76,24.14,2200,19
5-June-2023,23.95,23.95,22.92,23.2,5157,29
2-June-2023,23.6,24.39,22.43,22.87,30337,75
31-May-2023,23.96,24.1,23.6,23.6,910,8
30-May-2023,24.51,24.74,24.46,24.46,258,15
29-May-2023,24.41,25.49,24.0,24.95,3850,84
26-May-2023,23.5,25.69,23.5,24.41,1009,13
25-May-2023,24.98,25.0,24.05,24.72,1995,16
24-May-2023,24.91,24.91,23.68,24.26,3161,40
23-May-2023,25.55,25.55,24.5,24.9,1252,10
22-May-2023,24.25,24.36,24.11,24.36,311,10
19-May-2023,24.5,24.5,22.55,23.67,3716,46
18-May-2023,23.6,24.25,23.51,23.51,2373,35
17-May-2023,23.9,23.9,23.49,23.52,386,29
16-May-2023,23.75,23.94,23.75,23.89,3195,15
