Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,filename
28-June-2024,2.0,2.1,1.96,2.1,40101,72,T. Spiritual World Ltd.
27-June-2024,2.08,2.08,1.9,2.0,196430,96,T. Spiritual World Ltd.
26-June-2024,1.94,1.99,1.82,1.99,77064,79,T. Spiritual World Ltd.
25-June-2024,1.92,1.92,1.9,1.9,29002,56,T. Spiritual World Ltd.
24-June-2024,1.83,1.83,1.68,1.83,56830,80,T. Spiritual World Ltd.
21-June-2024,1.78,1.78,1.75,1.75,608,10,T. Spiritual World Ltd.
20-June-2024,1.81,1.81,1.78,1.78,1251,9,T. Spiritual World Ltd.
19-June-2024,1.84,1.84,1.81,1.81,1762,10,T. Spiritual World Ltd.
18-June-2024,1.84,1.84,1.81,1.84,26300,23,T. Spiritual World Ltd.
14-June-2024,1.84,1.84,1.84,1.84,11097,19,T. Spiritual World Ltd.
13-June-2024,1.9,1.9,1.87,1.87,2410,5,T. Spiritual World Ltd.
12-June-2024,1.96,1.96,1.9,1.9,13489,10,T. Spiritual World Ltd.
11-June-2024,1.9,1.96,1.9,1.93,9519,22,T. Spiritual World Ltd.
10-June-2024,1.93,1.93,1.93,1.93,4524,9,T. Spiritual World Ltd.
7-June-2024,1.93,1.93,1.93,1.93,12620,14,T. Spiritual World Ltd.
6-June-2024,1.99,1.99,1.96,1.96,2751,8,T. Spiritual World Ltd.
5-June-2024,2.02,2.02,2.0,2.0,1776,11,T. Spiritual World Ltd.
4-June-2024,2.03,2.03,2.03,2.03,1493,5,T. Spiritual World Ltd.
3-June-2024,2.08,2.08,2.05,2.05,4079,15,T. Spiritual World Ltd.
31-May-2024,2.12,2.12,2.08,2.08,1052,8,T. Spiritual World Ltd.
30-May-2024,2.12,2.12,2.12,2.12,341,6,T. Spiritual World Ltd.
29-May-2024,2.16,2.16,2.12,2.12,3348,12,T. Spiritual World Ltd.
28-May-2024,2.16,2.16,2.16,2.16,680,5,T. Spiritual World Ltd.
27-May-2024,2.19,2.19,2.19,2.19,3423,9,T. Spiritual World Ltd.
24-May-2024,2.23,2.23,2.23,2.23,10,1,T. Spiritual World Ltd.
23-May-2024,2.27,2.27,2.27,2.27,3568,12,T. Spiritual World Ltd.
22-May-2024,2.31,2.31,2.31,2.31,1801,9,T. Spiritual World Ltd.
21-May-2024,2.39,2.39,2.31,2.31,11408,25,T. Spiritual World Ltd.
18-May-2024,2.35,2.35,2.35,2.35,702,2,T. Spiritual World Ltd.
17-May-2024,2.27,2.35,2.27,2.35,19093,28,T. Spiritual World Ltd.
16-May-2024,2.31,2.31,2.27,2.31,11102,31,T. Spiritual World Ltd.
