Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,filename
28-June-2024,946.0,951.95,940.2,941.6,11963,1006,TANLA PLATFORMS LIMITED
27-June-2024,938.75,960.5,938.75,945.3,43843,3271,TANLA PLATFORMS LIMITED
26-June-2024,940.4,964.0,940.4,947.3,11730,934,TANLA PLATFORMS LIMITED
25-June-2024,958.95,958.95,944.05,947.6,27809,2117,TANLA PLATFORMS LIMITED
24-June-2024,941.0,963.4,932.9,948.45,18768,1376,TANLA PLATFORMS LIMITED
21-June-2024,956.0,970.0,934.85,939.7,68969,4387,TANLA PLATFORMS LIMITED
20-June-2024,944.75,959.3,944.05,945.95,44163,3611,TANLA PLATFORMS LIMITED
19-June-2024,969.8,969.8,939.45,944.7,18831,1390,TANLA PLATFORMS LIMITED
18-June-2024,990.6,990.6,953.0,956.0,15340,951,TANLA PLATFORMS LIMITED
14-June-2024,944.0,984.0,935.45,967.3,149154,8533,TANLA PLATFORMS LIMITED
13-June-2024,965.55,970.05,936.35,940.55,73714,5531,TANLA PLATFORMS LIMITED
12-June-2024,929.7,990.9,926.0,959.5,121707,6178,TANLA PLATFORMS LIMITED
11-June-2024,927.0,928.2,912.0,922.15,35538,2511,TANLA PLATFORMS LIMITED
10-June-2024,920.6,929.25,913.0,915.3,31220,1591,TANLA PLATFORMS LIMITED
7-June-2024,898.6,921.95,898.6,909.8,22381,1286,TANLA PLATFORMS LIMITED
6-June-2024,886.0,911.0,880.0,897.7,49815,3453,TANLA PLATFORMS LIMITED
5-June-2024,892.9,892.9,835.25,868.55,51713,3754,TANLA PLATFORMS LIMITED
4-June-2024,921.0,925.0,815.05,860.75,32852,2561,TANLA PLATFORMS LIMITED
3-June-2024,930.1,945.95,916.05,918.1,26546,1349,TANLA PLATFORMS LIMITED
31-May-2024,930.95,931.0,910.0,918.05,44253,2964,TANLA PLATFORMS LIMITED
30-May-2024,935.8,938.9,922.45,930.2,16588,1028,TANLA PLATFORMS LIMITED
29-May-2024,918.5,943.35,914.3,935.8,19747,1244,TANLA PLATFORMS LIMITED
28-May-2024,921.15,942.15,912.55,922.55,22762,1366,TANLA PLATFORMS LIMITED
27-May-2024,902.95,925.45,893.65,920.55,44392,1972,TANLA PLATFORMS LIMITED
24-May-2024,879.95,903.45,875.0,897.0,11967,1089,TANLA PLATFORMS LIMITED
23-May-2024,885.0,891.4,876.05,878.55,7855,799,TANLA PLATFORMS LIMITED
22-May-2024,887.0,892.75,877.55,885.7,25812,2456,TANLA PLATFORMS LIMITED
21-May-2024,891.0,895.15,883.65,885.85,12428,961,TANLA PLATFORMS LIMITED
18-May-2024,899.9,931.95,889.35,897.65,3440,271,TANLA PLATFORMS LIMITED
17-May-2024,902.9,902.9,887.2,889.45,12957,753,TANLA PLATFORMS LIMITED
16-May-2024,901.05,909.85,888.15,890.65,7912,755,TANLA PLATFORMS LIMITED
15-May-2024,876.05,908.4,876.05,898.75,53660,4308,TANLA PLATFORMS LIMITED
14-May-2024,853.05,895.15,851.15,880.95,16272,1310,TANLA PLATFORMS LIMITED
13-May-2024,866.8,867.35,845.0,852.4,40689,2982,TANLA PLATFORMS LIMITED
10-May-2024,861.65,866.95,850.0,861.5,12465,954,TANLA PLATFORMS LIMITED
9-May-2024,877.55,884.35,855.3,859.7,55062,4013,TANLA PLATFORMS LIMITED
8-May-2024,875.65,888.0,875.0,877.9,35574,2906,TANLA PLATFORMS LIMITED
7-May-2024,892.7,895.85,876.7,882.3,44144,3390,TANLA PLATFORMS LIMITED
6-May-2024,898.95,904.9,886.0,893.6,22251,1340,TANLA PLATFORMS LIMITED
3-May-2024,901.45,914.85,887.2,892.9,66111,4027,TANLA PLATFORMS LIMITED
2-May-2024,915.75,919.5,893.5,897.45,40792,2662,TANLA PLATFORMS LIMITED
30-April-2024,917.25,930.0,912.9,915.7,35343,2684,TANLA PLATFORMS LIMITED
29-April-2024,936.2,941.15,912.05,916.1,64651,4979,TANLA PLATFORMS LIMITED
26-April-2024,964.55,964.55,932.0,935.7,47324,2228,TANLA PLATFORMS LIMITED
25-April-2024,986.0,999.55,955.35,966.4,73994,3651,TANLA PLATFORMS LIMITED
24-April-2024,938.45,1008.85,933.0,985.2,115006,5672,TANLA PLATFORMS LIMITED
23-April-2024,929.95,938.85,915.0,925.6,53064,2935,TANLA PLATFORMS LIMITED
22-April-2024,944.65,951.15,917.1,922.3,45716,3361,TANLA PLATFORMS LIMITED
19-April-2024,925.4,940.5,906.4,933.35,21169,1343,TANLA PLATFORMS LIMITED
18-April-2024,946.0,959.8,928.55,931.65,61203,3145,TANLA PLATFORMS LIMITED
16-April-2024,937.0,965.4,932.0,941.65,72149,3688,TANLA PLATFORMS LIMITED
15-April-2024,950.3,964.75,924.1,938.4,56264,2873,TANLA PLATFORMS LIMITED
12-April-2024,985.8,1024.75,977.45,984.45,75737,3376,TANLA PLATFORMS LIMITED
10-April-2024,919.0,1030.9,919.0,985.5,263303,9980,TANLA PLATFORMS LIMITED
9-April-2024,922.6,931.05,913.95,916.9,34901,2192,TANLA PLATFORMS LIMITED
8-April-2024,930.05,937.75,914.0,919.95,12127,775,TANLA PLATFORMS LIMITED
5-April-2024,924.9,947.25,915.4,926.25,21453,1185,TANLA PLATFORMS LIMITED
4-April-2024,936.95,941.6,918.65,925.05,27980,1393,TANLA PLATFORMS LIMITED
3-April-2024,927.15,939.3,916.05,927.85,33603,2087,TANLA PLATFORMS LIMITED
2-April-2024,846.75,949.0,842.4,933.3,325487,14291,TANLA PLATFORMS LIMITED
1-April-2024,832.1,847.2,825.8,842.4,17153,1194,TANLA PLATFORMS LIMITED
28-March-2024,819.95,847.3,813.4,819.0,89395,5677,TANLA PLATFORMS LIMITED
27-March-2024,825.05,849.55,801.0,815.45,37695,2342,TANLA PLATFORMS LIMITED
26-March-2024,859.6,865.0,820.0,823.45,30136,1771,TANLA PLATFORMS LIMITED
22-March-2024,835.05,856.0,835.05,849.6,46053,2671,TANLA PLATFORMS LIMITED
21-March-2024,824.9,844.45,824.9,838.85,52902,3017,TANLA PLATFORMS LIMITED
