Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,filename
28-June-2024,16.3,17.65,16.08,16.92,87731,621,TGB Banquets and Hotels Limited
27-June-2024,17.04,17.45,16.0,16.18,45570,390,TGB Banquets and Hotels Limited
26-June-2024,17.16,17.99,16.69,17.04,82258,421,TGB Banquets and Hotels Limited
25-June-2024,17.1,18.44,16.87,17.13,58859,486,TGB Banquets and Hotels Limited
24-June-2024,17.4,17.4,16.65,17.09,19691,228,TGB Banquets and Hotels Limited
21-June-2024,16.65,17.1,16.6,16.68,30492,221,TGB Banquets and Hotels Limited
20-June-2024,17.1,17.1,16.0,16.58,18046,191,TGB Banquets and Hotels Limited
19-June-2024,16.95,17.15,15.93,16.0,71897,655,TGB Banquets and Hotels Limited
18-June-2024,15.99,17.45,15.21,16.62,250847,936,TGB Banquets and Hotels Limited
14-June-2024,15.2,16.4,15.06,15.56,136214,680,TGB Banquets and Hotels Limited
13-June-2024,14.3,16.9,14.1,15.18,510022,1158,TGB Banquets and Hotels Limited
12-June-2024,13.5,14.47,13.5,14.09,14265,73,TGB Banquets and Hotels Limited
11-June-2024,14.64,14.65,14.15,14.25,9580,74,TGB Banquets and Hotels Limited
10-June-2024,14.89,14.89,14.36,14.37,3077,61,TGB Banquets and Hotels Limited
7-June-2024,14.9,14.9,14.4,14.5,6552,149,TGB Banquets and Hotels Limited
6-June-2024,15.0,15.0,13.82,14.15,35506,191,TGB Banquets and Hotels Limited
5-June-2024,15.4,15.4,12.81,13.69,72313,247,TGB Banquets and Hotels Limited
4-June-2024,14.52,14.52,13.6,14.0,12565,100,TGB Banquets and Hotels Limited
3-June-2024,14.41,15.0,14.22,14.52,18214,195,TGB Banquets and Hotels Limited
31-May-2024,15.97,15.97,13.61,14.08,41018,285,TGB Banquets and Hotels Limited
30-May-2024,14.63,14.83,14.0,14.67,30340,212,TGB Banquets and Hotels Limited
29-May-2024,14.36,14.95,14.1,14.33,59340,299,TGB Banquets and Hotels Limited
28-May-2024,16.63,16.63,14.95,15.43,15444,203,TGB Banquets and Hotels Limited
27-May-2024,14.33,16.5,14.33,16.01,29390,110,TGB Banquets and Hotels Limited
24-May-2024,15.64,16.05,15.0,15.47,34810,136,TGB Banquets and Hotels Limited
23-May-2024,15.95,16.11,15.0,15.64,61407,460,TGB Banquets and Hotels Limited
22-May-2024,16.38,16.39,15.9,15.95,2582,77,TGB Banquets and Hotels Limited
21-May-2024,16.69,16.99,15.91,16.06,12369,72,TGB Banquets and Hotels Limited
18-May-2024,16.94,17.65,16.94,17.03,18002,25,TGB Banquets and Hotels Limited
17-May-2024,16.25,17.12,16.25,16.81,26105,117,TGB Banquets and Hotels Limited
16-May-2024,16.49,17.0,16.49,16.95,28884,159,TGB Banquets and Hotels Limited
15-May-2024,16.6,16.69,16.21,16.37,19278,165,TGB Banquets and Hotels Limited
14-May-2024,17.1,17.5,16.11,16.51,37332,222,TGB Banquets and Hotels Limited
13-May-2024,16.26,17.43,16.17,16.66,53293,181,TGB Banquets and Hotels Limited
10-May-2024,15.16,15.99,14.9,15.85,49862,147,TGB Banquets and Hotels Limited
9-May-2024,14.94,15.1,14.61,15.02,2841,50,TGB Banquets and Hotels Limited
8-May-2024,15.06,15.34,14.6,14.67,13923,87,TGB Banquets and Hotels Limited
7-May-2024,14.82,14.92,14.7,14.82,2112,23,TGB Banquets and Hotels Limited
6-May-2024,14.87,15.29,14.5,14.87,23484,77,TGB Banquets and Hotels Limited
3-May-2024,15.02,15.64,14.8,14.95,21863,109,TGB Banquets and Hotels Limited
2-May-2024,15.61,16.25,14.89,15.17,78780,335,TGB Banquets and Hotels Limited
30-April-2024,15.83,15.85,15.31,15.75,20189,147,TGB Banquets and Hotels Limited
29-April-2024,15.59,16.66,15.5,15.81,58672,104,TGB Banquets and Hotels Limited
26-April-2024,15.64,15.79,15.0,15.18,24035,63,TGB Banquets and Hotels Limited
25-April-2024,15.51,15.89,15.26,15.49,15972,88,TGB Banquets and Hotels Limited
24-April-2024,15.58,16.3,15.2,15.68,58327,128,TGB Banquets and Hotels Limited
23-April-2024,14.96,15.85,14.96,15.27,32503,50,TGB Banquets and Hotels Limited
22-April-2024,15.38,16.14,15.0,15.24,43155,108,TGB Banquets and Hotels Limited
19-April-2024,14.99,15.81,14.99,15.08,14207,133,TGB Banquets and Hotels Limited
18-April-2024,15.32,15.92,14.98,15.06,17809,50,TGB Banquets and Hotels Limited
16-April-2024,14.84,15.75,14.8,15.29,30510,92,TGB Banquets and Hotels Limited
15-April-2024,15.42,15.44,14.6,15.07,17269,93,TGB Banquets and Hotels Limited
12-April-2024,17.0,17.0,15.7,15.81,5401,71,TGB Banquets and Hotels Limited
10-April-2024,15.16,16.99,15.16,16.95,56683,119,TGB Banquets and Hotels Limited
9-April-2024,15.68,16.04,15.26,15.47,28152,182,TGB Banquets and Hotels Limited
8-April-2024,16.59,16.92,15.68,16.16,3687,33,TGB Banquets and Hotels Limited
5-April-2024,16.6,16.81,16.26,16.59,26316,63,TGB Banquets and Hotels Limited
4-April-2024,16.5,16.59,16.02,16.24,19186,85,TGB Banquets and Hotels Limited
3-April-2024,15.98,16.59,15.4,16.21,14297,68,TGB Banquets and Hotels Limited
2-April-2024,15.51,16.0,15.45,15.83,5679,57,TGB Banquets and Hotels Limited
1-April-2024,15.42,15.42,15.01,15.42,36366,72,TGB Banquets and Hotels Limited
28-March-2024,14.69,15.34,14.69,14.69,12433,105,TGB Banquets and Hotels Limited
27-March-2024,15.0,15.51,15.0,15.46,39620,98,TGB Banquets and Hotels Limited
26-March-2024,14.96,15.07,14.02,14.78,14745,78,TGB Banquets and Hotels Limited
22-March-2024,14.46,14.47,13.78,14.47,27234,79,TGB Banquets and Hotels Limited
21-March-2024,13.27,13.79,13.05,13.79,15186,75,TGB Banquets and Hotels Limited
20-March-2024,13.53,13.53,12.61,13.14,8670,59,TGB Banquets and Hotels Limited
19-March-2024,13.12,13.34,12.85,12.89,37126,90,TGB Banquets and Hotels Limited
18-March-2024,12.98,13.2,12.65,13.08,22650,105,TGB Banquets and Hotels Limited
15-March-2024,13.31,13.9,12.64,12.76,46719,211,TGB Banquets and Hotels Limited
14-March-2024,12.86,13.65,12.86,13.3,33018,143,TGB Banquets and Hotels Limited
13-March-2024,14.17,14.44,13.53,13.53,26003,101,TGB Banquets and Hotels Limited
12-March-2024,14.25,14.55,13.83,14.24,29191,66,TGB Banquets and Hotels Limited
11-March-2024,15.18,15.5,14.42,14.54,25055,201,TGB Banquets and Hotels Limited
7-March-2024,14.94,15.25,14.73,15.17,6220,67,TGB Banquets and Hotels Limited
6-March-2024,14.94,15.35,14.94,14.94,20620,74,TGB Banquets and Hotels Limited
5-March-2024,16.45,16.65,15.72,15.72,63558,146,TGB Banquets and Hotels Limited
4-March-2024,17.1,17.44,16.54,16.54,24525,64,TGB Banquets and Hotels Limited
2-March-2024,17.27,17.6,17.0,17.41,3754,47,TGB Banquets and Hotels Limited
1-March-2024,17.19,17.19,16.42,16.94,3576,23,TGB Banquets and Hotels Limited
29-February-2024,16.4,16.98,16.13,16.89,5521,22,TGB Banquets and Hotels Limited
28-February-2024,17.2,18.32,16.61,16.85,13322,40,TGB Banquets and Hotels Limited
27-February-2024,16.65,17.48,16.02,17.48,11304,29,TGB Banquets and Hotels Limited
26-February-2024,16.51,17.79,16.51,16.65,1917,22,TGB Banquets and Hotels Limited
23-February-2024,16.99,17.98,16.99,17.04,23785,63,TGB Banquets and Hotels Limited
22-February-2024,17.4,17.99,17.05,17.44,10312,35,TGB Banquets and Hotels Limited
21-February-2024,17.69,17.69,16.81,17.17,43130,104,TGB Banquets and Hotels Limited
20-February-2024,17.28,17.3,16.85,16.88,20246,31,TGB Banquets and Hotels Limited
19-February-2024,17.1,17.1,16.45,16.6,17497,15,TGB Banquets and Hotels Limited
16-February-2024,17.6,17.6,16.2,16.35,12639,37,TGB Banquets and Hotels Limited
15-February-2024,17.0,17.39,16.11,17.0,2980,16,TGB Banquets and Hotels Limited
14-February-2024,16.6,16.62,15.21,16.62,9363,28,TGB Banquets and Hotels Limited
13-February-2024,17.2,17.2,15.66,15.83,13980,23,TGB Banquets and Hotels Limited
12-February-2024,17.77,17.89,16.26,16.39,24491,77,TGB Banquets and Hotels Limited
9-February-2024,17.55,17.55,16.72,17.04,7395,36,TGB Banquets and Hotels Limited
8-February-2024,17.35,17.89,17.0,17.53,19670,35,TGB Banquets and Hotels Limited
7-February-2024,17.14,17.95,16.6,17.08,50510,80,TGB Banquets and Hotels Limited
6-February-2024,16.0,17.14,16.0,17.14,14776,36,TGB Banquets and Hotels Limited
5-February-2024,16.73,17.15,16.0,16.33,63077,142,TGB Banquets and Hotels Limited
2-February-2024,16.25,16.72,16.24,16.4,32634,80,TGB Banquets and Hotels Limited
1-February-2024,16.1,16.72,15.8,15.93,18994,52,TGB Banquets and Hotels Limited
31-January-2024,16.04,16.11,15.8,16.01,12917,34,TGB Banquets and Hotels Limited
30-January-2024,16.73,16.73,15.66,16.05,10989,26,TGB Banquets and Hotels Limited
29-January-2024,16.14,16.72,15.82,16.03,37651,45,TGB Banquets and Hotels Limited
25-January-2024,16.71,16.71,16.02,16.16,6274,22,TGB Banquets and Hotels Limited
24-January-2024,15.68,16.48,15.68,16.06,29294,52,TGB Banquets and Hotels Limited
23-January-2024,16.1,16.35,15.52,15.94,21224,45,TGB Banquets and Hotels Limited
20-January-2024,15.47,16.42,15.47,16.12,29766,61,TGB Banquets and Hotels Limited
19-January-2024,16.25,16.3,15.56,16.28,30588,44,TGB Banquets and Hotels Limited
18-January-2024,15.55,17.1,15.53,16.15,95294,134,TGB Banquets and Hotels Limited
17-January-2024,16.34,16.34,16.34,16.34,41022,52,TGB Banquets and Hotels Limited
16-January-2024,17.43,17.43,16.1,17.19,192620,238,TGB Banquets and Hotels Limited
15-January-2024,16.6,16.6,16.6,16.6,54182,35,TGB Banquets and Hotels Limited
12-January-2024,15.81,15.81,15.81,15.81,19235,25,TGB Banquets and Hotels Limited
11-January-2024,15.5,15.5,15.5,15.5,19987,24,TGB Banquets and Hotels Limited
10-January-2024,14.85,15.2,14.85,15.2,75616,43,TGB Banquets and Hotels Limited
9-January-2024,14.91,14.91,14.91,14.91,39498,23,TGB Banquets and Hotels Limited
8-January-2024,14.6,14.62,14.6,14.62,86217,54,TGB Banquets and Hotels Limited
5-January-2024,13.8,14.34,13.8,14.34,52433,82,TGB Banquets and Hotels Limited
4-January-2024,14.04,14.06,14.04,14.06,50971,81,TGB Banquets and Hotels Limited
3-January-2024,14.32,14.32,14.32,14.32,33220,32,TGB Banquets and Hotels Limited
2-January-2024,14.61,14.61,14.61,14.61,5215,23,TGB Banquets and Hotels Limited
1-January-2024,14.9,14.9,14.9,14.9,9443,33,TGB Banquets and Hotels Limited
29-December-2023,15.2,15.2,15.2,15.2,3414,17,TGB Banquets and Hotels Limited
28-December-2023,15.51,15.51,15.51,15.51,1845,16,TGB Banquets and Hotels Limited
27-December-2023,15.82,15.82,15.82,15.82,3271,18,TGB Banquets and Hotels Limited
26-December-2023,16.14,16.14,16.14,16.14,2053,16,TGB Banquets and Hotels Limited
22-December-2023,16.46,16.46,16.46,16.46,5650,21,TGB Banquets and Hotels Limited
21-December-2023,16.79,16.79,16.79,16.79,2438,13,TGB Banquets and Hotels Limited
20-December-2023,17.13,17.13,17.13,17.13,5114,13,TGB Banquets and Hotels Limited
19-December-2023,17.47,17.47,17.47,17.47,1584,10,TGB Banquets and Hotels Limited
18-December-2023,17.82,17.82,17.82,17.82,9960,22,TGB Banquets and Hotels Limited
15-December-2023,18.18,18.18,18.18,18.18,1823,17,TGB Banquets and Hotels Limited
14-December-2023,18.55,18.55,18.55,18.55,2131,19,TGB Banquets and Hotels Limited
13-December-2023,18.92,18.92,18.92,18.92,3520,15,TGB Banquets and Hotels Limited
12-December-2023,19.3,19.3,19.3,19.3,3259,13,TGB Banquets and Hotels Limited
11-December-2023,19.69,19.69,19.69,19.69,2326,25,TGB Banquets and Hotels Limited
8-December-2023,20.09,20.09,20.09,20.09,21748,47,TGB Banquets and Hotels Limited
7-December-2023,20.49,20.5,19.8,20.5,216289,222,TGB Banquets and Hotels Limited
6-December-2023,19.53,19.53,17.71,19.53,143020,283,TGB Banquets and Hotels Limited
5-December-2023,17.72,18.6,17.72,18.6,69176,103,TGB Banquets and Hotels Limited
4-December-2023,17.1,17.72,16.1,17.72,120130,144,TGB Banquets and Hotels Limited
1-December-2023,16.5,16.88,15.5,16.88,133312,188,TGB Banquets and Hotels Limited
30-November-2023,14.6,16.08,14.56,16.08,139038,253,TGB Banquets and Hotels Limited
29-November-2023,15.41,15.55,15.32,15.32,164820,1070,TGB Banquets and Hotels Limited
28-November-2023,17.01,17.5,16.12,16.12,183759,292,TGB Banquets and Hotels Limited
24-November-2023,16.48,16.96,16.12,16.96,201159,397,TGB Banquets and Hotels Limited
23-November-2023,14.23,15.42,14.01,15.42,259990,922,TGB Banquets and Hotels Limited
22-November-2023,12.75,14.03,12.74,14.02,108559,285,TGB Banquets and Hotels Limited
21-November-2023,12.0,13.2,12.0,12.76,24257,212,TGB Banquets and Hotels Limited
20-November-2023,13.02,13.16,12.71,12.83,6760,64,TGB Banquets and Hotels Limited
17-November-2023,13.0,13.12,12.78,12.88,33170,115,TGB Banquets and Hotels Limited
16-November-2023,13.06,13.33,12.87,13.01,26912,172,TGB Banquets and Hotels Limited
15-November-2023,12.84,13.02,12.49,12.8,47910,535,TGB Banquets and Hotels Limited
13-November-2023,13.2,13.27,12.45,12.84,53884,165,TGB Banquets and Hotels Limited
12-November-2023,13.0,13.56,13.0,13.1,19148,178,TGB Banquets and Hotels Limited
10-November-2023,12.9,13.65,12.45,12.97,87061,2309,TGB Banquets and Hotels Limited
9-November-2023,13.0,13.4,12.07,12.94,110889,291,TGB Banquets and Hotels Limited
8-November-2023,12.73,13.92,12.35,12.72,146638,273,TGB Banquets and Hotels Limited
7-November-2023,13.11,13.2,12.35,12.66,52769,582,TGB Banquets and Hotels Limited
6-November-2023,12.65,13.69,12.0,13.18,149129,409,TGB Banquets and Hotels Limited
3-November-2023,11.89,12.67,11.39,12.49,123586,390,TGB Banquets and Hotels Limited
2-November-2023,11.25,11.88,10.92,11.6,68742,207,TGB Banquets and Hotels Limited
1-November-2023,10.87,11.64,10.87,11.27,73370,230,TGB Banquets and Hotels Limited
31-October-2023,10.83,11.02,10.54,10.59,11202,65,TGB Banquets and Hotels Limited
30-October-2023,11.65,11.65,10.55,10.94,79417,87,TGB Banquets and Hotels Limited
27-October-2023,11.47,11.96,11.06,11.42,27870,60,TGB Banquets and Hotels Limited
26-October-2023,10.63,11.41,10.3,10.88,70133,181,TGB Banquets and Hotels Limited
25-October-2023,11.51,12.08,10.88,11.04,50141,186,TGB Banquets and Hotels Limited
23-October-2023,11.55,12.4,11.05,11.74,93658,336,TGB Banquets and Hotels Limited
20-October-2023,13.0,13.35,11.59,11.77,169820,486,TGB Banquets and Hotels Limited
19-October-2023,11.5,12.45,11.11,12.42,224616,378,TGB Banquets and Hotels Limited
18-October-2023,10.89,11.48,10.35,11.32,147913,414,TGB Banquets and Hotels Limited
17-October-2023,10.62,10.65,10.53,10.6,3778,18,TGB Banquets and Hotels Limited
16-October-2023,11.0,11.0,10.5,10.69,23647,107,TGB Banquets and Hotels Limited
13-October-2023,10.12,10.5,10.12,10.2,23157,52,TGB Banquets and Hotels Limited
12-October-2023,10.08,10.2,9.99,10.09,8809,34,TGB Banquets and Hotels Limited
11-October-2023,10.17,10.17,9.73,9.94,11460,56,TGB Banquets and Hotels Limited
10-October-2023,9.55,10.1,9.55,9.9,22185,164,TGB Banquets and Hotels Limited
9-October-2023,10.15,10.15,9.72,9.86,13634,71,TGB Banquets and Hotels Limited
6-October-2023,10.49,10.49,10.0,10.08,11864,32,TGB Banquets and Hotels Limited
5-October-2023,10.21,10.21,9.85,10.01,11403,58,TGB Banquets and Hotels Limited
4-October-2023,10.03,10.39,9.93,10.01,8789,60,TGB Banquets and Hotels Limited
3-October-2023,9.65,10.27,9.65,10.18,16677,145,TGB Banquets and Hotels Limited
29-September-2023,10.1,10.22,9.9,10.02,719,11,TGB Banquets and Hotels Limited
28-September-2023,9.97,10.3,9.82,10.02,15343,69,TGB Banquets and Hotels Limited
27-September-2023,9.9,10.13,9.71,10.02,4125,34,TGB Banquets and Hotels Limited
26-September-2023,9.9,9.9,9.57,9.85,5507,67,TGB Banquets and Hotels Limited
25-September-2023,9.27,10.15,9.27,9.95,4487,65,TGB Banquets and Hotels Limited
22-September-2023,9.71,10.23,9.65,9.68,36652,114,TGB Banquets and Hotels Limited
21-September-2023,10.05,10.06,9.66,9.96,16926,68,TGB Banquets and Hotels Limited
20-September-2023,10.07,10.07,9.79,10.02,1061,12,TGB Banquets and Hotels Limited
18-September-2023,9.93,10.15,9.66,10.04,13224,58,TGB Banquets and Hotels Limited
15-September-2023,9.71,10.3,9.71,10.13,26681,58,TGB Banquets and Hotels Limited
14-September-2023,10.0,10.32,9.78,10.11,38730,125,TGB Banquets and Hotels Limited
13-September-2023,10.59,10.59,9.85,9.85,22047,67,TGB Banquets and Hotels Limited
12-September-2023,10.83,10.83,10.36,10.36,30739,84,TGB Banquets and Hotels Limited
11-September-2023,10.97,10.97,10.9,10.9,13704,40,TGB Banquets and Hotels Limited
8-September-2023,11.0,11.0,10.72,10.79,48171,38,TGB Banquets and Hotels Limited
7-September-2023,10.8,11.03,10.57,10.91,12128,45,TGB Banquets and Hotels Limited
6-September-2023,10.83,10.9,10.56,10.75,19133,64,TGB Banquets and Hotels Limited
5-September-2023,12.07,12.11,11.04,11.04,560718,353,TGB Banquets and Hotels Limited
4-September-2023,11.42,11.62,11.42,11.62,72847,92,TGB Banquets and Hotels Limited
1-September-2023,10.58,11.07,10.41,11.07,101387,136,TGB Banquets and Hotels Limited
31-August-2023,10.7,11.0,10.55,10.55,15935,91,TGB Banquets and Hotels Limited
30-August-2023,10.26,10.62,9.94,10.55,69634,188,TGB Banquets and Hotels Limited
29-August-2023,9.86,10.28,9.57,10.12,60697,439,TGB Banquets and Hotels Limited
28-August-2023,9.65,9.92,9.65,9.84,9899,47,TGB Banquets and Hotels Limited
25-August-2023,9.66,9.91,9.66,9.81,9023,43,TGB Banquets and Hotels Limited
24-August-2023,9.73,9.9,9.65,9.85,7316,49,TGB Banquets and Hotels Limited
23-August-2023,9.63,9.9,9.48,9.72,18103,69,TGB Banquets and Hotels Limited
22-August-2023,9.49,9.72,9.49,9.66,3552,33,TGB Banquets and Hotels Limited
21-August-2023,9.34,9.8,9.34,9.41,8506,40,TGB Banquets and Hotels Limited
18-August-2023,9.76,9.76,9.32,9.57,29720,91,TGB Banquets and Hotels Limited
17-August-2023,9.22,9.76,9.22,9.76,788,9,TGB Banquets and Hotels Limited
16-August-2023,9.94,9.94,9.63,9.64,529,11,TGB Banquets and Hotels Limited
11-August-2023,9.67,9.67,9.35,9.47,5005,10,TGB Banquets and Hotels Limited
10-August-2023,9.67,9.8,9.65,9.71,2372,7,TGB Banquets and Hotels Limited
9-August-2023,9.61,9.99,9.61,9.99,2291,7,TGB Banquets and Hotels Limited
8-August-2023,9.55,9.99,9.55,9.95,1265,9,TGB Banquets and Hotels Limited
7-August-2023,9.64,10.1,9.64,9.72,3331,18,TGB Banquets and Hotels Limited
4-August-2023,9.41,10.14,9.41,10.14,2227,2,TGB Banquets and Hotels Limited
3-August-2023,9.8,10.0,9.6,9.7,13015,24,TGB Banquets and Hotels Limited
2-August-2023,9.7,10.22,9.7,10.02,2129,8,TGB Banquets and Hotels Limited
1-August-2023,10.1,10.1,9.9,9.9,5951,21,TGB Banquets and Hotels Limited
31-July-2023,9.52,10.09,9.52,9.9,4752,22,TGB Banquets and Hotels Limited
28-July-2023,9.69,9.71,9.5,9.71,3815,10,TGB Banquets and Hotels Limited
27-July-2023,9.65,9.67,9.25,9.25,400,5,TGB Banquets and Hotels Limited
26-July-2023,9.89,9.89,9.41,9.49,2253,12,TGB Banquets and Hotels Limited
25-July-2023,9.21,9.6,9.21,9.45,3458,23,TGB Banquets and Hotels Limited
24-July-2023,9.67,9.67,9.3,9.54,1110,20,TGB Banquets and Hotels Limited
21-July-2023,9.5,9.83,9.36,9.67,15696,12,TGB Banquets and Hotels Limited
20-July-2023,9.6,9.76,9.25,9.69,10996,21,TGB Banquets and Hotels Limited
19-July-2023,9.5,9.65,9.25,9.6,9821,38,TGB Banquets and Hotels Limited
18-July-2023,10.2,10.2,9.5,9.5,22156,41,TGB Banquets and Hotels Limited
17-July-2023,9.53,10.15,9.53,10.0,27298,9,TGB Banquets and Hotels Limited
14-July-2023,10.15,10.15,9.51,9.81,13232,12,TGB Banquets and Hotels Limited
13-July-2023,9.69,9.69,9.68,9.68,1312,5,TGB Banquets and Hotels Limited
12-July-2023,9.89,9.89,9.25,9.69,10171,24,TGB Banquets and Hotels Limited
11-July-2023,10.2,10.2,9.69,9.7,26816,39,TGB Banquets and Hotels Limited
10-July-2023,10.15,10.41,9.73,10.2,5982,17,TGB Banquets and Hotels Limited
7-July-2023,10.56,10.56,10.09,10.09,9587,21,TGB Banquets and Hotels Limited
6-July-2023,10.44,10.62,10.41,10.62,6518,8,TGB Banquets and Hotels Limited
5-July-2023,10.15,10.45,10.1,10.14,762,7,TGB Banquets and Hotels Limited
4-July-2023,11.02,11.02,10.01,10.22,17925,28,TGB Banquets and Hotels Limited
3-July-2023,10.7,10.79,10.29,10.53,4088,17,TGB Banquets and Hotels Limited
30-June-2023,10.7,10.7,10.7,10.7,100,1,TGB Banquets and Hotels Limited
28-June-2023,10.5,10.5,10.11,10.25,9865,26,TGB Banquets and Hotels Limited
27-June-2023,10.03,10.7,10.03,10.61,6405,11,TGB Banquets and Hotels Limited
26-June-2023,10.55,10.8,10.55,10.55,4411,34,TGB Banquets and Hotels Limited
23-June-2023,10.29,11.18,10.29,11.1,5555,13,TGB Banquets and Hotels Limited
22-June-2023,10.56,10.7,10.56,10.65,2274,4,TGB Banquets and Hotels Limited
21-June-2023,10.99,11.35,10.75,10.88,3853,21,TGB Banquets and Hotels Limited
20-June-2023,10.88,10.99,10.71,10.99,2092,7,TGB Banquets and Hotels Limited
19-June-2023,11.15,11.15,11.15,11.15,115,3,TGB Banquets and Hotels Limited
16-June-2023,10.62,11.19,10.62,10.75,10083,26,TGB Banquets and Hotels Limited
15-June-2023,11.1,11.25,11.01,11.03,5921,15,TGB Banquets and Hotels Limited
14-June-2023,11.25,11.69,10.94,11.58,6082,18,TGB Banquets and Hotels Limited
13-June-2023,11.53,11.53,10.95,11.25,1171,6,TGB Banquets and Hotels Limited
12-June-2023,11.6,11.6,11.06,11.1,1280,7,TGB Banquets and Hotels Limited
9-June-2023,11.6,11.6,11.6,11.6,10,1,TGB Banquets and Hotels Limited
8-June-2023,11.01,11.64,11.01,11.28,4016,11,TGB Banquets and Hotels Limited
7-June-2023,11.5,11.79,11.25,11.4,5850,16,TGB Banquets and Hotels Limited
6-June-2023,11.3,11.73,11.3,11.6,7088,23,TGB Banquets and Hotels Limited
5-June-2023,10.88,11.55,10.88,11.55,22508,27,TGB Banquets and Hotels Limited
2-June-2023,10.31,11.27,10.31,11.0,13705,30,TGB Banquets and Hotels Limited
1-June-2023,10.82,10.82,10.53,10.74,4232,15,TGB Banquets and Hotels Limited
31-May-2023,10.41,11.17,10.36,11.08,5715,19,TGB Banquets and Hotels Limited
30-May-2023,10.65,11.0,10.25,10.9,10936,17,TGB Banquets and Hotels Limited
29-May-2023,10.7,11.09,10.7,10.71,4436,9,TGB Banquets and Hotels Limited
26-May-2023,10.85,11.19,10.5,11.19,4180,10,TGB Banquets and Hotels Limited
25-May-2023,11.13,11.13,10.7,10.85,1024,8,TGB Banquets and Hotels Limited
24-May-2023,11.38,11.38,10.7,11.05,3753,13,TGB Banquets and Hotels Limited
23-May-2023,11.5,11.66,11.06,11.15,7658,30,TGB Banquets and Hotels Limited
22-May-2023,11.37,12.07,11.37,11.55,11509,26,TGB Banquets and Hotels Limited
19-May-2023,12.0,12.52,11.75,11.88,17475,103,TGB Banquets and Hotels Limited
18-May-2023,13.03,13.03,12.08,12.34,12435,74,TGB Banquets and Hotels Limited
17-May-2023,12.58,12.58,12.28,12.42,28582,59,TGB Banquets and Hotels Limited
16-May-2023,12.25,13.1,12.25,12.69,3411,76,TGB Banquets and Hotels Limited
