Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,filename
28-June-2024,21.25,21.58,20.89,20.97,12835,167,Take Solutions Ltd
27-June-2024,21.6,21.75,21.2,21.29,81819,408,Take Solutions Ltd
26-June-2024,21.63,21.99,21.31,21.67,35389,191,Take Solutions Ltd
25-June-2024,21.93,21.93,21.17,21.21,32318,203,Take Solutions Ltd
24-June-2024,22.85,22.85,21.62,21.72,52464,384,Take Solutions Ltd
21-June-2024,21.72,22.67,21.72,22.19,40785,313,Take Solutions Ltd
20-June-2024,21.7,21.71,21.32,21.43,20499,156,Take Solutions Ltd
19-June-2024,21.18,21.79,21.15,21.35,39347,341,Take Solutions Ltd
18-June-2024,22.48,22.48,21.43,21.55,58797,452,Take Solutions Ltd
14-June-2024,22.72,22.72,21.85,22.04,5969,100,Take Solutions Ltd
13-June-2024,22.7,22.71,21.77,22.3,25018,272,Take Solutions Ltd
12-June-2024,22.06,22.79,22.06,22.35,15428,170,Take Solutions Ltd
11-June-2024,21.49,22.43,21.06,22.06,15370,221,Take Solutions Ltd
10-June-2024,22.15,22.15,21.31,21.49,108598,373,Take Solutions Ltd
7-June-2024,21.0,21.82,20.15,21.72,106063,527,Take Solutions Ltd
6-June-2024,20.08,20.95,19.76,20.05,50284,316,Take Solutions Ltd
5-June-2024,20.0,20.1,19.0,20.08,63832,507,Take Solutions Ltd
4-June-2024,20.8,20.8,19.13,19.15,42934,234,Take Solutions Ltd
3-June-2024,21.19,21.19,20.0,20.13,26155,218,Take Solutions Ltd
31-May-2024,20.86,20.86,19.81,20.19,17508,264,Take Solutions Ltd
30-May-2024,20.63,21.21,20.12,20.48,12154,171,Take Solutions Ltd
29-May-2024,20.11,20.94,20.11,20.63,47154,412,Take Solutions Ltd
28-May-2024,21.58,21.93,20.84,20.91,88403,300,Take Solutions Ltd
27-May-2024,24.22,24.22,21.92,21.93,39787,207,Take Solutions Ltd
24-May-2024,24.11,24.25,22.96,23.07,85329,552,Take Solutions Ltd
