Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,filename
28-June-2024,329.05,333.1,321.1,322.1,91243,3185,Time Technoplast Limited
27-June-2024,338.05,338.05,324.15,328.45,72597,2135,Time Technoplast Limited
26-June-2024,343.85,349.6,331.9,333.35,260919,5307,Time Technoplast Limited
25-June-2024,342.5,342.5,328.5,331.4,52156,1660,Time Technoplast Limited
24-June-2024,337.5,348.4,331.5,336.95,177699,5000,Time Technoplast Limited
21-June-2024,329.5,352.5,318.9,336.5,648181,13329,Time Technoplast Limited
20-June-2024,301.35,303.3,295.2,297.1,22424,898,Time Technoplast Limited
19-June-2024,301.5,301.5,292.4,296.95,46527,1129,Time Technoplast Limited
18-June-2024,306.05,310.95,300.05,300.45,45153,807,Time Technoplast Limited
14-June-2024,306.25,314.95,302.2,306.1,408406,2708,Time Technoplast Limited
13-June-2024,299.75,308.95,297.2,306.85,111587,3908,Time Technoplast Limited
12-June-2024,291.05,307.95,286.35,295.5,239701,6267,Time Technoplast Limited
11-June-2024,290.0,290.85,284.15,285.85,51333,1538,Time Technoplast Limited
10-June-2024,285.75,293.4,281.0,283.8,69453,1846,Time Technoplast Limited
7-June-2024,278.6,284.55,274.15,280.6,21994,961,Time Technoplast Limited
6-June-2024,268.5,280.0,268.5,278.0,32143,1244,Time Technoplast Limited
5-June-2024,264.15,274.8,254.1,267.15,93867,2762,Time Technoplast Limited
4-June-2024,285.0,288.5,245.0,266.7,175378,3415,Time Technoplast Limited
3-June-2024,291.3,291.7,280.8,287.6,117760,3707,Time Technoplast Limited
31-May-2024,266.55,280.15,266.55,275.55,173928,4584,Time Technoplast Limited
30-May-2024,272.0,272.95,263.35,266.0,14326,582,Time Technoplast Limited
29-May-2024,296.95,296.95,267.3,271.85,35262,1448,Time Technoplast Limited
28-May-2024,277.2,278.2,264.05,272.55,34016,1056,Time Technoplast Limited
27-May-2024,265.1,274.5,261.15,265.25,66246,1690,Time Technoplast Limited
24-May-2024,291.85,292.2,267.7,269.9,84929,2492,Time Technoplast Limited
23-May-2024,286.7,296.45,284.85,287.3,105859,2577,Time Technoplast Limited
22-May-2024,285.05,292.0,283.5,286.15,56476,1517,Time Technoplast Limited
21-May-2024,285.0,300.0,284.05,286.0,140656,4080,Time Technoplast Limited
18-May-2024,292.5,292.5,285.0,286.5,3586,433,Time Technoplast Limited
17-May-2024,291.8,293.35,284.4,289.1,22290,767,Time Technoplast Limited
16-May-2024,284.95,291.0,282.4,286.75,36503,1018,Time Technoplast Limited
15-May-2024,277.75,283.85,275.75,279.85,69897,1905,Time Technoplast Limited
14-May-2024,261.15,277.45,261.15,275.8,19394,685,Time Technoplast Limited
13-May-2024,264.45,268.6,252.9,263.8,59860,1627,Time Technoplast Limited
10-May-2024,255.05,266.35,248.5,264.7,38625,1344,Time Technoplast Limited
9-May-2024,269.1,270.15,250.95,253.15,191573,4431,Time Technoplast Limited
8-May-2024,277.4,278.0,267.25,270.5,23201,624,Time Technoplast Limited
7-May-2024,283.0,288.0,266.95,271.9,121621,3259,Time Technoplast Limited
6-May-2024,276.0,290.4,273.35,283.0,157877,5230,Time Technoplast Limited
3-May-2024,279.8,280.75,272.15,274.95,72580,2227,Time Technoplast Limited
2-May-2024,278.35,283.8,272.2,278.25,77700,2981,Time Technoplast Limited
30-April-2024,272.75,278.0,268.25,276.45,69179,2533,Time Technoplast Limited
29-April-2024,276.7,281.3,266.0,268.7,40815,1691,Time Technoplast Limited
26-April-2024,277.45,278.5,270.2,272.15,39163,1680,Time Technoplast Limited
25-April-2024,282.25,282.8,273.0,274.7,82288,2685,Time Technoplast Limited
24-April-2024,268.95,282.6,268.1,280.3,42275,1197,Time Technoplast Limited
23-April-2024,271.15,272.6,264.8,266.05,40208,1523,Time Technoplast Limited
22-April-2024,269.4,273.4,264.45,267.2,38717,1253,Time Technoplast Limited
19-April-2024,256.7,268.0,251.65,264.4,115176,2682,Time Technoplast Limited
18-April-2024,264.55,266.0,259.1,260.3,52485,1474,Time Technoplast Limited
16-April-2024,258.8,270.0,258.8,260.3,56190,1577,Time Technoplast Limited
15-April-2024,246.05,271.05,246.05,264.85,191843,4277,Time Technoplast Limited
12-April-2024,277.95,277.95,267.65,269.05,40722,1406,Time Technoplast Limited
10-April-2024,269.0,278.9,263.15,277.25,135811,3323,Time Technoplast Limited
9-April-2024,276.25,278.3,263.75,266.45,105499,2921,Time Technoplast Limited
8-April-2024,262.35,275.0,256.15,273.45,166694,4925,Time Technoplast Limited
5-April-2024,270.25,273.65,258.7,260.8,43319,1268,Time Technoplast Limited
4-April-2024,269.95,272.2,262.8,268.25,49972,1159,Time Technoplast Limited
3-April-2024,264.0,272.6,260.15,267.5,224234,4583,Time Technoplast Limited
2-April-2024,252.25,269.0,252.25,264.55,274786,5995,Time Technoplast Limited
1-April-2024,253.8,262.05,249.0,251.75,57705,1636,Time Technoplast Limited
28-March-2024,257.25,259.45,247.85,249.4,62265,1615,Time Technoplast Limited
27-March-2024,257.55,264.1,248.65,254.8,240233,5510,Time Technoplast Limited
26-March-2024,223.0,253.55,220.8,249.5,658165,10304,Time Technoplast Limited
22-March-2024,209.95,223.75,209.5,220.5,290951,4345,Time Technoplast Limited
21-March-2024,211.9,213.85,207.5,209.6,53920,1043,Time Technoplast Limited
20-March-2024,204.55,215.7,201.85,206.35,106166,2482,Time Technoplast Limited
19-March-2024,200.05,203.75,191.15,193.65,156782,2364,Time Technoplast Limited
18-March-2024,207.05,213.5,198.7,200.65,44447,1100,Time Technoplast Limited
15-March-2024,208.45,211.3,202.4,208.5,35729,723,Time Technoplast Limited
14-March-2024,190.0,206.3,189.25,204.35,69016,1339,Time Technoplast Limited
13-March-2024,213.55,213.55,190.8,193.1,146521,2582,Time Technoplast Limited
12-March-2024,215.95,215.95,207.0,208.75,60152,1184,Time Technoplast Limited
11-March-2024,213.75,223.4,211.9,214.0,69938,1440,Time Technoplast Limited
7-March-2024,209.15,220.6,209.15,213.3,199454,3010,Time Technoplast Limited
6-March-2024,221.4,221.4,203.4,211.7,321568,4639,Time Technoplast Limited
5-March-2024,224.45,228.0,221.4,222.65,583227,8793,Time Technoplast Limited
4-March-2024,222.65,229.15,221.65,223.95,316963,4143,Time Technoplast Limited
2-March-2024,224.15,230.0,217.95,221.95,25234,362,Time Technoplast Limited
1-March-2024,217.55,225.0,217.15,219.75,255975,3669,Time Technoplast Limited
29-February-2024,219.75,221.2,213.7,217.1,190924,2987,Time Technoplast Limited
28-February-2024,220.1,227.45,212.45,215.8,201024,3910,Time Technoplast Limited
27-February-2024,217.05,224.5,217.05,219.55,123468,2412,Time Technoplast Limited
26-February-2024,214.05,222.4,209.65,218.2,106792,1851,Time Technoplast Limited
23-February-2024,221.5,221.5,211.95,213.7,111817,1855,Time Technoplast Limited
22-February-2024,220.5,222.15,213.0,220.25,119872,2309,Time Technoplast Limited
21-February-2024,231.65,231.65,216.7,218.85,217531,3616,Time Technoplast Limited
20-February-2024,221.7,234.0,217.35,231.0,287295,9268,Time Technoplast Limited
19-February-2024,215.65,229.7,215.65,219.8,122598,1988,Time Technoplast Limited
16-February-2024,216.1,220.8,214.1,215.4,176166,2577,Time Technoplast Limited
15-February-2024,220.0,224.5,211.6,216.1,405174,8809,Time Technoplast Limited
14-February-2024,195.95,221.9,195.2,217.35,815827,14543,Time Technoplast Limited
13-February-2024,186.15,204.5,181.2,199.8,1062269,16127,Time Technoplast Limited
12-February-2024,178.5,182.5,171.85,173.85,159329,3064,Time Technoplast Limited
9-February-2024,178.85,179.25,171.2,177.25,108406,2269,Time Technoplast Limited
8-February-2024,177.05,180.6,173.25,176.6,101518,1595,Time Technoplast Limited
7-February-2024,176.0,181.85,173.0,176.5,171537,2224,Time Technoplast Limited
6-February-2024,166.55,174.9,162.8,173.7,41214,1682,Time Technoplast Limited
5-February-2024,171.9,171.9,162.85,163.75,65777,1515,Time Technoplast Limited
2-February-2024,174.45,177.15,168.7,169.45,74947,1213,Time Technoplast Limited
1-February-2024,174.4,175.1,170.95,173.1,36998,877,Time Technoplast Limited
31-January-2024,170.6,176.55,170.05,174.45,79260,1536,Time Technoplast Limited
30-January-2024,175.05,176.65,170.2,170.6,46919,686,Time Technoplast Limited
29-January-2024,176.4,180.65,173.8,174.25,89201,1671,Time Technoplast Limited
25-January-2024,170.2,180.5,169.65,176.4,177549,2771,Time Technoplast Limited
24-January-2024,163.45,170.65,161.9,168.0,72120,1300,Time Technoplast Limited
23-January-2024,175.6,175.6,162.6,163.35,74606,1315,Time Technoplast Limited
20-January-2024,176.0,177.45,174.35,174.9,28244,686,Time Technoplast Limited
19-January-2024,176.15,179.75,173.6,174.8,38203,732,Time Technoplast Limited
18-January-2024,172.7,176.1,169.25,173.5,81607,1903,Time Technoplast Limited
17-January-2024,175.0,176.1,170.95,172.05,143536,2519,Time Technoplast Limited
16-January-2024,180.25,182.2,175.2,177.0,41857,828,Time Technoplast Limited
15-January-2024,181.65,184.85,176.3,180.4,63964,1193,Time Technoplast Limited
12-January-2024,187.65,187.65,180.05,180.4,36292,653,Time Technoplast Limited
11-January-2024,172.9,185.75,172.9,184.95,70859,1628,Time Technoplast Limited
10-January-2024,176.25,176.95,169.7,172.75,83127,1992,Time Technoplast Limited
9-January-2024,178.75,181.55,175.5,176.1,66127,1506,Time Technoplast Limited
8-January-2024,180.15,182.0,176.55,177.05,74775,1650,Time Technoplast Limited
5-January-2024,183.8,185.75,178.0,180.5,72500,1409,Time Technoplast Limited
4-January-2024,182.25,183.25,179.45,180.5,64537,1492,Time Technoplast Limited
3-January-2024,184.85,185.15,180.35,181.85,32749,1062,Time Technoplast Limited
2-January-2024,185.9,187.5,179.35,185.1,67606,1249,Time Technoplast Limited
1-January-2024,176.7,186.45,175.7,185.1,232420,3789,Time Technoplast Limited
29-December-2023,175.6,177.2,173.9,176.7,62651,1560,Time Technoplast Limited
28-December-2023,178.7,180.6,175.45,176.25,41521,1164,Time Technoplast Limited
27-December-2023,180.0,185.85,177.6,178.8,50746,1090,Time Technoplast Limited
26-December-2023,176.8,180.8,174.65,179.65,30889,741,Time Technoplast Limited
22-December-2023,175.45,178.0,173.45,175.3,79728,1252,Time Technoplast Limited
21-December-2023,170.1,176.55,169.55,172.85,122161,1846,Time Technoplast Limited
20-December-2023,183.85,186.5,171.55,173.55,106672,1835,Time Technoplast Limited
19-December-2023,185.15,186.35,180.65,181.85,74450,883,Time Technoplast Limited
18-December-2023,190.4,192.55,184.45,185.15,83663,1395,Time Technoplast Limited
15-December-2023,182.1,194.1,181.4,191.75,307919,3201,Time Technoplast Limited
14-December-2023,183.35,187.25,180.9,181.4,42275,836,Time Technoplast Limited
13-December-2023,180.1,184.4,180.0,181.2,35345,871,Time Technoplast Limited
12-December-2023,182.1,184.85,177.35,179.25,37741,936,Time Technoplast Limited
11-December-2023,183.55,185.5,178.6,181.05,54338,1454,Time Technoplast Limited
