Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades
28-June-2024,417.0,429.7,404.0,407.75,27576,2133
27-June-2024,442.0,445.2,413.9,418.95,51694,3094
26-June-2024,455.0,460.3,437.55,440.35,10387,873
25-June-2024,449.0,461.0,449.0,456.1,9080,934
24-June-2024,471.35,475.3,447.3,449.15,42793,3427
21-June-2024,450.0,470.45,450.0,467.25,16284,1010
20-June-2024,452.0,456.0,443.85,452.25,11900,1501
19-June-2024,454.35,458.5,436.1,452.9,13177,949
18-June-2024,458.0,467.75,443.5,445.1,11584,610
14-June-2024,463.5,463.5,450.75,461.05,15918,1341
13-June-2024,463.0,468.8,452.0,453.8,5416,534
12-June-2024,465.45,468.35,459.7,465.75,32475,2377
11-June-2024,459.65,462.5,452.0,461.5,12227,1072
10-June-2024,447.25,456.7,437.15,452.2,47363,2631
7-June-2024,430.0,457.4,430.0,445.6,23938,1711
6-June-2024,394.85,425.95,385.2,421.8,44999,2469
5-June-2024,378.65,386.7,358.8,383.35,33237,2606
4-June-2024,400.95,405.9,345.5,371.15,78866,4975
3-June-2024,420.0,423.5,396.6,399.1,19195,1917
31-May-2024,427.25,441.7,409.0,416.75,31407,1762
30-May-2024,420.15,432.45,412.95,423.3,12667,1401
29-May-2024,419.9,433.7,419.9,432.9,14277,1031
28-May-2024,420.05,430.3,414.95,419.45,5520,524
27-May-2024,437.4,437.4,422.45,425.05,5598,526
24-May-2024,415.5,430.0,413.95,427.55,20269,1224
23-May-2024,416.6,435.95,403.95,414.75,12992,904
22-May-2024,420.05,428.0,419.05,422.95,4250,277
21-May-2024,447.85,447.85,423.0,428.05,6510,622
18-May-2024,440.0,444.85,440.0,440.95,2065,228
17-May-2024,440.85,445.7,435.1,444.05,4345,408
16-May-2024,444.3,444.3,430.05,438.85,4056,333
15-May-2024,431.3,455.25,431.3,436.2,9580,714
14-May-2024,430.55,446.0,430.55,440.5,8776,771
13-May-2024,415.6,435.85,415.6,431.8,8441,561
10-May-2024,425.0,431.25,417.95,424.0,8762,777
9-May-2024,428.0,442.6,423.75,431.75,24839,1835
8-May-2024,411.25,436.0,411.25,426.8,16203,1160
7-May-2024,432.85,432.85,408.0,415.6,45111,2894
6-May-2024,437.05,444.0,420.0,428.1,37698,2712
3-May-2024,444.25,450.85,437.05,442.15,5259,480
2-May-2024,461.8,467.25,440.0,443.85,31437,2770
30-April-2024,470.85,479.0,460.0,461.8,23805,1197
29-April-2024,464.95,470.0,459.0,468.95,39649,2096
26-April-2024,463.3,470.45,457.25,459.7,11599,760
25-April-2024,470.45,470.45,457.65,460.95,9541,625
24-April-2024,456.15,465.55,456.15,462.1,4527,291
23-April-2024,458.15,464.3,454.1,460.5,4561,422
22-April-2024,464.0,465.5,458.2,463.95,21350,1146
19-April-2024,459.65,468.4,456.25,464.7,12469,898
18-April-2024,465.7,472.0,457.3,459.65,38710,2094
16-April-2024,459.35,467.6,458.0,461.75,24949,1604
15-April-2024,440.1,469.15,440.1,456.75,43405,3017
12-April-2024,466.05,474.15,465.0,469.15,21556,1300
10-April-2024,466.65,469.2,463.4,465.55,13798,1052
