Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades
28-June-2024,895.0,915.1,895.0,903.2,2023,260
27-June-2024,925.0,930.95,905.05,910.75,1689,237
26-June-2024,914.5,931.55,901.05,918.5,3705,275
25-June-2024,900.0,918.1,900.0,914.1,981,122
24-June-2024,910.0,920.1,905.65,915.65,2295,235
21-June-2024,925.0,925.0,905.0,914.2,3187,364
20-June-2024,927.55,927.55,908.9,915.7,1142,167
19-June-2024,918.0,920.0,904.7,909.35,1975,217
18-June-2024,912.0,918.35,908.0,913.7,3740,157
14-June-2024,926.5,926.5,908.1,913.3,3540,481
13-June-2024,919.95,924.7,909.9,917.3,6609,589
12-June-2024,921.0,921.0,908.0,913.0,3770,424
11-June-2024,929.9,929.9,903.75,913.4,2443,292
10-June-2024,920.0,921.95,900.0,909.95,4994,372
7-June-2024,920.35,920.35,890.0,910.6,6090,892
6-June-2024,868.55,918.9,857.5,897.25,6068,700
5-June-2024,820.0,854.05,812.75,851.5,2200,263
4-June-2024,869.05,869.05,798.3,817.45,9427,502
3-June-2024,855.5,872.3,836.4,843.4,13153,881
31-May-2024,864.0,871.45,831.7,838.7,3793,405
30-May-2024,877.5,878.65,845.3,856.6,9185,602
29-May-2024,898.0,898.0,869.6,878.9,1893,396
28-May-2024,899.95,899.95,879.4,883.7,1135,172
27-May-2024,904.1,904.3,877.0,883.35,4360,494
24-May-2024,918.95,918.95,898.0,903.4,1503,194
23-May-2024,920.25,920.25,894.45,905.35,3312,432
22-May-2024,924.95,924.95,894.25,902.2,2642,334
21-May-2024,937.75,937.75,908.65,910.4,3041,395
18-May-2024,957.75,957.95,914.3,919.35,5864,228
17-May-2024,910.05,951.75,904.8,937.9,7241,790
16-May-2024,906.35,923.0,899.75,910.1,8599,1011
15-May-2024,891.5,900.0,871.7,896.55,3998,391
14-May-2024,881.0,888.0,873.6,882.0,1146,166
13-May-2024,872.05,884.45,853.25,873.2,1459,249
10-May-2024,887.95,887.95,862.25,871.85,3898,257
9-May-2024,892.0,892.0,861.75,863.15,1281,199
8-May-2024,877.35,892.0,865.05,888.05,6057,604
7-May-2024,863.4,908.75,855.0,877.9,8309,757
6-May-2024,875.05,878.0,848.8,856.1,4483,375
3-May-2024,894.5,894.5,861.3,872.25,1178,127
2-May-2024,866.0,877.0,866.0,873.2,1054,162
30-April-2024,891.85,895.0,842.45,877.0,7820,856
29-April-2024,909.4,909.4,872.45,874.35,652,96
26-April-2024,888.45,895.65,873.6,876.75,1545,176
25-April-2024,888.55,894.0,871.85,889.25,1818,277
24-April-2024,882.25,894.0,867.0,872.05,8997,990
23-April-2024,862.5,868.35,856.0,866.15,2081,286
22-April-2024,851.35,867.7,851.35,858.4,2153,193
19-April-2024,864.65,866.5,850.3,855.0,3815,534
18-April-2024,686.25,867.85,686.25,864.3,3141,594
16-April-2024,831.0,867.0,818.7,857.8,6009,641
15-April-2024,848.0,855.9,823.0,845.05,2646,260
12-April-2024,866.35,869.05,846.0,848.45,977,123
10-April-2024,865.0,888.05,861.15,865.5,3908,427
9-April-2024,870.0,874.15,865.0,867.55,1446,158
