Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,filename
28-June-2024,24.96,24.96,24.96,24.96,27629,18,Transwarranty Finance Limited
27-June-2024,24.48,24.48,24.48,24.48,26654,24,Transwarranty Finance Limited
26-June-2024,24.0,24.0,24.0,24.0,4248,15,Transwarranty Finance Limited
25-June-2024,23.53,23.53,23.53,23.53,3200,13,Transwarranty Finance Limited
24-June-2024,23.07,23.07,23.07,23.07,2757,9,Transwarranty Finance Limited
21-June-2024,22.62,22.62,22.62,22.62,10491,26,Transwarranty Finance Limited
20-June-2024,22.18,22.18,22.18,22.18,221,4,Transwarranty Finance Limited
19-June-2024,21.75,21.75,21.75,21.75,11939,18,Transwarranty Finance Limited
18-June-2024,21.33,21.33,21.33,21.33,10689,20,Transwarranty Finance Limited
14-June-2024,20.92,20.92,20.9,20.92,19760,30,Transwarranty Finance Limited
13-June-2024,20.51,20.51,19.71,20.51,67530,22,Transwarranty Finance Limited
12-June-2024,20.3,20.31,20.11,20.11,7877,12,Transwarranty Finance Limited
11-June-2024,19.91,20.06,19.91,19.92,9229,24,Transwarranty Finance Limited
10-June-2024,20.31,20.31,20.31,20.31,5248,9,Transwarranty Finance Limited
7-June-2024,20.72,21.56,20.72,20.72,23966,31,Transwarranty Finance Limited
6-June-2024,21.55,21.55,21.14,21.14,29080,27,Transwarranty Finance Limited
5-June-2024,21.57,21.57,21.57,21.57,2515,8,Transwarranty Finance Limited
4-June-2024,22.01,22.01,22.01,22.01,6679,10,Transwarranty Finance Limited
3-June-2024,22.74,22.74,22.45,22.45,31974,29,Transwarranty Finance Limited
31-May-2024,22.6,22.6,22.3,22.3,59855,52,Transwarranty Finance Limited
30-May-2024,22.22,22.22,22.22,22.22,75619,81,Transwarranty Finance Limited
29-May-2024,21.79,21.79,21.79,21.79,120107,57,Transwarranty Finance Limited
28-May-2024,21.37,21.37,21.37,21.37,161327,66,Transwarranty Finance Limited
27-May-2024,20.96,20.96,20.96,20.96,42630,34,Transwarranty Finance Limited
24-May-2024,20.55,20.55,20.55,20.55,71353,49,Transwarranty Finance Limited
23-May-2024,19.5,20.15,19.5,20.15,56843,50,Transwarranty Finance Limited
22-May-2024,19.76,19.76,19.76,19.76,8256,20,Transwarranty Finance Limited
21-May-2024,19.38,19.38,19.38,19.38,21960,32,Transwarranty Finance Limited
18-May-2024,19.0,19.0,19.0,19.0,1015,5,Transwarranty Finance Limited
17-May-2024,18.1,18.1,18.1,18.1,4802,17,Transwarranty Finance Limited
16-May-2024,17.24,17.24,17.24,17.24,1827,8,Transwarranty Finance Limited
15-May-2024,16.42,16.42,16.42,16.42,1926,9,Transwarranty Finance Limited
14-May-2024,14.85,15.64,14.16,15.64,54988,89,Transwarranty Finance Limited
13-May-2024,15.79,15.79,14.9,14.9,31098,69,Transwarranty Finance Limited
10-May-2024,16.44,17.35,15.15,15.68,326372,1411,Transwarranty Finance Limited
9-May-2024,18.07,18.84,16.29,16.29,499251,2026,Transwarranty Finance Limited
