Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades
28-June-2024,11779.85,11779.85,11483.35,11661.3,46723,14755
27-June-2024,11220.0,11875.95,11220.0,11714.8,55251,9136
26-June-2024,10890.0,11259.25,10890.0,11149.75,19037,3679
25-June-2024,10875.3,11000.0,10823.2,10848.15,10772,2003
24-June-2024,10675.25,10846.4,10600.0,10784.9,4312,1150
21-June-2024,10906.0,10957.45,10616.1,10662.95,29863,11583
20-June-2024,11040.85,11163.7,10874.65,10905.5,4161,1062
19-June-2024,11130.05,11180.15,10970.95,10990.8,2581,904
18-June-2024,11250.0,11265.0,11056.6,11117.85,4287,1025
14-June-2024,11100.2,11268.95,11100.2,11238.9,4943,1777
13-June-2024,11205.35,11276.05,11000.0,11182.15,4244,1279
12-June-2024,10899.85,11095.0,10880.75,11043.8,7742,1757
11-June-2024,10924.75,10986.35,10830.25,10925.6,10597,2638
10-June-2024,10549.75,10908.75,10489.55,10830.25,13799,3068
7-June-2024,10054.0,10500.0,9966.7,10462.2,25711,9252
6-June-2024,10034.25,10172.95,9945.1,10064.3,3308,1101
5-June-2024,10000.0,10066.7,9737.3,10034.25,3562,1185
4-June-2024,10467.9,10480.0,9550.0,9908.1,14433,3885
3-June-2024,10399.9,10519.9,10220.75,10467.9,12218,3328
31-May-2024,9896.05,10080.4,9880.0,9901.35,10217,3693
30-May-2024,10050.0,10050.0,9831.35,9866.2,2309,744
29-May-2024,10199.95,10199.95,9961.85,10022.95,3559,1040
28-May-2024,10279.95,10365.0,10147.85,10168.95,8316,2176
27-May-2024,10308.0,10351.6,10178.75,10225.95,7472,1360
24-May-2024,10162.2,10362.35,10129.0,10226.55,9551,2711
23-May-2024,9977.35,10196.0,9848.9,10164.55,8298,2318
22-May-2024,9899.55,9950.0,9847.95,9893.65,5558,1463
21-May-2024,9855.0,9855.0,9768.45,9798.6,10129,930
18-May-2024,9800.0,9902.65,9800.0,9860.8,1023,350
17-May-2024,9567.05,9899.0,9567.05,9890.75,4355,1567
16-May-2024,9602.55,9724.95,9528.1,9707.2,6639,1883
15-May-2024,9700.0,9700.0,9564.3,9610.25,4992,1618
14-May-2024,9500.65,9700.0,9500.65,9662.65,6111,1558
13-May-2024,9495.15,9580.25,9425.85,9554.15,4299,1156
10-May-2024,9463.0,9516.25,9420.0,9494.95,5142,2133
9-May-2024,9680.0,9680.0,9415.0,9446.45,3325,1231
8-May-2024,9630.15,9655.5,9502.0,9517.95,8907,2510
7-May-2024,9780.1,9831.1,9630.0,9688.15,6194,1701
6-May-2024,9874.95,9925.0,9746.0,9778.15,6134,1359
3-May-2024,9998.9,10025.0,9776.8,9816.75,11866,5410
2-May-2024,10029.05,10040.0,9953.25,9981.25,2823,928
30-April-2024,10200.0,10200.0,9916.0,9966.75,17004,4262
29-April-2024,9849.4,10009.85,9747.2,9962.25,16888,2827
26-April-2024,9751.8,9779.75,9646.0,9700.2,4452,1845
25-April-2024,9648.35,9708.0,9564.1,9683.6,7011,1097
24-April-2024,9560.0,9685.0,9560.0,9657.85,3073,742
23-April-2024,9502.25,9621.3,9502.25,9531.1,3987,1271
22-April-2024,9529.35,9587.0,9473.75,9567.15,6267,1710
19-April-2024,9250.15,9400.0,9250.1,9367.4,9112,3425
18-April-2024,9474.0,9525.0,9340.3,9387.2,10371,2887
16-April-2024,9440.0,9495.0,9352.1,9473.35,6000,1569
15-April-2024,9635.0,9635.0,9490.0,9502.2,3120,963
12-April-2024,9767.05,9846.3,9615.05,9646.95,16961,6145
10-April-2024,9780.9,9857.25,9704.3,9819.6,4275,1380
9-April-2024,9942.45,9995.25,9758.5,9770.3,3414,918
8-April-2024,9825.05,9898.7,9802.0,9863.4,3573,1080
5-April-2024,10000.0,10006.5,9801.65,9824.05,8434,2347
4-April-2024,10109.2,10109.2,9905.0,10006.6,3469,929
3-April-2024,10214.6,10272.95,9985.0,9999.75,14451,2878
