Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades
28-June-2024,1991.2,2003.55,1975.9,1986.3,9923,866
27-June-2024,1969.95,1999.95,1968.15,1991.5,5410,635
26-June-2024,1994.95,2011.2,1957.2,1961.95,26026,3824
25-June-2024,2089.5,2089.5,1990.85,1995.1,16493,2450
24-June-2024,2075.2,2093.95,2037.7,2083.25,3625,512
21-June-2024,2094.3,2097.15,2062.35,2065.65,2650,308
20-June-2024,2120.0,2122.4,2082.1,2088.75,7507,735
19-June-2024,2098.75,2116.3,2066.75,2096.05,5371,442
18-June-2024,2105.55,2116.4,2079.5,2092.3,7030,801
14-June-2024,2123.25,2130.25,2099.95,2110.05,6392,366
13-June-2024,2129.8,2138.2,2114.6,2116.95,4336,724
12-June-2024,2146.35,2178.0,2111.6,2129.85,3056,556
11-June-2024,2165.95,2173.0,2135.15,2138.6,8910,1412
10-June-2024,2098.8,2153.25,2084.2,2146.45,8513,1309
7-June-2024,2050.6,2099.95,2044.45,2069.9,10105,1137
6-June-2024,1976.6,2046.0,1969.1,2033.75,3927,847
5-June-2024,1951.95,2069.3,1924.4,2016.1,36466,4602
4-June-2024,1860.0,1977.8,1831.0,1931.3,18800,1892
3-June-2024,1915.0,1915.0,1859.2,1874.75,3289,449
31-May-2024,1845.0,1876.75,1839.6,1859.3,4533,696
30-May-2024,1850.05,1867.1,1831.0,1841.8,5384,759
29-May-2024,1870.65,1883.15,1852.0,1879.3,1087,254
28-May-2024,1868.85,1885.0,1849.1,1866.95,5646,650
27-May-2024,1877.55,1883.85,1860.0,1868.85,2275,397
24-May-2024,1881.75,1883.2,1857.15,1870.65,6423,943
23-May-2024,1889.35,1896.6,1872.05,1881.35,1735,303
22-May-2024,1894.8,1894.8,1845.0,1876.15,3332,731
21-May-2024,1918.9,1918.9,1867.35,1891.95,39851,1475
18-May-2024,1904.05,1942.6,1904.0,1918.9,521,87
17-May-2024,1899.0,1930.85,1887.65,1924.45,2807,410
16-May-2024,1889.95,1905.9,1886.6,1899.25,3248,680
15-May-2024,1917.75,1924.25,1880.5,1887.3,5319,971
14-May-2024,1959.9,1959.9,1901.45,1915.65,5152,801
13-May-2024,1924.65,1950.0,1886.45,1948.05,3510,623
10-May-2024,1910.7,1947.6,1901.0,1919.1,5907,909
9-May-2024,2016.0,2016.0,1905.0,1911.3,8729,1276
8-May-2024,1967.95,2036.8,1940.0,2015.45,20340,2252
7-May-2024,2005.95,2022.0,1967.3,2001.75,18088,5168
6-May-2024,2040.0,2040.0,1962.5,1982.7,6070,813
3-May-2024,2061.1,2070.0,1994.7,2037.15,8619,1083
2-May-2024,2026.35,2071.15,2026.35,2053.2,6650,948
30-April-2024,2038.05,2054.25,2029.9,2039.0,2102,429
