Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades
28-June-2024,2.83,2.83,2.83,2.83,7932,10
27-June-2024,2.7,2.7,2.7,2.7,775,3
26-June-2024,2.58,2.58,2.58,2.58,2265,5
25-June-2024,2.46,2.46,2.46,2.46,3214,5
24-June-2024,2.35,2.35,2.35,2.35,16873,4
18-June-2024,2.24,2.35,2.24,2.35,9489,11
11-June-2024,2.24,2.24,2.24,2.24,1024,3
10-June-2024,2.14,2.14,2.14,2.14,2700,7
6-May-2024,2.04,2.04,1.94,2.04,1600,5
29-April-2024,1.94,2.04,1.94,2.04,4796,6
22-April-2024,2.04,2.04,2.04,2.04,2948,7
15-April-2024,2.04,2.04,2.04,2.04,1025,2
8-April-2024,2.04,2.04,2.04,2.04,26,1
1-April-2024,2.04,2.04,2.04,2.04,200,1
26-March-2024,2.14,2.14,2.04,2.04,200800,9
18-March-2024,2.14,2.14,2.14,2.14,28,1
11-March-2024,2.04,2.05,2.04,2.04,914,3
4-March-2024,2.14,2.14,2.14,2.14,1715,5
26-February-2024,2.04,2.14,2.04,2.14,255,4
19-February-2024,2.14,2.14,2.14,2.14,1239,3
5-February-2024,2.14,2.14,2.14,2.14,46,2
29-January-2024,1.95,2.04,1.95,2.04,4662,5
23-January-2024,1.95,1.95,1.93,1.95,1600,6
15-January-2024,2.02,2.03,2.02,2.03,1257,5
8-January-2024,2.05,2.05,2.01,2.02,17637,5
2-January-2024,2.24,2.24,2.05,2.11,11787,12
1-January-2024,1.94,2.14,1.94,2.14,6369,8
29-December-2023,2.04,2.04,2.04,2.04,5,1
22-December-2023,2.04,2.04,2.04,2.04,20,1
11-December-2023,2.04,2.04,2.04,2.04,20226,8
4-December-2023,2.14,2.36,2.14,2.14,9442,7
20-November-2023,2.25,2.25,2.25,2.25,6825,5
13-November-2023,2.36,2.36,2.36,2.36,27,1
6-November-2023,2.36,2.36,2.36,2.36,5110,3
30-October-2023,2.48,2.61,2.48,2.48,9145,8
23-October-2023,2.61,2.61,2.48,2.61,6799,8
16-October-2023,2.61,2.61,2.61,2.61,22518,18
9-October-2023,2.37,2.61,2.37,2.61,3395,13
3-October-2023,2.49,2.49,2.49,2.49,100,2
25-September-2023,2.49,2.49,2.49,2.49,3312,8
18-September-2023,2.49,2.49,2.49,2.49,2047,8
11-September-2023,2.49,2.49,2.49,2.49,9496,11
4-September-2023,2.49,2.49,2.49,2.49,182,3
28-August-2023,2.49,2.49,2.49,2.49,1345,5
21-August-2023,2.49,2.49,2.49,2.49,21301,6
14-August-2023,2.38,2.49,2.38,2.49,32426,10
7-August-2023,2.38,2.38,2.38,2.38,500,3
31-July-2023,2.38,2.38,2.38,2.38,1295,3
24-July-2023,2.38,2.38,2.38,2.38,3641,2
17-July-2023,2.38,2.38,2.38,2.38,21593,10
10-July-2023,2.38,2.38,2.38,2.38,21265,11
3-July-2023,2.27,2.27,2.2,2.27,15100,12
26-June-2023,2.27,2.27,2.27,2.27,5040,3
19-June-2023,2.27,2.27,2.27,2.27,8609,9
12-June-2023,2.27,2.27,2.27,2.27,5151,8
5-June-2023,2.27,2.27,2.27,2.27,2000,2
29-May-2023,2.27,2.27,2.27,2.27,4500,7
22-May-2023,2.27,2.27,2.27,2.27,1152,6
15-May-2023,2.17,2.27,2.17,2.27,5566,3
8-May-2023,2.17,2.17,2.17,2.17,3439,6
2-May-2023,2.17,2.17,2.17,2.17,88,1
17-April-2023,2.17,2.17,2.17,2.17,4369,4
10-April-2023,2.07,2.17,2.07,2.17,6752,27
3-April-2023,2.07,2.07,2.07,2.07,272,2
27-March-2023,2.07,2.07,2.07,2.07,1050,2
20-March-2023,2.07,2.07,2.07,2.07,910,3
13-March-2023,2.07,2.07,2.07,2.07,500,1
6-March-2023,2.07,2.07,2.07,2.07,1571,4
27-February-2023,2.07,2.07,2.07,2.07,18419,11
20-February-2023,2.07,2.07,2.07,2.07,1554,2
13-February-2023,2.07,2.07,2.07,2.07,269,2
6-February-2023,2.07,2.07,2.07,2.07,12881,9
30-January-2023,2.07,2.07,2.07,2.07,40,1
23-January-2023,2.07,2.07,2.07,2.07,7296,11
16-January-2023,1.98,1.98,1.98,1.98,500,3
9-January-2023,1.98,1.98,1.98,1.98,62,1
2-January-2023,1.98,1.98,1.98,1.98,572,2
26-December-2022,1.98,1.98,1.98,1.98,2,2
19-December-2022,1.98,1.98,1.98,1.98,2028,6
5-December-2022,1.98,1.98,1.98,1.98,3264,5
28-November-2022,1.98,1.98,1.98,1.98,2500,1
21-November-2022,1.98,1.98,1.98,1.98,150,1
14-November-2022,1.98,1.98,1.98,1.98,3513,7
17-October-2022,1.89,1.89,1.89,1.89,100,1
3-October-2022,1.89,1.89,1.89,1.89,4119,4
26-September-2022,1.89,1.89,1.89,1.89,121,2
15-September-2022,1.89,1.89,1.89,1.89,1000,2
14-September-2022,1.8,1.8,1.8,1.8,5000,6
5-September-2022,1.72,1.72,1.72,1.72,3000,2
16-August-2022,1.72,1.72,1.72,1.72,46,2
18-July-2022,1.72,1.72,1.72,1.72,15838,13
28-June-2022,1.72,1.72,1.72,1.72,2000,1
27-June-2022,1.7,1.7,1.6,1.7,3100,4
15-June-2022,1.68,1.68,1.68,1.68,1975,5
14-June-2022,1.68,1.68,1.68,1.68,1799,3
2-May-2022,1.68,1.68,1.68,1.68,501,2
4-April-2022,1.68,1.68,1.68,1.68,150,1
21-March-2022,1.76,1.85,1.76,1.76,3000,5
14-March-2022,1.84,1.85,1.84,1.85,6530,10
14-February-2022,1.77,1.77,1.77,1.77,1200,4
31-January-2022,1.77,1.77,1.77,1.77,2747,6
24-January-2022,1.77,1.77,1.77,1.77,2760,5
17-January-2022,1.77,1.77,1.77,1.77,1494,2
10-January-2022,1.77,1.77,1.77,1.77,1202,3
3-January-2022,1.77,1.77,1.77,1.77,26240,5
27-December-2021,1.68,1.77,1.68,1.77,8245,14
20-December-2021,1.69,1.69,1.69,1.69,602,3
23-November-2021,1.69,1.69,1.69,1.69,51,2
10-November-2021,1.61,1.61,1.61,1.61,150,1
1-November-2021,1.61,1.61,1.61,1.61,1563,6
18-October-2021,1.61,1.61,1.61,1.61,4037,6
11-October-2021,1.61,1.61,1.61,1.61,1325,5
7-October-2021,1.55,1.55,1.55,1.55,4379,5
6-October-2021,1.61,1.61,1.61,1.61,18264,2
29-September-2021,1.54,1.54,1.54,1.54,2555,4
28-September-2021,1.47,1.54,1.47,1.54,7782,3
23-September-2021,1.4,1.47,1.4,1.47,8250,6
22-September-2021,1.4,1.4,1.4,1.4,5000,1
20-September-2021,1.4,1.4,1.4,1.4,900,2
17-September-2021,1.4,1.4,1.4,1.4,2671,4
16-September-2021,1.4,1.4,1.4,1.4,50,1
15-September-2021,1.47,1.47,1.47,1.47,7125,6
9-September-2021,1.41,1.41,1.4,1.4,2800,5
8-September-2021,1.35,1.35,1.35,1.35,2000,3
2-September-2021,1.29,1.29,1.29,1.29,700,1
1-September-2021,1.23,1.35,1.23,1.35,2000,3
20-August-2021,1.29,1.29,1.29,1.29,1500,1
18-August-2021,1.35,1.35,1.35,1.35,1701,4
13-August-2021,1.35,1.35,1.35,1.35,895,3
10-August-2021,1.4,1.4,1.4,1.4,2311,4
4-August-2021,1.54,1.54,1.4,1.4,401,3
30-July-2021,1.47,1.47,1.47,1.47,200,2
28-July-2021,1.4,1.47,1.35,1.47,1290,3
26-July-2021,1.4,1.47,1.4,1.4,1997,6
23-July-2021,1.4,1.4,1.4,1.4,10,1
22-July-2021,1.38,1.44,1.38,1.44,1001,4
20-July-2021,1.32,1.38,1.32,1.38,2239,6
19-July-2021,1.32,1.32,1.32,1.32,6712,13
16-July-2021,1.26,1.26,1.26,1.26,8792,5
15-July-2021,1.2,1.2,1.2,1.2,10,1
14-July-2021,1.15,1.15,1.15,1.15,1609,5
13-July-2021,1.1,1.1,1.1,1.1,1830,3
12-July-2021,1.05,1.05,1.05,1.05,100,1
9-July-2021,1.03,1.03,1.0,1.0,2125,6
8-July-2021,0.91,0.99,0.91,0.99,5659,9
7-July-2021,0.95,0.95,0.95,0.95,5100,5
6-July-2021,0.91,0.91,0.91,0.91,2300,8
5-July-2021,0.99,0.99,0.95,0.95,11100,7
2-July-2021,0.95,0.95,0.95,0.95,2100,2
1-July-2021,0.95,0.95,0.95,0.95,502,3
29-June-2021,0.93,1.0,0.93,1.0,1250,6
25-June-2021,0.97,0.97,0.97,0.97,191,1
22-June-2021,0.97,0.97,0.97,0.97,1500,3
21-June-2021,1.02,1.02,0.97,0.97,3,3
18-June-2021,1.02,1.02,1.02,1.02,100,1
17-June-2021,1.02,1.02,1.02,1.02,54,2
16-June-2021,1.02,1.02,1.02,1.02,102,2
15-June-2021,1.02,1.02,1.02,1.02,6813,4
14-June-2021,1.02,1.02,1.02,1.02,2651,7
11-June-2021,0.99,0.99,0.99,0.99,1055,2
9-June-2021,0.95,0.95,0.95,0.95,1000,2
8-June-2021,0.95,0.95,0.95,0.95,5231,3
7-June-2021,0.95,0.95,0.95,0.95,1000,2
4-June-2021,0.99,0.99,0.99,0.99,699,7
3-June-2021,0.99,0.99,0.99,0.99,3005,7
2-June-2021,0.95,0.95,0.95,0.95,300,1
1-June-2021,0.91,0.91,0.91,0.91,2200,2
28-May-2021,0.83,0.87,0.83,0.87,769,3
27-May-2021,0.87,0.87,0.87,0.87,500,1
26-May-2021,0.86,0.86,0.86,0.86,8,2
25-May-2021,0.9,0.9,0.9,0.9,2000,2
24-May-2021,0.83,0.86,0.83,0.86,5200,2
21-May-2021,0.8,0.82,0.8,0.82,4000,2
20-May-2021,0.82,0.82,0.79,0.79,21934,5
19-May-2021,0.78,0.79,0.78,0.79,7519,2
18-May-2021,0.82,0.82,0.76,0.76,7571,10
17-May-2021,0.83,0.83,0.79,0.79,3900,4
14-May-2021,0.87,0.87,0.83,0.83,920,6
12-May-2021,0.87,0.87,0.87,0.87,1299,6
11-May-2021,0.87,0.91,0.87,0.91,3742,5
6-May-2021,0.87,0.87,0.87,0.87,1250,6
5-May-2021,0.87,0.87,0.87,0.87,1000,2
4-May-2021,0.87,0.87,0.87,0.87,266,2
3-May-2021,0.87,0.87,0.87,0.87,300,1
20-April-2021,0.91,0.91,0.91,0.91,134,2
19-April-2021,0.91,0.91,0.91,0.91,127,5
15-April-2021,0.91,0.91,0.91,0.91,1000,1
12-April-2021,0.91,0.91,0.91,0.91,655,2
6-April-2021,0.91,0.91,0.91,0.91,100,1
5-April-2021,0.91,0.91,0.91,0.91,200,1
1-April-2021,0.91,0.91,0.91,0.91,100,1
31-March-2021,0.95,0.95,0.95,0.95,101,2
24-March-2021,0.95,0.95,0.95,0.95,50,2
23-March-2021,0.95,0.95,0.95,0.95,55,2
22-March-2021,0.95,0.95,0.95,0.95,18000,1
19-March-2021,0.95,0.95,0.95,0.95,240,1
18-March-2021,0.95,0.95,0.95,0.95,34461,6
17-March-2021,0.95,0.95,0.95,0.95,54,2
16-March-2021,0.95,0.95,0.95,0.95,105,3
15-March-2021,1.03,1.03,0.95,0.95,333,7
12-March-2021,0.91,0.99,0.91,0.99,702,8
10-March-2021,0.95,0.95,0.95,0.95,512,4
9-March-2021,1.05,1.05,0.95,0.95,1229,9
8-March-2021,1.0,1.0,1.0,1.0,2451,10
5-March-2021,0.88,0.96,0.88,0.96,973,4
4-March-2021,0.88,0.92,0.84,0.92,1717,6
3-March-2021,0.88,0.88,0.88,0.88,20,2
2-March-2021,0.92,0.92,0.88,0.88,419,6
1-March-2021,0.88,0.88,0.88,0.88,2133,9
26-February-2021,0.84,0.84,0.77,0.84,2203,9
25-February-2021,0.82,0.82,0.76,0.8,3063,10
24-February-2021,0.8,0.8,0.74,0.79,368,6
23-February-2021,0.8,0.8,0.77,0.77,229,6
22-February-2021,0.81,0.81,0.81,0.81,4391,5
19-February-2021,0.81,0.81,0.81,0.81,50,2
18-February-2021,0.78,0.78,0.78,0.78,1,1
17-February-2021,0.75,0.75,0.75,0.75,1,1
16-February-2021,0.72,0.72,0.72,0.72,59,3
15-February-2021,0.69,0.69,0.69,0.69,650,3
12-February-2021,0.71,0.71,0.71,0.71,503,2
11-February-2021,0.73,0.73,0.7,0.7,611,2
10-February-2021,0.73,0.73,0.73,0.73,500,3
9-February-2021,0.73,0.73,0.73,0.73,1830,2
5-February-2021,0.76,0.76,0.73,0.76,2139,8
3-February-2021,0.76,0.76,0.76,0.76,3151,6
29-January-2021,0.8,0.8,0.8,0.8,1600,4
28-January-2021,0.83,0.83,0.83,0.83,955,2
22-January-2021,0.83,0.83,0.83,0.83,4451,12
21-January-2021,0.87,0.87,0.87,0.87,427,6
20-January-2021,0.94,0.94,0.91,0.91,818,6
19-January-2021,0.93,0.94,0.93,0.94,3154,7
18-January-2021,0.97,1.02,0.97,0.97,2312,6
15-January-2021,1.01,1.02,1.01,1.02,1000,3
14-January-2021,1.05,1.05,1.05,1.05,3416,9
13-January-2021,1.1,1.1,1.1,1.1,2040,2
12-January-2021,1.1,1.1,1.1,1.1,1,1
8-January-2021,1.15,1.15,1.15,1.15,1642,7
7-January-2021,1.21,1.21,1.21,1.21,1082,5
6-January-2021,1.27,1.27,1.27,1.27,5971,7
5-January-2021,1.33,1.33,1.33,1.33,5334,7
4-January-2021,1.44,1.44,1.4,1.4,10540,16
1-January-2021,1.32,1.38,1.26,1.38,25997,5
31-December-2020,1.32,1.32,1.32,1.32,2200,7
30-December-2020,1.26,1.26,1.26,1.26,366,3
29-December-2020,1.2,1.2,1.2,1.2,1199,3
28-December-2020,1.15,1.15,1.15,1.15,1622,4
24-December-2020,1.0,1.1,1.0,1.1,7243,8
23-December-2020,1.05,1.05,1.05,1.05,500,3
22-December-2020,1.0,1.0,1.0,1.0,140,4
21-December-2020,1.0,1.0,1.0,1.0,149,4
18-December-2020,1.0,1.0,1.0,1.0,200,1
17-December-2020,0.98,1.02,0.98,1.0,499,7
16-December-2020,0.95,0.98,0.95,0.98,1322,4
15-December-2020,0.9,0.94,0.9,0.94,101,4
14-December-2020,0.9,0.9,0.9,0.9,8,3
11-December-2020,0.9,0.9,0.9,0.9,1,1
10-December-2020,0.94,0.94,0.86,0.86,339,6
9-December-2020,0.9,0.9,0.86,0.9,225,5
8-December-2020,0.88,0.88,0.86,0.86,302,4
7-December-2020,0.88,0.88,0.88,0.88,198,2
3-December-2020,0.84,0.84,0.84,0.84,123,4
1-December-2020,0.77,0.8,0.77,0.8,1242,5
27-November-2020,0.77,0.77,0.77,0.77,166,4
26-November-2020,0.74,0.74,0.74,0.74,139,2
18-November-2020,0.74,0.74,0.74,0.74,15,2
