Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades
28-June-2024,431.75,437.9,424.0,431.6,34173,2395
27-June-2024,434.0,437.4,427.9,431.25,22197,1170
26-June-2024,429.9,435.55,424.7,434.05,19333,1528
25-June-2024,423.95,431.6,420.1,422.55,43920,2314
24-June-2024,425.15,425.15,416.35,419.95,14824,841
21-June-2024,419.0,429.6,413.1,424.55,36601,1682
20-June-2024,417.6,417.6,408.15,412.05,21702,926
19-June-2024,414.0,415.6,408.05,410.2,11274,706
18-June-2024,404.7,417.4,400.8,413.3,20675,955
14-June-2024,411.3,412.95,397.3,399.8,56944,2501
13-June-2024,403.5,414.15,403.0,410.25,24775,1233
12-June-2024,403.55,405.7,399.15,403.95,11513,941
11-June-2024,388.0,411.85,386.95,403.75,79631,3215
10-June-2024,391.2,396.0,386.65,394.85,52147,2168
7-June-2024,395.95,395.95,388.75,391.2,47671,1662
6-June-2024,379.9,404.5,376.95,397.65,72713,3180
5-June-2024,374.0,384.1,364.25,377.95,44223,2120
4-June-2024,372.0,373.6,346.6,369.7,35161,1675
3-June-2024,375.0,383.5,369.75,374.9,44174,1878
31-May-2024,382.5,382.5,368.9,370.5,12409,570
30-May-2024,382.95,390.0,373.85,375.35,39417,1927
29-May-2024,370.05,385.65,370.05,383.25,119119,2626
28-May-2024,374.25,383.25,367.6,369.75,19654,791
27-May-2024,369.55,378.65,368.35,373.15,48481,1535
24-May-2024,379.35,387.45,365.05,368.35,35461,1456
23-May-2024,377.05,385.65,376.25,379.35,40334,1659
22-May-2024,376.0,388.8,373.8,375.75,63083,2557
21-May-2024,371.3,393.5,365.85,374.45,143813,4385
18-May-2024,372.0,377.1,365.05,367.45,8549,464
17-May-2024,377.75,377.75,367.25,369.7,39939,1175
16-May-2024,367.5,377.0,367.0,373.9,76168,1837
15-May-2024,358.0,378.0,357.65,366.55,93586,2556
14-May-2024,359.95,359.95,353.15,354.0,20538,748
13-May-2024,355.0,358.55,348.1,352.5,36674,1177
10-May-2024,342.8,364.4,342.8,354.45,67534,2287
9-May-2024,359.95,359.95,340.5,342.8,35023,1669
8-May-2024,341.75,354.75,340.45,353.95,18995,859
7-May-2024,345.6,347.05,338.0,341.75,27426,953
6-May-2024,349.85,357.7,340.5,346.0,77912,2320
3-May-2024,347.1,350.35,343.65,346.25,17453,459
2-May-2024,347.8,349.15,343.5,347.9,27759,985
30-April-2024,351.25,351.25,341.85,343.3,13592,533
29-April-2024,343.6,353.0,343.6,346.1,29330,1219
26-April-2024,343.55,347.4,341.7,342.6,9716,543
25-April-2024,347.95,347.95,340.3,342.65,11795,710
24-April-2024,342.0,346.1,340.25,343.6,14907,558
23-April-2024,347.85,347.85,338.0,339.0,15103,559
22-April-2024,347.05,349.8,341.45,344.75,20448,800
19-April-2024,344.8,345.2,336.15,340.3,12897,660
18-April-2024,339.9,348.9,337.35,344.9,34363,1511
16-April-2024,339.85,347.4,333.5,336.65,27435,922
15-April-2024,344.95,345.0,332.7,339.8,46007,1590
12-April-2024,349.85,351.75,346.0,347.1,22153,793
10-April-2024,341.15,353.0,340.55,348.55,74779,2749
9-April-2024,347.95,347.95,340.8,344.6,16517,556
8-April-2024,342.85,354.0,340.75,341.2,50374,1389
5-April-2024,339.0,344.0,338.0,340.95,50056,1251
4-April-2024,340.95,340.95,332.9,339.4,8293,394
3-April-2024,337.85,339.15,333.0,335.5,19922,844
2-April-2024,335.4,339.2,334.8,336.45,8008,358
1-April-2024,331.7,338.35,331.7,333.95,17833,774
28-March-2024,334.85,337.0,329.0,331.45,40296,1177
27-March-2024,323.95,335.0,322.0,330.65,23482,865
26-March-2024,327.85,327.85,319.25,319.9,11596,601
22-March-2024,324.85,324.85,318.5,322.3,4007,236
21-March-2024,320.5,324.1,318.1,319.85,13673,427
20-March-2024,322.1,322.1,315.05,317.95,19161,1059
19-March-2024,324.2,325.5,318.0,321.6,20965,833
18-March-2024,323.85,325.8,319.5,324.95,18849,540
15-March-2024,327.85,327.85,316.75,318.75,17574,841
14-March-2024,306.05,326.0,304.0,324.9,16748,948
13-March-2024,330.8,332.55,302.55,306.0,42648,1515
12-March-2024,337.0,340.05,328.75,330.45,46332,1700
11-March-2024,348.75,352.0,332.95,336.65,76506,2313
7-March-2024,345.7,350.0,342.2,344.65,47544,1567
6-March-2024,345.85,345.85,332.05,343.65,29334,1110
5-March-2024,349.3,349.3,341.0,342.35,27531,799
4-March-2024,344.2,350.0,339.35,347.7,124516,3327
2-March-2024,342.3,345.5,339.35,342.1,30996,1644
1-March-2024,328.95,342.35,324.5,338.25,40536,1081
29-February-2024,334.95,334.95,321.5,324.65,122744,2840
28-February-2024,325.0,344.55,324.6,330.2,202799,4875
27-February-2024,319.7,326.8,315.0,322.1,76662,1680
26-February-2024,305.65,316.75,305.65,315.5,15930,480
23-February-2024,315.0,315.6,306.65,310.75,20355,536
22-February-2024,313.8,317.85,308.6,311.3,35854,1128
21-February-2024,314.65,320.7,310.95,312.8,34947,1718
20-February-2024,310.3,323.4,310.3,312.8,45844,1673
19-February-2024,311.1,317.75,311.1,314.7,20093,641
16-February-2024,318.1,320.35,309.2,311.0,93011,3416
15-February-2024,305.05,322.0,305.05,316.45,45036,1547
14-February-2024,307.85,315.3,302.0,309.45,24425,564
13-February-2024,300.4,310.35,300.4,307.2,15877,602
12-February-2024,312.55,315.1,305.7,306.5,19594,852
9-February-2024,309.05,313.85,304.5,311.3,55558,1970
8-February-2024,315.05,318.95,308.75,310.95,21890,629
7-February-2024,310.0,322.05,310.0,314.0,67555,1988
6-February-2024,315.05,317.8,307.3,308.0,39827,990
5-February-2024,310.2,319.7,310.2,314.2,40227,1219
2-February-2024,304.85,316.2,297.8,309.95,133297,3092
1-February-2024,292.55,305.9,291.35,299.05,59975,2393
31-January-2024,289.45,293.65,289.45,291.6,4212,258
30-January-2024,290.75,292.2,288.75,289.45,5141,245
29-January-2024,296.55,296.55,290.35,290.75,13053,551
25-January-2024,296.1,297.0,287.45,293.8,9174,535
24-January-2024,287.55,294.4,286.0,292.7,8063,384
23-January-2024,297.95,297.95,286.25,288.65,98586,417
20-January-2024,289.1,293.95,289.1,292.95,11803,503
19-January-2024,295.45,295.45,289.6,291.2,5984,275
18-January-2024,293.55,295.8,289.55,292.2,29581,1145
17-January-2024,294.15,296.0,291.0,293.55,16938,794
16-January-2024,290.15,295.45,290.15,294.15,23434,987
15-January-2024,296.0,296.0,289.95,291.15,5631,210
12-January-2024,296.85,296.85,293.3,293.9,19616,756
11-January-2024,292.1,297.25,291.5,295.55,40090,1103
10-January-2024,292.0,292.9,290.3,291.75,7950,410
9-January-2024,293.95,296.35,291.85,292.05,13827,1227
8-January-2024,293.95,294.85,289.6,293.95,22184,1784
