Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,filename
28-June-2024,765.0,774.9,753.0,771.05,3834,173,V2 Retail Limited
27-June-2024,755.0,760.0,734.5,753.95,2787,149,V2 Retail Limited
26-June-2024,691.7,726.6,691.7,726.5,1246,59,V2 Retail Limited
25-June-2024,742.65,742.65,691.65,692.0,6523,267,V2 Retail Limited
24-June-2024,707.5,728.25,690.1,728.05,2323,81,V2 Retail Limited
21-June-2024,699.0,713.0,690.0,693.6,5099,83,V2 Retail Limited
20-June-2024,680.0,683.4,640.0,680.5,3120,70,V2 Retail Limited
19-June-2024,625.0,651.3,625.0,651.3,2014,73,V2 Retail Limited
18-June-2024,620.0,629.0,608.8,620.3,3736,64,V2 Retail Limited
14-June-2024,619.8,619.8,596.0,610.35,353,22,V2 Retail Limited
13-June-2024,614.95,635.25,601.2,609.35,2058,102,V2 Retail Limited
12-June-2024,645.0,645.0,592.0,605.0,8951,285,V2 Retail Limited
11-June-2024,619.7,622.65,600.0,622.65,36726,324,V2 Retail Limited
10-June-2024,576.1,593.0,576.1,593.0,27465,161,V2 Retail Limited
7-June-2024,537.0,564.8,537.0,564.8,32788,286,V2 Retail Limited
6-June-2024,519.0,538.0,511.55,537.95,5914,103,V2 Retail Limited
5-June-2024,484.55,519.1,469.7,518.35,9456,142,V2 Retail Limited
4-June-2024,519.85,519.85,494.4,494.4,2508,92,V2 Retail Limited
3-June-2024,540.0,550.0,512.0,520.4,6818,139,V2 Retail Limited
31-May-2024,550.0,550.0,525.1,538.0,3010,68,V2 Retail Limited
30-May-2024,530.05,539.0,514.1,533.15,1433,17,V2 Retail Limited
29-May-2024,528.0,542.0,528.0,529.0,608,36,V2 Retail Limited
28-May-2024,534.95,539.7,525.0,530.9,2731,91,V2 Retail Limited
27-May-2024,499.0,514.0,497.85,514.0,1975,45,V2 Retail Limited
24-May-2024,471.55,507.7,471.55,489.55,6743,90,V2 Retail Limited
23-May-2024,485.55,494.0,479.1,483.55,739,24,V2 Retail Limited
22-May-2024,484.4,487.95,465.2,470.8,889,49,V2 Retail Limited
21-May-2024,465.55,488.0,465.55,486.25,1368,54,V2 Retail Limited
18-May-2024,480.0,484.0,471.35,481.85,826,23,V2 Retail Limited
17-May-2024,478.95,485.0,470.0,478.0,1819,35,V2 Retail Limited
