Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades
28-June-2024,19.02,19.15,17.5,17.9,166585989,269036
27-June-2024,18.26,18.7,18.0,18.52,136656286,259378
26-June-2024,17.22,18.47,17.22,18.02,162817367,213214
25-June-2024,17.46,17.5,17.15,17.2,67227251,83278
24-June-2024,17.01,17.34,16.84,17.27,86095645,118223
21-June-2024,16.62,17.28,16.53,17.14,131283069,102077
20-June-2024,16.99,16.99,16.46,16.53,48968767,97201
19-June-2024,17.0,17.4,16.35,16.92,146503065,168801
18-June-2024,16.98,17.0,16.48,16.86,84189375,107152
14-June-2024,16.08,16.85,16.05,16.73,132163678,104276
13-June-2024,16.73,16.73,16.0,16.07,82040863,102692
12-June-2024,16.35,16.7,16.21,16.44,104995799,85281
11-June-2024,15.91,16.31,15.61,16.2,136992280,101235
10-June-2024,15.94,16.35,15.75,15.81,137976926,90551
7-June-2024,15.04,16.04,14.9,15.85,233032054,115585
6-June-2024,15.1,15.38,14.87,15.0,163415724,122928
5-June-2024,13.75,15.05,13.3,14.86,292028486,256440
4-June-2024,15.74,15.74,12.03,13.23,394929553,289378
3-June-2024,16.31,16.34,15.67,16.02,266910621,255408
31-May-2024,14.78,15.43,14.64,15.26,271518352,87884
30-May-2024,14.88,15.03,14.52,14.59,204290330,55279
29-May-2024,14.49,14.89,14.39,14.81,108437507,35827
28-May-2024,15.03,15.11,14.5,14.54,118597447,112568
27-May-2024,15.2,15.45,14.91,15.03,259433700,114108
24-May-2024,14.23,15.68,14.23,15.11,648549128,282123
23-May-2024,13.5,14.1,13.48,14.05,257243071,126762
22-May-2024,13.63,13.8,13.45,13.5,91952413,57569
21-May-2024,13.52,13.75,13.4,13.57,91185877,120813
18-May-2024,13.29,13.4,13.22,13.29,18499879,9777
17-May-2024,13.07,13.65,13.07,13.25,146534030,63049
16-May-2024,13.23,13.4,12.96,13.15,85890661,46559
15-May-2024,13.33,13.39,13.09,13.19,84430122,54276
14-May-2024,12.67,13.29,12.64,13.25,138340938,60376
13-May-2024,12.64,12.68,12.31,12.61,65131031,59634
10-May-2024,12.71,12.79,12.44,12.73,86585596,42528
9-May-2024,12.8,12.99,12.59,12.67,119166415,67863
8-May-2024,12.45,12.86,12.35,12.71,331208742,80308
7-May-2024,12.83,12.89,12.13,12.38,292842868,85283
6-May-2024,13.25,13.3,12.73,12.82,147935734,59826
3-May-2024,13.33,13.47,13.01,13.19,211279878,65218
2-May-2024,13.25,13.49,13.11,13.22,165925040,71654
30-April-2024,13.5,13.56,13.15,13.2,194115990,68147
29-April-2024,14.06,14.28,13.42,13.49,316385788,95481
26-April-2024,13.68,14.19,13.12,14.01,547578734,101124
25-April-2024,12.0,13.98,12.0,13.89,2102273880,260783
24-April-2024,13.73,13.93,13.02,13.09,316172654,89463
23-April-2024,12.99,14.75,12.96,14.39,364463657,83124
22-April-2024,12.4,13.03,12.13,12.89,272253106,108953
19-April-2024,12.94,13.29,12.83,12.92,115895968,55270
18-April-2024,13.08,13.54,13.08,13.2,108069436,54596
16-April-2024,12.9,13.2,12.56,12.92,150498714,65083
15-April-2024,12.95,13.4,12.76,13.16,143300936,76441
12-April-2024,12.72,13.26,12.23,12.96,158231935,76062
10-April-2024,12.8,13.15,12.66,12.93,88981600,54168
9-April-2024,13.18,13.38,12.83,12.91,61337427,46997
8-April-2024,13.99,13.99,12.91,13.15,126583935,64235
5-April-2024,13.36,13.53,12.95,13.32,117935790,56024
4-April-2024,14.0,14.1,13.08,13.36,172763932,60258
3-April-2024,13.23,13.98,13.2,13.55,65644886,49341
2-April-2024,13.95,14.14,13.36,13.44,76937144,53978
1-April-2024,13.32,14.24,13.17,14.02,65377278,43894
28-March-2024,13.33,13.54,13.17,13.24,56794860,41428
27-March-2024,13.31,13.6,13.25,13.32,55365467,49261
26-March-2024,13.4,13.49,13.17,13.31,57580004,43665
22-March-2024,12.82,13.57,12.8,13.33,70205412,49311
21-March-2024,12.85,13.03,12.75,12.83,35114425,37284
20-March-2024,12.82,12.91,12.42,12.74,52625687,70133
19-March-2024,13.12,13.35,12.76,12.86,43244312,37963
18-March-2024,13.23,13.33,13.01,13.17,34213743,30617
15-March-2024,13.13,13.28,12.78,13.15,46142873,36733
14-March-2024,12.39,13.22,12.28,13.13,59747276,52564
13-March-2024,13.69,13.86,11.93,12.39,88220008,50802
12-March-2024,13.82,13.88,13.46,13.68,57850593,53540
11-March-2024,14.29,14.34,13.63,13.75,41004771,60566
7-March-2024,14.15,14.45,14.09,14.27,36049920,37019
6-March-2024,14.37,14.37,13.82,14.12,52251857,76764
5-March-2024,14.25,14.75,14.2,14.33,51649116,74009
4-March-2024,14.61,14.71,14.11,14.19,46356269,43212
2-March-2024,14.4,14.64,14.3,14.56,10167949,12578
1-March-2024,13.9,14.65,13.65,14.21,115121948,70623
29-February-2024,13.69,14.05,13.39,13.67,93973264,87422
28-February-2024,15.76,16.03,13.5,13.65,222757855,128810
27-February-2024,17.01,17.14,15.65,15.87,114527292,77070
26-February-2024,17.74,18.12,16.77,16.87,96163967,74381
23-February-2024,16.67,18.38,16.67,17.55,218671086,83826
22-February-2024,15.5,16.4,15.06,16.28,80602458,43909
21-February-2024,16.1,16.29,15.23,15.32,52909569,34758
20-February-2024,16.09,16.43,15.87,15.94,51526545,40624
19-February-2024,15.97,16.34,15.84,16.0,44103905,47693
16-February-2024,16.02,16.56,15.81,15.91,67701404,65684
15-February-2024,15.63,16.28,15.53,15.95,82058908,59777
14-February-2024,14.59,15.75,14.44,15.56,96071529,59346
13-February-2024,14.52,14.88,14.11,14.71,43683341,46776
12-February-2024,15.6,15.7,14.33,14.47,62056544,54330
9-February-2024,14.92,15.65,14.4,15.52,89584746,75053
8-February-2024,15.12,15.16,14.66,14.82,55991914,37065
7-February-2024,14.43,15.44,14.25,14.98,87598206,37047
6-February-2024,13.74,14.46,13.61,14.24,61094061,28104
5-February-2024,14.07,14.2,13.65,13.72,31413786,33218
2-February-2024,14.29,14.69,14.0,14.04,46155944,27250
1-February-2024,14.4,14.48,13.93,14.15,37252528,120193
31-January-2024,14.52,14.56,14.2,14.36,31239566,24086
30-January-2024,14.76,14.89,14.32,14.49,48009206,32587
29-January-2024,14.74,15.2,14.61,14.7,37034056,32568
25-January-2024,14.91,15.08,14.36,14.61,59872461,39154
24-January-2024,14.4,14.98,14.25,14.94,50400245,37265
23-January-2024,15.09,15.24,14.3,14.39,50652278,47551
20-January-2024,15.1,15.24,14.88,15.02,24388336,21122
19-January-2024,15.19,15.43,15.02,15.08,46647079,31033
18-January-2024,15.22,15.41,14.62,15.11,41528830,27862
17-January-2024,15.6,15.77,15.02,15.09,58668104,26745
16-January-2024,16.5,16.53,15.51,15.74,64239631,32382
15-January-2024,15.92,16.67,15.81,16.47,50461549,32349
12-January-2024,16.11,16.18,15.8,15.87,26823595,27461
11-January-2024,16.23,16.32,15.91,16.06,17957631,76010
10-January-2024,16.27,16.44,15.83,16.13,34839723,63494
9-January-2024,17.25,17.5,16.0,16.22,68193185,52870
8-January-2024,17.25,17.65,17.06,17.15,54305779,48556
5-January-2024,17.1,17.65,16.76,17.11,109689419,76987
4-January-2024,15.9,17.18,15.71,16.81,89264929,65661
3-January-2024,15.89,16.45,15.6,15.89,66534725,58355
2-January-2024,17.09,17.78,15.96,16.03,126742245,63018
1-January-2024,16.24,18.42,15.57,16.99,219276844,132757
29-December-2023,13.41,16.22,13.31,16.02,298985635,81146
28-December-2023,13.49,13.6,13.13,13.24,46921833,25561
27-December-2023,13.4,13.48,13.22,13.43,36657426,30017
26-December-2023,13.67,13.75,13.3,13.37,56581235,20455
22-December-2023,13.72,13.99,13.45,13.61,47382840,20918
21-December-2023,13.18,13.75,12.94,13.66,48834423,37752
20-December-2023,14.04,14.38,13.01,13.09,80415079,36177
19-December-2023,14.16,14.45,13.96,14.01,43323366,29843
18-December-2023,14.36,14.44,13.91,14.09,61954336,30442
15-December-2023,13.99,14.23,13.58,14.04,52993207,25777
14-December-2023,13.3,14.2,13.21,13.94,72630603,32189
13-December-2023,13.18,13.59,13.11,13.18,53776699,17327
12-December-2023,13.33,13.33,12.96,13.13,33383125,24005
11-December-2023,12.92,13.37,12.92,13.14,36795184,16920
8-December-2023,13.3,13.35,12.65,12.88,49028096,28303
7-December-2023,12.84,13.53,12.72,13.22,47071666,43082
6-December-2023,13.1,13.15,12.81,12.84,32723551,36746
5-December-2023,13.2,13.4,12.81,13.06,50323620,37791
4-December-2023,13.42,13.5,13.1,13.15,76147134,24087
1-December-2023,13.28,13.55,13.2,13.27,31168083,24285
30-November-2023,13.22,13.4,12.95,13.06,72663317,27177
29-November-2023,13.31,13.45,13.16,13.24,29868737,18277
28-November-2023,13.4,13.59,13.11,13.28,35688694,21556
24-November-2023,13.68,13.74,13.31,13.35,25033494,19452
23-November-2023,13.55,13.8,13.41,13.6,27416158,17782
22-November-2023,13.87,13.87,13.31,13.49,45063375,24067
21-November-2023,14.28,14.36,13.72,13.85,54727898,28673
20-November-2023,14.62,15.07,14.01,14.16,71255078,34639
17-November-2023,14.43,14.8,14.26,14.55,56240162,30500
16-November-2023,14.12,14.78,14.08,14.4,66537940,35865
15-November-2023,14.02,14.2,13.82,14.07,36640053,20997
13-November-2023,13.93,14.04,13.7,13.95,26932448,15862
12-November-2023,13.8,13.93,13.8,13.87,9134250,16861
10-November-2023,14.1,14.45,13.65,13.73,53981594,28391
9-November-2023,13.78,14.1,13.75,13.91,40258480,16519
8-November-2023,13.97,14.1,13.58,13.64,33412283,20288
7-November-2023,13.62,14.01,13.35,13.87,38202549,17325
6-November-2023,13.95,14.03,13.49,13.54,33205581,23817
3-November-2023,13.99,14.37,13.54,13.74,138107037,50724
2-November-2023,13.14,13.85,12.8,13.75,140874620,42040
1-November-2023,11.9,13.54,11.81,12.78,263960432,76421
31-October-2023,11.85,12.21,11.67,11.89,79625822,32336
30-October-2023,10.97,11.95,10.71,11.65,70769570,31151
27-October-2023,10.68,11.04,10.66,10.88,42869372,17192
26-October-2023,10.85,10.96,10.52,10.73,44075284,23053
25-October-2023,11.01,11.2,10.6,10.86,48043117,26240
23-October-2023,11.79,11.87,10.86,10.95,43834963,43122
20-October-2023,12.03,12.12,11.68,11.76,30615828,15912
19-October-2023,11.68,12.09,11.57,11.99,49868876,19897
18-October-2023,11.94,12.01,11.55,11.69,38515952,20632
17-October-2023,11.83,12.2,11.79,11.94,45137074,26712
16-October-2023,12.08,12.12,11.72,11.82,41381263,23453
13-October-2023,11.83,12.35,11.76,12.01,44115113,23018
12-October-2023,11.92,12.12,11.56,11.89,57882497,28862
11-October-2023,11.17,12.0,11.17,11.88,111662750,34984
10-October-2023,11.02,11.18,10.95,11.07,29487346,17529
9-October-2023,10.72,11.39,10.56,10.9,51292215,23877
6-October-2023,11.22,11.27,10.85,10.94,26513792,23378
5-October-2023,11.55,11.6,11.06,11.22,45748071,25911
4-October-2023,11.93,11.93,11.32,11.49,38017706,23094
