Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades
28-June-2024,35.04,35.04,34.27,34.37,59528,446
27-June-2024,35.3,35.58,34.4,34.57,86804,812
26-June-2024,35.3,35.86,35.13,35.23,99034,803
25-June-2024,36.19,36.64,35.37,35.64,88161,952
24-June-2024,35.97,36.31,35.15,35.73,610667,832
21-June-2024,36.28,37.04,35.82,35.97,192675,1198
20-June-2024,35.6,36.79,35.52,35.65,83456,783
19-June-2024,35.86,36.85,35.4,35.51,149888,1050
18-June-2024,37.48,37.68,35.85,36.23,136984,899
14-June-2024,36.75,37.43,36.12,37.03,604303,349
13-June-2024,37.39,37.75,36.75,36.86,44935,454
12-June-2024,36.66,38.25,36.66,36.85,99535,584
11-June-2024,36.71,37.74,36.6,37.26,68201,479
10-June-2024,37.0,37.1,36.36,36.77,63472,624
7-June-2024,35.88,36.73,34.96,36.6,113624,676
6-June-2024,34.9,35.9,34.7,35.36,62375,413
5-June-2024,33.9,35.0,32.87,34.69,169893,934
4-June-2024,38.28,38.28,30.45,33.09,287616,1875
3-June-2024,37.98,38.49,37.0,37.56,211048,1133
31-May-2024,36.78,36.78,35.22,36.01,82868,1734
30-May-2024,36.62,37.04,35.69,35.98,76278,1275
29-May-2024,36.0,37.31,36.0,37.11,99648,774
28-May-2024,37.28,37.31,36.2,36.36,105205,532
27-May-2024,38.82,38.82,36.81,36.95,83211,474
24-May-2024,38.04,38.95,37.61,37.78,135637,654
23-May-2024,39.2,39.2,37.75,38.05,117038,863
22-May-2024,39.87,40.64,38.4,38.66,86122,620
21-May-2024,40.9,40.9,39.18,39.37,73773,589
18-May-2024,39.3,40.6,39.25,39.65,13232,122
17-May-2024,40.59,40.59,39.05,39.58,165401,890
16-May-2024,40.48,42.05,39.35,40.1,211347,1189
15-May-2024,37.89,41.65,36.95,39.89,794687,5532
14-May-2024,36.69,37.3,36.0,37.0,127669,707
13-May-2024,36.78,37.34,35.16,36.07,165191,1088
10-May-2024,34.88,35.71,34.16,35.63,80780,796
9-May-2024,35.6,36.1,33.51,34.17,61914,865
8-May-2024,35.36,37.01,35.05,35.72,114445,908
7-May-2024,36.57,36.85,35.05,35.62,153828,1130
6-May-2024,39.15,39.4,36.67,36.94,134112,897
3-May-2024,39.62,40.27,38.13,38.36,102424,864
2-May-2024,39.4,40.45,39.33,39.65,140999,1032
