Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,filename
28-June-2024,38.43,38.43,36.03,37.0,27032,197,WEP Solutions Ltd
27-June-2024,36.15,38.0,36.15,37.56,60310,224,WEP Solutions Ltd
26-June-2024,36.2,37.52,36.0,36.5,28815,113,WEP Solutions Ltd
25-June-2024,37.41,37.88,36.05,36.63,37466,179,WEP Solutions Ltd
24-June-2024,38.0,38.0,36.5,37.14,31210,214,WEP Solutions Ltd
21-June-2024,37.85,38.01,36.1,36.36,22178,136,WEP Solutions Ltd
20-June-2024,36.05,37.4,35.89,37.0,58311,224,WEP Solutions Ltd
19-June-2024,37.0,38.0,36.23,36.52,13469,174,WEP Solutions Ltd
18-June-2024,36.65,37.94,36.0,37.24,21950,208,WEP Solutions Ltd
14-June-2024,35.25,39.75,35.25,36.65,127995,514,WEP Solutions Ltd
13-June-2024,37.0,37.29,34.79,35.26,20687,241,WEP Solutions Ltd
12-June-2024,35.69,37.94,35.21,36.29,27177,312,WEP Solutions Ltd
11-June-2024,35.35,36.15,34.7,35.69,30778,225,WEP Solutions Ltd
10-June-2024,34.9,36.44,34.42,35.35,23826,161,WEP Solutions Ltd
7-June-2024,35.0,37.49,33.65,34.19,103903,476,WEP Solutions Ltd
6-June-2024,29.98,35.97,29.98,35.97,155427,518,WEP Solutions Ltd
5-June-2024,29.8,31.59,28.0,29.98,47362,304,WEP Solutions Ltd
4-June-2024,32.5,32.97,28.0,28.87,77356,382,WEP Solutions Ltd
3-June-2024,33.41,34.8,32.12,32.29,24020,162,WEP Solutions Ltd
31-May-2024,33.75,34.0,32.0,33.1,21854,199,WEP Solutions Ltd
30-May-2024,34.2,34.54,32.6,33.28,36914,274,WEP Solutions Ltd
29-May-2024,33.59,34.55,33.59,34.05,15260,148,WEP Solutions Ltd
28-May-2024,34.61,35.55,33.52,34.18,25730,217,WEP Solutions Ltd
27-May-2024,37.67,37.68,33.5,34.57,53364,380,WEP Solutions Ltd
24-May-2024,37.7,37.7,36.25,36.97,43830,146,WEP Solutions Ltd
23-May-2024,36.2,38.25,36.2,36.55,27009,225,WEP Solutions Ltd
22-May-2024,39.0,39.5,36.5,37.29,41852,264,WEP Solutions Ltd
21-May-2024,39.3,39.68,38.25,38.56,17332,137,WEP Solutions Ltd
18-May-2024,39.4,39.7,37.55,38.88,3371,47,WEP Solutions Ltd
17-May-2024,38.5,39.45,38.0,38.86,25493,126,WEP Solutions Ltd
16-May-2024,38.38,39.7,37.16,37.73,29194,187,WEP Solutions Ltd
15-May-2024,35.3,37.87,35.3,37.5,27928,132,WEP Solutions Ltd
14-May-2024,36.5,37.5,36.15,36.45,31332,133,WEP Solutions Ltd
13-May-2024,35.26,36.92,34.12,35.87,34658,217,WEP Solutions Ltd
10-May-2024,36.5,36.5,34.0,35.56,34341,212,WEP Solutions Ltd
9-May-2024,37.42,37.42,35.8,35.93,27852,275,WEP Solutions Ltd
8-May-2024,36.0,37.5,35.15,36.08,10119,162,WEP Solutions Ltd
7-May-2024,37.0,37.44,35.06,36.0,26411,230,WEP Solutions Ltd
6-May-2024,40.9,40.9,35.99,36.53,32486,260,WEP Solutions Ltd
3-May-2024,38.37,39.25,37.16,37.43,30015,205,WEP Solutions Ltd
2-May-2024,39.01,39.7,38.0,38.53,20508,129,WEP Solutions Ltd
30-April-2024,40.23,40.23,38.21,39.01,10418,115,WEP Solutions Ltd
29-April-2024,40.94,40.94,38.95,39.17,21713,162,WEP Solutions Ltd
26-April-2024,38.65,40.59,38.65,40.26,18357,127,WEP Solutions Ltd
25-April-2024,40.4,40.4,38.8,39.1,15525,120,WEP Solutions Ltd
24-April-2024,39.0,40.17,38.0,38.81,24268,185,WEP Solutions Ltd
23-April-2024,41.0,41.0,38.0,38.3,39941,261,WEP Solutions Ltd
22-April-2024,40.03,41.0,38.46,40.36,22220,161,WEP Solutions Ltd
19-April-2024,38.05,40.0,36.91,39.56,35468,223,WEP Solutions Ltd
18-April-2024,38.19,40.87,38.19,39.75,15917,161,WEP Solutions Ltd
16-April-2024,39.41,39.41,37.6,38.12,23722,186,WEP Solutions Ltd
15-April-2024,40.0,40.69,38.5,39.04,68338,329,WEP Solutions Ltd
12-April-2024,42.3,43.0,41.01,41.36,39517,213,WEP Solutions Ltd
10-April-2024,43.9,43.9,41.3,42.14,28889,219,WEP Solutions Ltd
9-April-2024,43.53,44.87,42.0,42.19,53121,269,WEP Solutions Ltd
8-April-2024,44.68,45.87,43.1,43.53,36416,270,WEP Solutions Ltd
5-April-2024,40.35,44.39,40.35,43.94,232184,754,WEP Solutions Ltd
4-April-2024,38.45,39.5,38.17,39.45,65980,175,WEP Solutions Ltd
3-April-2024,37.08,37.95,36.32,37.35,38219,180,WEP Solutions Ltd
2-April-2024,39.0,39.4,36.7,36.8,42848,232,WEP Solutions Ltd
1-April-2024,38.02,38.9,38.02,38.5,7826,88,WEP Solutions Ltd
28-March-2024,38.69,38.69,36.75,37.85,28840,110,WEP Solutions Ltd
27-March-2024,38.81,38.81,36.41,36.94,20377,110,WEP Solutions Ltd
26-March-2024,39.17,39.17,37.5,37.8,19798,118,WEP Solutions Ltd
22-March-2024,38.43,39.48,37.75,39.17,14758,280,WEP Solutions Ltd
21-March-2024,38.24,39.48,35.13,37.68,34233,230,WEP Solutions Ltd
20-March-2024,38.45,38.45,36.19,36.68,9811,97,WEP Solutions Ltd
19-March-2024,37.81,38.5,36.7,36.73,68078,179,WEP Solutions Ltd
18-March-2024,38.2,38.2,36.0,36.53,71093,185,WEP Solutions Ltd
15-March-2024,37.4,37.4,35.1,36.59,19019,170,WEP Solutions Ltd
14-March-2024,34.55,37.7,33.25,36.41,28925,265,WEP Solutions Ltd
13-March-2024,34.1,36.01,31.55,35.35,83909,437,WEP Solutions Ltd
12-March-2024,39.4,39.4,34.26,34.76,104146,494,WEP Solutions Ltd
11-March-2024,39.35,40.49,38.0,38.06,17645,144,WEP Solutions Ltd
7-March-2024,39.6,39.6,37.17,39.28,48741,192,WEP Solutions Ltd
6-March-2024,38.1,39.8,37.1,37.76,127248,374,WEP Solutions Ltd
5-March-2024,40.4,40.4,37.25,37.86,65832,294,WEP Solutions Ltd
4-March-2024,40.75,40.77,39.4,39.84,12265,91,WEP Solutions Ltd
2-March-2024,41.75,41.75,39.15,39.52,13523,79,WEP Solutions Ltd
1-March-2024,40.72,40.72,39.02,40.27,25977,192,WEP Solutions Ltd
29-February-2024,40.99,40.99,37.5,39.45,31589,222,WEP Solutions Ltd
28-February-2024,40.02,41.4,39.01,39.35,43705,228,WEP Solutions Ltd
27-February-2024,40.75,42.0,40.01,40.49,19702,131,WEP Solutions Ltd
26-February-2024,40.0,42.0,39.52,40.1,37679,199,WEP Solutions Ltd
23-February-2024,44.0,44.17,41.05,42.0,23562,168,WEP Solutions Ltd
22-February-2024,43.75,43.75,41.0,42.49,22021,209,WEP Solutions Ltd
21-February-2024,44.89,44.97,41.7,42.52,28632,180,WEP Solutions Ltd
20-February-2024,44.95,45.45,43.0,44.35,26946,175,WEP Solutions Ltd
19-February-2024,45.0,45.0,42.01,44.07,37939,229,WEP Solutions Ltd
16-February-2024,43.4,44.45,42.0,43.69,43418,200,WEP Solutions Ltd
15-February-2024,41.65,45.61,41.1,43.46,152907,555,WEP Solutions Ltd
14-February-2024,41.82,41.87,38.6,41.47,37027,217,WEP Solutions Ltd
13-February-2024,43.02,44.49,39.1,41.82,53380,369,WEP Solutions Ltd
12-February-2024,46.0,48.88,42.15,42.18,91425,555,WEP Solutions Ltd
9-February-2024,50.45,50.45,44.1,46.83,67746,444,WEP Solutions Ltd
8-February-2024,50.0,50.9,47.81,48.25,68947,315,WEP Solutions Ltd
7-February-2024,50.45,50.45,48.3,48.91,91041,417,WEP Solutions Ltd
6-February-2024,45.0,46.45,43.1,46.45,66715,261,WEP Solutions Ltd
5-February-2024,46.0,47.25,43.55,44.24,52952,369,WEP Solutions Ltd
2-February-2024,47.05,49.0,44.95,45.48,72835,334,WEP Solutions Ltd
1-February-2024,46.41,47.45,44.1,47.21,61341,325,WEP Solutions Ltd
31-January-2024,45.2,47.5,45.13,45.44,86480,469,WEP Solutions Ltd
30-January-2024,49.99,49.99,47.5,47.5,58221,304,WEP Solutions Ltd
29-January-2024,52.2,52.78,48.72,49.99,100592,496,WEP Solutions Ltd
25-January-2024,52.0,52.9,50.13,51.28,126930,480,WEP Solutions Ltd
24-January-2024,51.0,51.75,49.0,50.74,99307,492,WEP Solutions Ltd
23-January-2024,52.99,53.95,48.94,49.29,362887,1247,WEP Solutions Ltd
20-January-2024,51.51,51.51,51.51,51.51,94983,114,WEP Solutions Ltd
19-January-2024,44.6,49.06,44.59,49.06,179035,421,WEP Solutions Ltd
18-January-2024,43.2,45.0,40.0,44.6,112636,759,WEP Solutions Ltd
17-January-2024,41.0,45.0,39.0,41.93,92037,652,WEP Solutions Ltd
16-January-2024,44.55,45.2,40.0,41.78,146439,655,WEP Solutions Ltd
15-January-2024,41.25,43.07,40.0,43.07,190115,714,WEP Solutions Ltd
12-January-2024,39.7,40.0,36.35,39.16,103435,298,WEP Solutions Ltd
11-January-2024,39.38,39.38,36.11,38.23,74390,319,WEP Solutions Ltd
10-January-2024,38.9,39.49,36.1,38.01,93820,290,WEP Solutions Ltd
9-January-2024,37.64,37.64,36.15,37.64,71017,168,WEP Solutions Ltd
