Security Code,Company Name
500002,ABB India Limited
500003,Aegis Logistics Ltd.
500008,Amara Raja Energy & Mobility Limited
500009,Ambalal Sarabhai Enterprise Ltd.
500012,Andhra Petrochemicals Ltd.
500013,Ansal Properties & Infrastructure Ltd.
500014,UTIQUE ENTERPRISES LIMITED
500016,Aruna Hotels Ltd.
500020,Bombay Dyeing & Mfg. Co. Ltd.
500023,Asian Hotels (North) Limited
500027,Atul Limited.
500028,ATV Projects India Ltd
500031,Bajaj Electricals Ltd.
500032,Bajaj Hindusthan Sugar Limited
500033,Force Motors Limited
500034,Bajaj Finance Limited
500038,Balrampur Chini Mills Ltd.
500039,Banco Products (India) Ltd.
500040,Century Textiles & Industries Ltd.
500041,Bannari Amman Sugars Ltd.
500042,BASF India Ltd
500043,Bata India Limited
500048,BEML Ltd
500049,Bharat Electronics Ltd.
500052,Bhansali Engineering Polymers Ltd.
500058,Bihar Sponge Iron Ltd
500059,Binani Industries Limited
500060,Birla Cable Limited
500067,Blue Star Ltd
500068,Disa India Ltd.
500069,QUEST CAPITAL MARKETS LIMITED
500074,BPL Ltd.
500078,ORIENTAL AROMATICS LIMITED
500083,Century Extrusions Ltd.
500084,CESC Limited
500085,Chambal Fertilisers & Chemicals Ltd
500086,Exide Industries Ltd.
500087,Cipla Ltd.
500089,DIC India Ltd
500092,CRISIL Ltd.
500093,CG Power and Industrial Solutions Limited
500096,Dabur India Ltd.
500097,Dalmia Bharat Sugar and Industries Ltd
500101,Arvind Ltd.
500103,Bharat Heavy Electricals Ltd.
500104,Hindustan Petroleum Corporation Ltd
500106,IFCI Ltd.
500108,Mahanagar Telephone Nigam Ltd.
500109,Mangalore Refinery & Petrochemicals
500110,Chennai Petroleum Corporation Ltd.
500112,State Bank Of India
500113,Steel Authority of India Ltd.
500114,Titan Company Limited
500116,IDBI Bank Ltd
500117,DCW Ltd.
500119,Dhampur Sugar Mills Ltd.
500120,Diamines & Chemicals Ltd.
500123,Elantas Beck India Ltd
500124,Dr. Reddy's Laboratories Ltd.
500125,E.I.D. Parry (India) Ltd.
500126,PROCTER & GAMBLE HEALTH LIMITED
500128,Electrosteel Castings Ltd.
500133,Esab India Ltd.
500135,EPL LIMITED
500136,Ester Industries Ltd.
500142,FGP Ltd
500143,P.H. Capital Ltd.
500144,Finolex Cables Ltd.
500147,JOHN COCKERILL INDIA LIMITED
500148,Uflex Limited
500150,Foseco India Ltd
500151,Golden Tobacco Ltd.
500153,Ganesh Benzoplast Ltd.
500159,Metroglobal Limited
500160,GTL Ltd
500163,Godfrey Phillips India Ltd.
500164,Godrej Industries Ltd.
500165,Kansai Nerolac Paints
500166,Goodricke Group Ltd.
500168,Goodyear India Ltd.
500170,GTN Industries Limited
500171,GHCL Ltd.
500173,GFL LIMITED
500174,Gujarat Lease Financing Limited
500179,HCL Infosystems Ltd
500180,HDFC Bank Ltd.
500182,Hero MotoCorp Limited
500183,HFCL LIMITED
500184,Himadri Speciality Chemical Ltd.
500185,Hindustan Construction Co. Ltd.
500186,Hindustan Oil Exploration Co. Ltd.
500187,AGI GREENPAC LIMITED
500188,Hindustan Zinc Ltd.
500189,NDL Ventures Limited
500191,HMT Limited
500192,Prag Bosimi Synthetics Ltd.
500193,HLV LIMITED
500199,IG Petrochemicals Ltd
500201,India Glycols Ltd
500202,India Lease Devl. Ltd.
500206,Margo Finance Limited
500207,Indo Rama Synthetics (India) Ltd.
500209,Infosys Ltd
500210,Ingersoll-Rand (India) Ltd.
500213,International Travel House Ltd
