BSE_securities_name
Harshdeep
Flora Textiles
Jagjanani Text.
Ventura Textiles
Manbro Indust.
Varyaa Creations
Addictive Learn
Monotype India
Sr. Jayala. Auto
Bhudevi Infra
Medinova Diagno.
Spice IslandsInd
Kothari Indl
Aananda Lakshmi
Hindustan Motors
Ksolves India
Nestle India
Guj. Toolroom
SBEC Systems
Gretex Industrie
Akiko
Basilic Fly Stud
Blue Pebble
Vintron Info.
Swadeshi Polytex
Tuticorin Alkali
Teerth
Associated
Dindigul Farm
Athena Global
Sahana Systems
Network People
Slone
Maha Rashtra Apx
Ambitious Plasto
Franklin Indust.
Gayatri Highways
Digikore Studios
Veritaas
Infronics Sys.
Vasa Denticity
Press. Senstive
Triveni Glass
E Factor Experie
Spectrum Foods
KP Green Engg.
Tips Industries
Waaree Renewab.
Sona Machinery
Jhandewala Foods
P & G Hygiene
Rish.Digh.Steel
Remedium Life
Modern Engineer.
Bridge Securitie
Technvision Ven.
Exhicon Events
Colgate-Palmoliv
Techknowgreen
Vuenow Infratech
Rajkamal Synth.
Gayatri Sugars
Infollion Resea.
Olatech Solution
Mishtann Foods
Enfuse
Womancart
One Global Serv
Cellecor Gadgets
Rulka
Krishca Strapp.
TAC Infosec
Amic Forging
Sar Televenture
Crestchem
Quest
Oriana Power Ltd
Enser
Lloyds Metals
High Street Fila
Esab India
Kalyani Cast-Tec
Supreme Power
Shilchar Tech.
Jeena Sikho
Concord Control
P. H. Capital
21st Cent. Mgmt.
Nephro Care
Sanofi India
AccelerateBS Ind
Rockingdeals Cir
Sameera Agro
IB Infotech
Vipul Ltd
NINtec Systems
Yuranus Infrast.
Taylormade Renew
Phantom Digital
Kesar India
Life Insurance
Span Divergent
Jyoti Resins
Gem Enviro
Sanathnagar Ent.
Cochin Malabar
Coal India
Winsol
Rajvi Logitrade
Balgopal Commer.
TCS
Insolation Ener
Z-Tech
BNR Udyog
Nexus Surgical
Shine Fashions
Promact Impex
Dhruva Cap.Serv.
Kiduja India
Everlon Fin.
Trust Fintech
Jai Balaji Inds.
Faalcon Concepts
Gretex Corporate
Wanbury
Sumuka Agro
Accent Microcell
Key Corp
Kody Technolab
Wealth First Por
Castrol India
Vinsys IT Serv.
Sigma Solve
Accelya Solution
Forbes Precision
Cyber Media Ind
Aspire & Innovat
Sanjiv.Parant.
Suratwwala Busi.
Brisk Technovisi
Esconet
Global Education
Baweja Studios L
I R C T C
Prime Industries
Netlink Solns(I)
Alacrity Sec.
Kotyark Indust.
Visco Trade
Authum Invest
Pulz Electronics
Interiors
Finelistings
Deepak
Gillette India
Wise Travel
Swaraj Engines
Kronox Lab
Monarch Networth
Drone Destinatio
Ingersoll-Rand
Glaxosmi. Pharma
Owais Metal
Niks Technology
Shelter Pharma
Australian Prem
Vraj Iron
K2 Infragen
DCM
Anand Rathi Wea.
Goyal Salt
Comfort Comtrade
Delaplex
Newjaisa Tech
Sattrix
Britannia Inds.
Hoac Foods
Advani Hotels.
South. Magnesium
Cams Services
HB Stockholdings
Systematix Corp.
Goenka Business
Motherson Wiring
Tata Tele. Mah.
Pratham EPC
Avantel
Sai Swami Metals
Naman In-Store
OneClick Logisti
CG Power & Ind
Som Datt Finance
