Date,Open,High,Low,Close,Volume
2024-06-28,251.0,270.0,251.0,259.15,19442
2024-06-27,271.3,274.0,256.0,259.35,23247
2024-06-26,271.3,274.95,265.7,268.4,34648
2024-06-25,292.7,292.7,264.9,279.65,79994
2024-06-24,276.5,278.8,270.0,278.8,22684
2024-06-21,265.0,265.55,265.0,265.55,29317
2024-06-20,266.0,266.25,252.95,252.95,59947
2024-06-19,266.25,279.0,266.25,266.25,45810
2024-06-18,289.0,289.1,280.25,280.25,72931
2024-06-14,277.35,301.3,277.35,295.0,147625
2024-06-13,304.9,304.9,291.9,291.9,29149
2024-06-12,307.75,307.75,282.2,307.25,236307
2024-06-11,293.1,293.1,293.1,293.1,19518
2024-06-10,279.15,279.15,278.7,279.15,50292
2024-06-07,240.6,265.9,240.6,265.9,182894
2024-06-06,253.25,253.25,253.25,253.25,11673
2024-06-05,266.55,266.55,266.55,266.55,2535
2024-06-04,280.55,280.55,280.55,280.55,3832
2024-06-03,295.3,295.3,295.3,295.3,12006
2024-05-31,310.8,310.8,310.8,310.8,8733
2024-05-30,327.15,327.15,327.15,327.15,4799
2024-05-29,344.35,344.35,344.35,344.35,5560
2024-05-28,400.55,400.55,362.45,362.45,100901
2024-05-27,381.5,381.5,381.5,381.5,42148
2024-05-24,363.35,363.35,363.35,363.35,20524
2024-05-23,330.0,346.05,330.0,346.05,85271
2024-05-22,329.6,329.6,329.0,329.6,40258
2024-05-21,313.95,313.95,313.0,313.95,29138
2024-05-18,299.0,299.0,299.0,299.0,28573
2024-05-17,284.8,284.8,257.7,284.8,207195
2024-05-16,271.25,271.25,271.25,271.25,20680
2024-05-15,258.35,258.35,258.35,258.35,20082
2024-05-14,246.05,246.05,246.05,246.05,19250
2024-05-13,234.35,234.35,234.35,234.35,21888
2024-05-10,223.2,223.2,223.2,223.2,23270
2024-05-09,212.6,212.6,212.6,212.6,18047
2024-05-08,200.95,202.5,200.95,202.5,30178
2024-05-07,192.5,192.9,187.45,192.9,53480
2024-05-06,174.5,183.75,166.25,183.75,105666
2024-05-03,172.7,177.0,163.0,175.0,75238
2024-05-02,169.45,169.45,153.35,169.45,168378
2024-04-30,161.42,161.42,161.42,161.42,66262
2024-04-29,153.74,153.74,153.74,153.74,7367
2024-04-26,146.42,146.42,146.42,146.42,13700
2024-04-25,139.45,139.45,139.45,139.45,20593
2024-04-24,129.0,132.81,126.49,132.81,25983
2024-04-23,124.5,126.49,124.3,126.49,28980
2024-04-22,117.0,120.47,117.0,120.47,73594
2024-04-19,114.65,114.74,112.5,114.74,38901
2024-04-18,108.95,109.28,104.0,109.28,24706
2024-04-16,101.54,105.5,101.0,104.08,17048
2024-04-15,100.0,104.0,98.89,100.55,17580
2024-04-12,104.0,106.8,100.63,104.09,25734
2024-04-10,100.9,102.55,95.01,101.93,20677
2024-04-09,101.72,105.0,96.7,98.97,15334
2024-04-08,105.4,105.53,97.0,101.74,14517
2024-04-05,99.8,100.92,92.1,100.51,44230
