Date,Open,High,Low,Close,Volume
2024-06-28,319.0,333.0,317.15,326.55,59969
2024-06-27,319.75,325.0,315.8,319.35,77197
2024-06-26,318.2,318.2,309.65,316.5,29080
2024-06-25,305.4,316.65,303.3,315.65,40378
2024-06-24,312.95,314.05,305.0,306.2,27974
2024-06-21,323.0,323.0,310.0,313.65,5462
2024-06-20,320.1,323.15,315.85,318.1,8028
2024-06-19,320.45,323.9,313.05,320.15,37222
2024-06-18,322.0,324.8,312.95,318.65,18629
2024-06-14,320.0,323.0,318.0,320.95,38135
2024-06-13,318.0,319.55,316.55,319.05,7263
2024-06-12,313.95,318.75,312.95,318.0,38571
2024-06-11,315.25,316.5,309.9,312.7,29579
2024-06-10,296.0,317.7,296.0,314.05,12664
2024-06-07,300.0,301.0,294.45,296.55,7795
2024-06-06,298.05,298.05,291.7,295.0,23895
2024-06-05,296.4,296.6,279.95,291.6,27122
2024-06-04,291.8,295.0,272.0,287.05,12392
2024-06-03,307.0,307.0,292.3,295.25,37121
2024-05-31,293.5,297.25,290.7,295.7,7043
2024-05-30,297.0,297.0,291.3,291.9,5575
2024-05-29,297.5,298.75,295.15,296.45,11469
2024-05-28,307.95,307.95,296.15,297.3,5821
2024-05-27,310.95,310.95,302.9,307.25,24195
2024-05-24,300.7,307.35,300.3,306.65,5872
2024-05-23,302.35,305.15,298.95,300.75,21706
2024-05-22,310.0,310.2,300.7,302.35,35299
2024-05-21,305.9,309.45,297.0,305.5,7930
2024-05-18,301.0,306.95,298.45,300.3,3529
2024-05-17,295.0,299.8,292.95,297.15,23415
2024-05-16,299.9,299.9,293.4,294.6,14260
2024-05-15,293.45,296.0,292.65,294.9,16001
2024-05-14,301.95,301.95,292.0,293.45,5984
2024-05-13,297.45,297.45,288.5,294.6,26853
2024-05-10,297.95,297.95,288.0,293.05,13297
2024-05-09,303.35,303.35,292.0,293.25,38511
2024-05-08,301.35,302.9,295.5,297.15,26101
2024-05-07,300.0,301.95,295.25,299.75,38430
2024-05-06,306.05,308.55,296.65,297.9,52055
2024-05-03,310.05,310.05,303.2,305.8,20329
2024-05-02,313.55,315.0,306.4,310.35,73709
2024-04-30,316.65,321.8,315.25,316.05,8765
2024-04-29,323.45,323.45,315.85,316.2,12209
2024-04-26,320.35,321.95,315.95,317.25,29313
2024-04-25,312.85,318.75,312.85,317.9,27943
2024-04-24,321.8,325.7,310.2,312.25,65726
2024-04-23,316.85,321.9,314.4,319.6,28073
2024-04-22,318.35,320.15,315.35,317.0,14957
2024-04-19,313.05,318.0,312.0,317.0,5514
2024-04-18,320.05,325.2,315.0,316.4,23003
2024-04-16,312.55,320.75,312.55,319.5,7011
2024-04-15,316.05,322.45,308.55,313.35,57815
2024-04-12,323.25,325.3,320.5,321.55,10598
2024-04-10,328.4,328.4,323.25,325.3,8849
2024-04-09,334.55,334.55,320.0,323.25,32890
2024-04-08,334.9,337.4,326.45,329.0,24085
2024-04-05,332.75,334.0,327.0,330.75,24666
2024-04-04,334.65,334.65,328.0,330.35,26368
2024-04-03,328.65,331.95,322.3,328.95,22289
2024-04-02,328.45,328.45,321.6,322.5,8046
2024-04-01,317.45,325.5,314.8,320.6,11631
2024-03-28,319.55,319.55,312.25,314.6,12991
2024-03-27,308.55,314.85,305.1,313.2,18919
2024-03-26,321.3,324.45,308.0,309.75,78954
2024-03-22,314.95,322.85,310.4,319.8,41236
2024-03-21,305.5,314.2,305.5,311.15,24117
2024-03-20,312.55,313.55,303.7,308.05,17270
2024-03-19,315.35,316.0,308.5,311.05,28298
2024-03-18,315.9,321.05,312.2,315.2,39227
2024-03-15,324.75,327.75,316.3,319.35,23762
2024-03-14,332.95,332.95,317.8,320.55,71576
2024-03-13,340.5,344.65,324.05,331.05,12558
2024-03-12,347.05,349.4,333.1,340.5,45816
2024-03-11,355.45,358.55,345.8,347.65,7347
2024-03-07,368.95,368.95,355.0,357.9,5431
2024-03-06,374.1,374.1,359.15,362.95,8460
2024-03-05,378.25,380.0,370.0,371.55,26990
2024-03-04,383.3,386.55,375.0,381.2,6654
2024-03-01,377.5,388.05,373.95,374.85,7321
2024-02-29,373.0,388.75,365.6,385.2,34073
2024-02-28,394.95,394.95,371.35,373.75,42918
2024-02-27,399.3,400.7,385.45,390.9,12099
2024-02-26,381.45,396.2,381.45,394.9,62677
2024-02-23,374.0,385.0,364.0,380.15,23419
2024-02-22,367.3,367.3,358.5,363.0,15885
2024-02-21,376.95,376.95,360.95,362.5,25710
2024-02-20,376.85,376.85,362.3,365.05,11237
2024-02-19,360.5,365.25,360.0,362.55,24930
2024-02-16,360.55,368.4,358.55,360.25,15030
2024-02-15,361.6,368.45,356.05,358.25,19636
2024-02-14,372.85,372.85,358.2,361.0,18180
2024-02-13,384.85,384.85,367.4,368.6,21089
2024-02-12,383.45,387.95,373.55,379.65,36671
2024-02-09,385.55,389.0,382.05,383.45,21890
2024-02-08,389.95,390.0,382.0,385.2,7149
2024-02-07,389.8,390.0,380.55,387.45,15773
2024-02-06,390.55,390.55,375.0,381.05,53219
2024-02-05,393.2,397.95,382.35,383.55,14216
2024-02-02,387.25,395.95,380.55,390.4,16861
2024-02-01,391.6,391.6,378.85,387.25,48644
2024-01-31,410.0,419.0,394.45,398.4,32195
2024-01-30,401.05,411.7,397.05,408.05,44907
2024-01-29,403.5,408.7,393.35,398.15,38737
