Date,Open,High,Low,Close,Volume
2024-06-28,66.0,69.0,66.0,69.0,4000
2024-06-27,67.0,67.0,67.0,67.0,4000
2024-06-26,66.0,66.0,66.0,66.0,4000
2024-06-24,66.0,66.5,65.0,65.25,12000
2024-06-21,64.5,65.0,64.5,64.5,22000
2024-06-20,64.75,65.8,64.75,65.8,4000
2024-06-19,65.0,65.0,64.25,64.25,4000
2024-06-14,65.5,65.5,65.5,65.5,12000
2024-06-13,72.0,72.0,62.0,63.75,20000
2024-06-12,63.0,66.75,63.0,66.75,4000
2024-06-10,64.85,64.85,64.8,64.83,4000
2024-06-06,65.5,72.0,65.5,72.0,10000
2024-06-05,67.0,67.0,67.0,67.0,6000
2024-06-04,74.3,74.3,74.3,74.3,2000
2024-06-03,65.03,71.5,65.03,71.5,8000
2024-05-31,65.0,72.25,65.0,72.25,14000
2024-05-30,64.5,71.92,64.5,71.92,10000
2024-05-24,66.0,72.74,66.0,68.25,6000
2024-05-14,75.4,75.4,68.85,73.25,8000
2024-05-07,76.5,77.0,76.5,76.5,2000
2024-04-30,77.0,77.0,77.0,77.0,2000
2024-04-23,75.5,75.5,75.5,75.5,0
2024-04-22,70.0,70.0,69.3,69.3,8000
2024-04-18,77.0,77.0,77.0,77.0,6000
2024-04-03,76.0,76.0,76.0,76.0,2000
2024-03-27,71.85,71.9,71.85,71.9,0
2024-03-26,69.0,69.0,62.0,65.38,6000
2024-03-18,75.7,75.7,63.0,63.0,0
2024-03-15,75.1,75.1,69.2,69.2,8000
2024-03-12,76.25,76.25,76.25,76.25,2000
2024-03-06,73.1,73.1,70.0,70.0,0
2024-03-05,73.2,73.2,73.2,73.2,6000
2024-03-04,66.55,66.55,66.55,66.55,4000
2024-03-01,58.15,63.9,58.15,60.5,6000
2024-02-27,63.8,63.8,58.1,58.1,4000
2024-02-26,55.25,58.0,55.25,58.0,10000
2024-02-23,57.0,57.0,57.0,57.0,10000
2024-02-20,57.25,57.25,54.5,55.0,12000
2024-02-19,56.0,56.0,56.0,56.0,2000
2024-02-15,61.6,61.6,57.1,57.1,4000
2024-02-13,56.0,56.0,56.0,56.0,2000
2024-02-09,57.0,57.0,57.0,57.0,2000
2024-02-07,53.0,57.25,53.0,57.25,10000
2024-02-06,61.2,61.45,56.75,56.75,12000
2024-02-02,58.53,58.53,58.53,58.53,2000
2024-01-29,59.0,59.0,55.75,55.75,4000
2024-01-25,61.28,61.28,55.75,56.75,10000
2024-01-24,58.38,58.38,56.1,58.38,10000
2024-01-23,60.08,60.08,55.5,55.6,14000
2024-01-20,57.22,57.22,57.22,57.22,6000
2024-01-18,57.27,57.27,54.0,54.5,12000
2024-01-17,59.85,59.85,54.5,54.55,6000
2024-01-16,55.2,57.0,55.2,57.0,6000
2024-01-15,55.35,61.16,55.35,57.5,12000
2024-01-12,58.25,58.25,58.25,58.25,2000
2024-01-11,52.5,57.22,52.5,57.22,10000
2024-01-09,59.48,59.48,54.5,54.5,8000
2024-01-08,56.7,56.7,56.7,56.7,10000
2024-01-05,56.7,56.7,56.7,56.7,2000
2024-01-04,59.48,65.63,59.48,59.49,8000
2024-01-03,62.6,62.6,62.6,62.6,4000
2024-01-02,59.62,59.62,59.62,59.62,2000
2024-01-01,56.79,56.79,56.79,56.79,2000
2023-12-29,62.91,62.91,59.77,59.77,4000
2023-12-28,64.4,64.4,62.91,62.91,12000
2023-12-27,73.0,73.15,66.22,66.22,46000
2023-12-26,69.7,69.7,69.7,69.7,22000
2023-12-22,66.39,66.39,66.39,66.39,56000
2023-12-21,63.23,63.23,63.23,63.23,8000
2023-12-20,57.49,57.49,57.49,57.49,20000
2023-12-19,52.27,52.27,52.27,52.27,12000
2023-12-18,47.49,47.52,42.5,47.52,58000
2023-12-15,39.6,39.6,39.6,39.6,2000
2023-12-11,33.0,33.0,33.0,33.0,8000
2023-12-07,40.0,40.0,38.1,38.1,4000
2023-12-05,35.0,40.0,35.0,38.0,12000
2023-12-01,37.0,37.0,37.0,37.0,10000
2023-11-29,37.0,38.0,37.0,38.0,8000
2023-11-28,35.0,35.0,35.0,35.0,10000
2023-11-24,40.05,41.99,40.05,40.91,10000
2023-11-20,39.5,39.5,39.5,39.5,2000
2023-11-17,36.0,40.25,36.0,40.2,12000
2023-11-16,41.8,41.8,41.78,41.79,6000
2023-11-15,38.61,38.61,38.6,38.6,4000
2023-11-13,36.0,36.0,36.0,36.0,2000
2023-11-10,40.0,42.6,40.0,42.6,24000
2023-11-06,35.5,35.5,35.5,35.5,0
2023-11-03,37.75,42.95,37.75,40.25,8000
2023-11-02,41.5,41.5,41.5,41.5,2000
2023-11-01,43.95,43.95,36.0,39.35,16000
2023-10-30,38.05,38.05,38.05,38.05,2000
2023-10-26,38.0,38.0,38.0,38.0,2000
2023-10-25,39.95,41.95,39.0,39.0,12000
2023-10-23,38.61,38.61,38.61,38.61,2000
2023-10-18,39.5,39.6,39.5,39.6,4000
2023-10-12,39.49,39.5,39.49,39.5,4000
2023-10-06,38.8,38.8,38.8,38.8,2000
2023-10-05,38.9,39.0,38.9,39.0,4000
2023-10-03,35.01,38.99,35.01,38.99,4000
2023-09-28,38.51,38.51,38.51,38.51,0
2023-09-27,38.05,38.05,38.05,38.05,2000
2023-09-12,40.0,40.0,40.0,40.0,2000
2023-09-07,43.4,43.41,41.3,41.3,0
2023-09-06,42.0,42.0,38.53,38.53,6000
2023-09-05,42.05,42.05,41.05,41.05,4000
2023-08-31,40.45,41.05,40.45,41.05,0
2023-08-30,43.5,43.5,43.5,43.5,2000
2023-08-23,40.0,42.5,40.0,42.5,0
2023-08-21,40.0,40.0,40.0,40.0,6000
2023-08-18,37.05,43.88,33.75,40.0,12000
2023-08-16,39.33,39.65,39.33,39.65,4000
2023-08-01,42.0,42.0,42.0,42.0,0
2023-07-28,40.5,40.5,40.5,40.5,2000
2023-07-24,39.35,40.5,39.35,40.5,4000
2023-07-20,37.05,44.99,37.05,40.11,6000
2023-07-12,44.0,44.0,44.0,44.0,2000
2023-07-06,44.0,44.0,44.0,44.0,0
2023-07-05,44.0,44.0,44.0,44.0,2000
2023-07-04,42.0,42.0,42.0,42.0,2000
2023-07-03,43.5,48.0,43.0,44.83,8000
2023-06-30,43.0,43.52,38.13,42.88,14000
2023-06-26,42.0,42.0,42.0,42.0,2000
2023-06-22,45.5,45.6,45.5,45.6,4000
2023-06-20,40.0,46.25,40.0,41.0,8000
2023-06-19,44.0,44.0,44.0,44.0,2000
2023-06-02,42.51,44.13,42.51,44.13,0
2023-05-31,48.0,52.0,44.4,52.0,6000
2023-05-26,49.0,49.0,49.0,49.0,0
2023-05-22,60.0,60.0,50.0,50.0,6000
2023-05-08,55.14,55.14,50.0,50.0,6000
2023-04-20,45.95,45.95,45.95,45.95,2000
2023-03-31,39.05,39.05,39.05,39.05,0
2023-03-27,35.0,39.05,35.0,39.05,4000
2023-03-21,41.0,41.0,41.0,41.0,2000
2023-03-17,40.1,40.1,40.1,40.1,2000
2023-03-15,41.0,41.0,41.0,41.0,2000
2023-03-14,39.95,40.0,39.95,40.0,10000
2023-02-28,40.45,40.45,40.45,40.45,2000
2023-02-21,48.5,48.5,48.5,48.5,0
2023-02-20,48.3,48.3,48.3,48.3,2000
2023-02-03,40.25,40.25,40.0,40.25,0
2023-02-02,40.25,40.25,40.25,40.25,2000
2023-02-01,44.4,44.4,44.4,44.4,2000
2023-01-31,40.4,40.4,40.4,40.4,2000
2023-01-30,44.5,44.5,44.5,44.5,2000
2023-01-17,46.5,46.5,46.5,46.5,2000
2023-01-12,46.2,46.2,46.0,46.0,4000
2023-01-11,42.0,42.0,42.0,42.0,2000
2023-01-10,48.95,48.95,46.5,46.5,4000
2023-01-05,45.0,48.0,45.0,46.5,0
2023-01-04,44.0,44.0,44.0,44.0,2000
2022-12-29,41.6,45.15,41.6,44.0,0
2022-12-26,40.55,43.8,40.55,43.8,12000
2022-12-21,43.1,44.95,42.05,44.95,8000
2022-12-13,51.5,51.5,46.25,46.65,10000
2022-12-01,51.3,51.35,51.3,51.35,0
2022-11-30,49.0,49.0,49.0,49.0,2000
2022-11-24,49.0,51.0,49.0,51.0,4000
2022-11-23,50.9,50.9,50.9,50.9,2000
2022-11-17,48.5,48.5,48.5,48.5,0
2022-11-15,46.2,46.2,46.2,46.2,6000
2022-11-09,43.95,44.0,42.0,44.0,0
2022-11-07,41.95,41.95,41.95,41.95,2000
2022-11-03,41.95,41.95,41.95,41.95,2000
2022-11-02,40.0,40.0,40.0,40.0,2000
2022-11-01,36.0,38.55,36.0,38.55,4000
2022-10-27,39.7,39.7,39.7,39.7,0
2022-10-25,42.1,42.1,39.6,40.5,8000
2022-10-24,43.95,43.95,43.95,43.95,2000
2022-10-19,43.05,43.95,43.0,43.95,14000
