Date,Open,High,Low,Close,Volume
2024-06-28,4.49,4.8,4.36,4.78,7639079
2024-06-27,4.82,4.82,4.58,4.58,4648986
2024-06-26,5.04,5.04,4.81,4.82,9096141
2024-06-25,5.09,5.16,4.98,5.06,13494962
2024-06-24,4.75,4.92,4.6,4.92,8001385
2024-06-21,4.69,4.69,4.56,4.69,8123247
2024-06-20,4.32,4.47,4.28,4.47,6289431
2024-06-19,4.28,4.29,4.15,4.26,3932929
2024-06-18,4.29,4.3,4.16,4.22,6382330
2024-06-14,4.11,4.25,4.05,4.21,6323129
2024-06-13,4.18,4.19,4.03,4.05,3824848
2024-06-12,4.13,4.18,4.0,4.15,3706540
2024-06-11,4.12,4.16,4.0,4.08,4818515
2024-06-10,4.2,4.2,4.02,4.06,3600813
2024-06-07,4.23,4.24,4.08,4.13,3331795
2024-06-06,4.22,4.4,4.08,4.18,4370641
2024-06-05,3.99,4.39,3.99,4.22,5402807
2024-06-04,4.34,4.53,4.2,4.2,9669105
2024-06-03,4.42,4.42,4.42,4.42,3665702
2024-05-31,4.21,4.21,4.21,4.21,3892230
2024-05-30,4.18,4.18,3.94,4.01,3316275
2024-05-29,4.09,4.25,3.96,4.12,6600353
2024-05-28,4.13,4.13,4.0,4.13,9310054
2024-05-27,3.94,3.94,3.87,3.94,4524785
2024-05-24,3.66,3.76,3.66,3.76,2217529
2024-05-23,3.65,3.66,3.55,3.59,2026850
2024-05-22,3.69,3.69,3.61,3.65,1960307
2024-05-21,3.8,3.8,3.65,3.68,2790906
2024-05-18,3.74,3.82,3.7,3.77,725103
2024-05-17,3.7,3.81,3.65,3.74,2247620
2024-05-16,3.9,3.9,3.7,3.71,1862496
2024-05-15,3.93,3.93,3.8,3.82,2940317
2024-05-14,3.59,3.8,3.51,3.8,3684176
2024-05-13,3.62,3.62,3.58,3.62,2939505
2024-05-10,3.24,3.45,3.2,3.45,1516453
2024-05-09,3.42,3.46,3.27,3.29,2361042
2024-05-08,3.4,3.44,3.28,3.41,3648149
2024-05-07,3.53,3.54,3.4,3.45,2484858
2024-05-06,3.62,3.65,3.45,3.53,3197799
2024-05-03,3.65,3.68,3.6,3.62,2598097
2024-05-02,3.66,3.72,3.6,3.62,4883235
2024-04-30,3.75,3.8,3.69,3.71,2991807
2024-04-29,3.8,3.83,3.75,3.77,2896748
2024-04-26,3.84,3.89,3.8,3.83,2643480
2024-04-25,3.8,3.87,3.8,3.84,2125893
2024-04-24,3.88,3.9,3.8,3.85,3361591
2024-04-23,3.91,3.95,3.85,3.88,2705917
2024-04-22,3.9,3.95,3.85,3.91,2252759
2024-04-19,3.8,3.92,3.79,3.88,2171242
2024-04-18,3.88,3.97,3.88,3.93,2672333
2024-04-16,3.81,3.96,3.76,3.81,3527474
2024-04-15,3.77,3.95,3.76,3.81,4158226
2024-04-12,4.07,4.09,3.9,3.95,3596603
2024-04-10,4.04,4.12,4.0,4.04,1999226
2024-04-09,4.02,4.15,4.0,4.04,3442640
2024-04-08,4.15,4.15,3.96,4.03,5720846
2024-04-05,4.27,4.27,4.08,4.16,3259223
2024-04-04,4.49,4.49,4.16,4.28,7645652
2024-04-03,4.42,4.42,4.21,4.37,5996556
2024-04-02,4.02,4.22,4.0,4.21,9378733
2024-04-01,3.64,4.02,3.64,4.02,8323641
2024-03-28,3.81,4.01,3.81,3.83,16084772
2024-03-27,4.01,4.19,4.01,4.01,6650736
2024-03-26,4.5,4.5,4.08,4.22,16929170
2024-03-22,4.29,4.29,4.29,4.29,0
2024-03-21,4.09,4.09,4.08,4.09,7461394
2024-03-20,3.54,3.9,3.54,3.9,12225940
2024-03-19,3.72,3.72,3.72,3.72,1732188
2024-03-18,3.91,3.91,3.91,3.91,2720350
2024-03-15,4.11,4.11,4.11,4.11,456016
2024-03-14,4.19,4.19,4.19,4.19,685885
2024-03-13,4.27,4.27,4.27,4.27,317404
2024-03-12,4.35,4.35,4.35,4.35,327277
