Date,Open,High,Low,Close,Volume
2024-06-28,704.05,721.8,700.65,706.75,32370
2024-06-27,721.15,726.05,696.85,699.05,52139
2024-06-26,731.0,739.3,716.5,718.5,14091
2024-06-25,739.95,750.0,726.55,729.2,13234
2024-06-24,752.0,752.0,730.0,733.65,30224
2024-06-21,777.0,780.6,748.9,751.45,41908
2024-06-20,768.0,789.3,768.0,773.15,38468
2024-06-19,788.05,795.0,769.25,773.2,51654
2024-06-18,780.7,794.6,759.5,766.75,39350
2024-06-14,784.7,794.8,779.85,780.7,41484
2024-06-13,777.5,795.7,774.85,777.65,29909
2024-06-12,770.05,780.05,768.0,777.0,17183
2024-06-11,775.0,783.35,762.1,768.3,21007
2024-06-10,799.0,801.05,760.85,768.5,41393
2024-06-07,776.3,803.5,770.1,779.65,21172
2024-06-06,749.0,783.4,749.0,776.3,11594
2024-06-05,755.2,755.2,715.0,744.75,14310
2024-06-04,797.3,797.3,679.45,720.7,11769
2024-06-03,783.05,803.6,767.1,781.65,26729
2024-05-31,767.0,774.45,750.25,756.95,23159
2024-05-30,783.5,787.95,761.25,764.55,8917
2024-05-29,770.55,793.4,767.25,786.1,16635
2024-05-28,771.0,784.0,766.05,770.55,114678
2024-05-27,789.9,789.9,768.05,770.9,15207
2024-05-24,793.05,799.9,773.0,775.15,18046
2024-05-23,800.0,802.7,787.0,792.75,3870
2024-05-22,802.4,802.4,782.2,792.5,4787
2024-05-21,820.0,820.0,798.0,799.6,10921
2024-05-18,800.75,819.95,798.35,807.55,4205
2024-05-17,813.3,813.3,796.0,800.0,9233
2024-05-16,782.0,796.85,775.0,793.5,8649
2024-05-15,787.0,808.15,775.0,782.0,8799
2024-05-14,783.05,803.0,780.0,787.4,2591
2024-05-13,781.6,795.25,769.95,781.9,11365
2024-05-10,798.95,798.95,771.0,780.6,9445
2024-05-09,803.0,807.85,780.8,785.65,11260
2024-05-08,815.3,823.2,797.3,800.7,12947
2024-05-07,843.4,848.0,810.5,817.3,16853
2024-05-06,860.05,863.25,839.0,841.8,6811
2024-05-03,883.5,883.5,855.1,859.3,14803
2024-05-02,881.15,889.95,869.0,870.95,12130
2024-04-30,916.05,935.15,865.0,870.9,28827
2024-04-29,889.45,913.2,870.0,877.35,20342
2024-04-26,901.95,901.95,873.9,880.4,7732
