Date,Open,High,Low,Close,No. of Shares
2015-01-01 00:00:00+05:30,535.5377944187576,535.5377944187576,504.2536926269531,504.2536926269531,29214
2015-01-02 00:00:00+05:30,479.0552673339844,479.0552673339844,479.0552673339844,479.0552673339844,5655
2015-01-05 00:00:00+05:30,455.14056396484375,455.14056396484375,455.14056396484375,455.14056396484375,5407
2015-01-06 00:00:00+05:30,432.4144287109375,432.4144287109375,432.4144287109375,432.4144287109375,8498
2015-01-07 00:00:00+05:30,415.5361920122886,453.99945068359375,413.82461289750864,453.99945068359375,43155
2015-01-08 00:00:00+05:30,476.6780090332031,476.6780090332031,476.6780090332031,476.6780090332031,2312
2015-01-09 00:00:00+05:30,500.4977111816406,500.4977111816406,481.7177834142734,500.4977111816406,43617
2015-01-12 00:00:00+05:30,522.0352269998507,522.0352269998507,475.48945152782335,479.1503601074219,508030
2015-01-13 00:00:00+05:30,482.09811974977504,503.06509737402695,465.9330940382441,469.1185607910156,94566
2015-01-14 00:00:00+05:30,451.76490797757793,470.5923959765968,445.67925734285166,445.7743225097656,45866
2015-01-15 00:00:00+05:30,444.06271561090625,452.6682020254485,423.52362060546875,423.52362060546875,58230
2015-01-16 00:00:00+05:30,402.3664519786117,432.652105142307,402.3664519786117,419.57745361328125,83825
2015-01-19 00:00:00+05:30,421.2415049085678,440.54443359375,420.29062115030916,440.54443359375,45261
2015-01-20 00:00:00+05:30,462.1295399682088,462.5098876953125,451.6698178701629,462.5098876953125,17730
2015-01-21 00:00:00+05:30,464.03130697894835,484.9507511460321,451.6698172438534,469.35626220703125,57470
2015-01-22 00:00:00+05:30,468.7857030037847,492.74798583984375,464.031284109223,492.74798583984375,36825
2015-01-23 00:00:00+05:30,517.3758759047894,517.3758759047894,477.819131239961,492.5578308105469,42963
2015-01-27 00:00:00+05:30,491.60691932172944,508.6277623739171,478.29454626466134,492.36761474609375,17394
2015-01-28 00:00:00+05:30,494.45955354023755,494.45955354023755,467.8348083496094,467.8348083496094,6694
2015-01-29 00:00:00+05:30,467.8348642506416,467.8348642506416,444.443115234375,444.443115234375,14235
2015-01-30 00:00:00+05:30,430.3700184938515,437.5016470735595,422.2875061035156,422.2875061035156,20598
2015-02-02 00:00:00+05:30,421.24148528133827,443.3970642089844,421.24148528133827,443.3970642089844,5838
2015-02-03 00:00:00+05:30,465.5526860750306,465.5526860750306,438.1672168831647,464.7919616699219,35689
2015-02-04 00:00:00+05:30,464.98219531067764,464.98219531067764,441.59044716616074,447.1055908203125,21652
2015-02-05 00:00:00+05:30,451.57466431244154,451.66975848638276,424.75976132508214,424.9499206542969,16056
2015-02-06 00:00:00+05:30,424.0941890248081,431.7012596799616,389.8623710766173,406.5028381347656,10746
2015-02-09 00:00:00+05:30,388.91145027457895,388.91145027457895,365.9000521227475,366.0902404785156,44995
2015-02-10 00:00:00+05:30,347.07260468921675,397.46944865778795,342.3181854468987,377.3106994628906,21598
2015-02-11 00:00:00+05:30,378.45178272876825,397.56455444418185,367.23136459704284,375.0285949707031,7721
2015-02-12 00:00:00+05:30,378.83210657832,385.1079455691064,362.286733979826,378.0714111328125,6834
2015-02-13 00:00:00+05:30,388.721249992981,388.721249992981,351.82697356204943,373.5071105957031,7219
2015-02-16 00:00:00+05:30,377.50086650141964,410.78179931640625,365.9951667816473,410.78179931640625,19974
2015-02-18 00:00:00+05:30,426.66156509857746,451.8599853515625,426.66156509857746,451.8599853515625,35759
2015-02-19 00:00:00+05:30,465.45764294484474,472.9696195298014,428.8486148480592,460.3228759765625,20343
2015-02-20 00:00:00+05:30,460.3228572703337,460.3228572703337,414.30008676548823,418.95941162109375,27232
2015-02-23 00:00:00+05:30,431.6061934767758,439.78380076500576,387.96062856675104,401.6533508300781,5979
2015-02-24 00:00:00+05:30,401.65332330011216,415.3460446249181,390.33781154623335,393.0002746582031,4667
2015-02-25 00:00:00+05:30,393.0002622066666,413.5393580524654,386.0588220869556,398.8006591796875,5506
2015-02-26 00:00:00+05:30,391.76412845089766,396.89889520452965,371.7955685055849,379.9731750488281,3730
2015-02-27 00:00:00+05:30,385.0128131214807,387.00967474083046,369.8937677498355,381.8749084472656,6325
2015-03-02 00:00:00+05:30,379.4026548388027,388.91149330594055,361.3358617512406,365.5197448730469,9485
2015-03-03 00:00:00+05:30,366.0902876611737,366.0902876611737,342.31819105979883,358.38812255859375,16114
2015-03-04 00:00:00+05:30,361.3357813939972,394.14126681003114,342.8886446739315,354.6795959472656,28271
2015-03-05 00:00:00+05:30,361.14564069530803,361.33582905491,328.0548974314314,333.3798522949219,15899
2015-03-09 00:00:00+05:30,342.3181411978378,356.58139708108104,267.1983268794234,305.0434875488281,78005
2015-03-10 00:00:00+05:30,299.9087456910285,327.86472369815687,290.01955994262084,305.42388916015625,39205
2015-03-11 00:00:00+05:30,304.28281125635715,360.2898603994964,304.28281125635715,344.79046630859375,35300
2015-03-12 00:00:00+05:30,354.6796563256451,359.0537275961298,328.0549100062937,332.619140625,7185
2015-03-13 00:00:00+05:30,346.7873386866538,346.7873386866538,313.79165872259716,328.91070556640625,8782
2015-03-16 00:00:00+05:30,325.2022232019129,336.612827524787,313.7916188790387,314.1719665527344,10192
2015-03-17 00:00:00+05:30,313.7916601408809,325.7728020590851,304.09263358360334,320.3527526855469,12455
2015-03-18 00:00:00+05:30,314.83761177041896,323.30047124334936,304.18770228669996,308.2765197753906,5669
2015-03-19 00:00:00+05:30,313.88676476106224,318.2608362758046,280.5107358146371,297.81683349609375,7592
2015-03-20 00:00:00+05:30,283.3633614574549,297.62661790665567,282.41247769417487,284.02899169921875,14397
2015-03-23 00:00:00+05:30,289.0686664214436,293.63289691536687,262.6341091916874,278.79913330078125,27619
2015-03-24 00:00:00+05:30,290.0195434933077,332.71421802678543,276.2317291305111,319.9723815917969,48163
2015-03-25 00:00:00+05:30,321.39873098877507,337.56375592016315,313.7916604328277,316.9295654296875,76237
2015-03-26 00:00:00+05:30,313.7916897376157,322.2545507177136,291.9213598468122,295.05926513671875,25130
2015-03-27 00:00:00+05:30,294.77400356974744,323.30052004423914,293.82311968726435,319.21173095703125,37008
