Date,Open,High,Low,Close,No. of Shares
2015-01-01 00:00:00+05:30,119.96481397298876,120.20716713253016,118.02598869665763,118.70457458496094,16001
2015-01-02 00:00:00+05:30,119.62551982232355,120.15869233031829,114.778456680382,116.03868865966797,22591
2015-01-05 00:00:00+05:30,117.29892276161596,118.41374871334992,114.97233107887355,115.11774444580078,13510
2015-01-06 00:00:00+05:30,115.31161771817003,115.60244443617015,110.51302864338278,111.43396759033203,15273
2015-01-07 00:00:00+05:30,115.36009395247402,115.36009395247402,108.96197257381188,109.34973907470703,16463
2015-01-08 00:00:00+05:30,110.513030219999,114.39068040315686,110.513030219999,112.93656158447266,6567
2015-01-09 00:00:00+05:30,113.27585365723347,114.24526619584228,108.57420432418688,112.50032806396484,19466
2015-01-12 00:00:00+05:30,112.54880520026667,115.16622374671049,111.48245278328501,113.71210479736328,11537
2015-01-13 00:00:00+05:30,113.42127076475572,115.79632860440873,112.45185819411678,113.08197784423828,12327
2015-01-14 00:00:00+05:30,112.69420442736683,120.98268435656601,112.69420442736683,119.33467864990234,103944
2015-01-15 00:00:00+05:30,120.11021381996207,127.42927397615084,118.31680212055319,125.39351654052734,140552
2015-01-16 00:00:00+05:30,126.99303678448416,134.65138957451043,126.99303678448416,130.09515380859375,71178
2015-01-19 00:00:00+05:30,130.87069097009058,131.20999127091162,127.04151445197056,128.88339233398438,23151
2015-01-20 00:00:00+05:30,127.96246501636523,129.56198991224474,125.87823381360552,126.60529327392578,10145
2015-01-21 00:00:00+05:30,125.92669926620498,128.3017721290968,124.0848211195372,125.0057601928711,10806
2015-01-22 00:00:00+05:30,125.05421532161627,127.96245288723524,124.08480279974327,125.49044799804688,12526
2015-01-23 00:00:00+05:30,126.02364813508993,130.67683194772135,126.02364813508993,128.73800659179688,26142
2015-01-27 00:00:00+05:30,129.9013113373511,135.71778796439668,127.96248579500258,135.28155517578125,102609
2015-01-28 00:00:00+05:30,133.87590051536034,135.28154597959687,131.01612120114666,131.54930114746094,32762
2015-01-29 00:00:00+05:30,130.7737459690066,131.84010568178684,128.2048086501199,129.75587463378906,5984
2015-01-30 00:00:00+05:30,131.06457780909147,132.03399038873278,124.66646365869612,128.9803466796875,22898
