Date,Open,High,Low,Close,No. of Shares
2015-01-01 00:00:00+05:30,51.099998474121094,51.099998474121094,51.099998474121094,51.099998474121094,25
2015-01-02 00:00:00+05:30,49.5,51.0,49.0,50.150001525878906,2985
2015-01-05 00:00:00+05:30,50.150001525878906,52.900001525878906,50.04999923706055,50.099998474121094,108
2015-01-06 00:00:00+05:30,50.0,50.099998474121094,48.150001525878906,48.150001525878906,3760
2015-01-07 00:00:00+05:30,51.0,51.0,47.150001525878906,48.349998474121094,1911
2015-01-08 00:00:00+05:30,50.95000076293945,50.95000076293945,49.0,50.95000076293945,154
2015-01-09 00:00:00+05:30,50.0,51.900001525878906,49.0,49.75,2513
2015-01-12 00:00:00+05:30,50.650001525878906,50.70000076293945,50.650001525878906,50.70000076293945,160
2015-01-13 00:00:00+05:30,49.849998474121094,49.900001525878906,49.849998474121094,49.900001525878906,483
2015-01-14 00:00:00+05:30,49.25,49.79999923706055,49.25,49.79999923706055,444
2015-01-15 00:00:00+05:30,56.900001525878906,56.900001525878906,51.0,55.20000076293945,5608
2015-01-16 00:00:00+05:30,53.0,55.95000076293945,53.0,55.20000076293945,1980
2015-01-19 00:00:00+05:30,58.29999923706055,58.29999923706055,53.25,56.0,951
2015-01-20 00:00:00+05:30,56.099998474121094,56.95000076293945,55.099998474121094,56.900001525878906,2210
2015-01-21 00:00:00+05:30,55.400001525878906,59.650001525878906,55.400001525878906,55.54999923706055,457
2015-01-22 00:00:00+05:30,56.45000076293945,56.45000076293945,55.400001525878906,55.599998474121094,1000
2015-01-23 00:00:00+05:30,62.0,62.0,54.0,54.95000076293945,2526
2015-01-27 00:00:00+05:30,55.900001525878906,56.0,54.25,55.95000076293945,2310
2015-01-28 00:00:00+05:30,52.70000076293945,57.900001525878906,52.099998474121094,52.54999923706055,445
2015-01-29 00:00:00+05:30,53.650001525878906,53.650001525878906,53.650001525878906,53.650001525878906,250
2015-01-30 00:00:00+05:30,54.0,55.0,53.0,53.0,375
2015-02-02 00:00:00+05:30,52.54999923706055,53.95000076293945,52.349998474121094,53.5,1826
2015-02-03 00:00:00+05:30,55.900001525878906,56.0,53.0,53.650001525878906,652
2015-02-04 00:00:00+05:30,52.099998474121094,53.0,51.75,51.95000076293945,871
2015-02-05 00:00:00+05:30,52.20000076293945,55.25,50.0,52.45000076293945,11586
2015-02-06 00:00:00+05:30,53.5,53.5,46.04999923706055,48.150001525878906,29442
2015-02-09 00:00:00+05:30,50.0,50.70000076293945,47.5,47.5,1025
2015-02-10 00:00:00+05:30,49.5,51.0,47.29999923706055,47.29999923706055,1853
2015-02-11 00:00:00+05:30,48.5,49.0,47.0,48.5,13168
2015-02-12 00:00:00+05:30,47.54999923706055,48.900001525878906,47.54999923706055,48.79999923706055,602
2015-02-13 00:00:00+05:30,52.0,52.0,47.349998474121094,47.5,301
2015-02-16 00:00:00+05:30,48.650001525878906,49.29999923706055,48.0,48.5,1190
2015-02-18 00:00:00+05:30,50.0,50.0,49.0,49.0,130
2015-02-19 00:00:00+05:30,49.95000076293945,50.0,49.04999923706055,49.45000076293945,1067
2015-02-20 00:00:00+05:30,49.54999923706055,50.849998474121094,49.54999923706055,49.650001525878906,551
2015-02-23 00:00:00+05:30,51.20000076293945,55.0,48.349998474121094,48.599998474121094,2370
2015-02-24 00:00:00+05:30,48.0,49.95000076293945,47.5,48.150001525878906,708
2015-02-25 00:00:00+05:30,49.20000076293945,49.20000076293945,48.599998474121094,48.599998474121094,392
2015-02-26 00:00:00+05:30,47.04999923706055,49.0,47.0,47.0,1751
2015-02-27 00:00:00+05:30,46.25,48.849998474121094,46.25,47.5,6579
2015-03-02 00:00:00+05:30,47.0,47.5,46.099998474121094,47.0,636
2015-03-03 00:00:00+05:30,47.45000076293945,50.95000076293945,47.45000076293945,49.599998474121094,10126
2015-03-04 00:00:00+05:30,50.0,50.20000076293945,48.20000076293945,49.150001525878906,4488
2015-03-05 00:00:00+05:30,48.099998474121094,50.150001525878906,48.099998474121094,49.0,3084
2015-03-09 00:00:00+05:30,48.599998474121094,50.20000076293945,47.29999923706055,47.95000076293945,3616
2015-03-10 00:00:00+05:30,47.0,50.0,43.400001525878906,44.650001525878906,5371
2015-03-11 00:00:00+05:30,45.099998474121094,45.650001525878906,41.79999923706055,43.04999923706055,24426
2015-03-12 00:00:00+05:30,44.0,46.599998474121094,43.95000076293945,45.400001525878906,2067
2015-03-13 00:00:00+05:30,45.400001525878906,46.95000076293945,44.0,44.54999923706055,22128
2015-03-16 00:00:00+05:30,43.0,44.349998474121094,39.70000076293945,42.04999923706055,5882
2015-03-17 00:00:00+05:30,43.45000076293945,44.79999923706055,42.29999923706055,42.5,8011
2015-03-18 00:00:00+05:30,43.0,43.0,42.20000076293945,42.20000076293945,1285
2015-03-19 00:00:00+05:30,43.0,43.0,38.099998474121094,39.75,3750
2015-03-20 00:00:00+05:30,41.0,41.0,38.0,38.150001525878906,9072
2015-03-23 00:00:00+05:30,40.5,40.5,38.5,39.0,3160
2015-03-24 00:00:00+05:30,38.75,40.79999923706055,38.54999923706055,40.79999923706055,342
2015-03-25 00:00:00+05:30,40.150001525878906,41.0,37.75,38.20000076293945,12224
2015-03-26 00:00:00+05:30,40.70000076293945,40.70000076293945,37.20000076293945,38.099998474121094,11474
2015-03-27 00:00:00+05:30,37.5,39.0,37.400001525878906,37.54999923706055,6290
2015-03-30 00:00:00+05:30,36.75,39.0,36.5,39.0,4957
2015-03-31 00:00:00+05:30,37.04999923706055,40.349998474121094,37.04999923706055,40.349998474121094,700
2015-04-01 00:00:00+05:30,40.70000076293945,43.849998474121094,39.95000076293945,43.849998474121094,2103
2015-04-06 00:00:00+05:30,42.599998474121094,45.849998474121094,41.79999923706055,44.70000076293945,1921
2015-04-07 00:00:00+05:30,45.900001525878906,45.900001525878906,42.099998474121094,42.650001525878906,412
2015-04-08 00:00:00+05:30,42.5,45.0,42.5,44.900001525878906,328
2015-04-09 00:00:00+05:30,42.79999923706055,43.0,42.04999923706055,42.849998474121094,400
2015-04-10 00:00:00+05:30,46.0,48.75,46.0,47.20000076293945,9130
2015-04-13 00:00:00+05:30,47.0,49.54999923706055,43.95000076293945,48.400001525878906,1912
2015-04-15 00:00:00+05:30,47.0,48.20000076293945,46.54999923706055,47.650001525878906,4904
2015-04-16 00:00:00+05:30,39.54999923706055,49.0,39.54999923706055,48.45000076293945,2130
2015-04-17 00:00:00+05:30,46.54999923706055,46.70000076293945,45.150001525878906,45.20000076293945,1707
2015-04-20 00:00:00+05:30,46.0,46.0,44.599998474121094,44.79999923706055,932
2015-04-21 00:00:00+05:30,49.79999923706055,49.849998474121094,44.0,44.25,2907
2015-04-22 00:00:00+05:30,45.20000076293945,45.20000076293945,44.95000076293945,45.0,775
2015-04-23 00:00:00+05:30,45.0,46.0,43.54999923706055,45.25,5610
2015-04-24 00:00:00+05:30,44.0,44.0,41.900001525878906,42.79999923706055,3193
2015-04-27 00:00:00+05:30,42.0,42.099998474121094,39.29999923706055,41.900001525878906,437
2015-04-29 00:00:00+05:30,37.5,42.849998474121094,37.5,40.400001525878906,4612
2015-04-30 00:00:00+05:30,40.0,40.5,39.0,40.0,4956
2015-05-04 00:00:00+05:30,40.29999923706055,40.29999923706055,40.29999923706055,40.29999923706055,100
2015-05-05 00:00:00+05:30,42.5,42.5,40.54999923706055,41.95000076293945,700
2015-05-06 00:00:00+05:30,41.5,43.5,41.0,41.0,2187
2015-05-07 00:00:00+05:30,41.5,41.5,39.349998474121094,40.95000076293945,988
2015-05-13 00:00:00+05:30,41.04999923706055,41.849998474121094,41.0,41.0,262
2015-05-14 00:00:00+05:30,40.04999923706055,41.0,40.04999923706055,41.0,75
2015-05-15 00:00:00+05:30,41.0,41.5,41.0,41.5,719
2015-05-18 00:00:00+05:30,40.04999923706055,41.900001525878906,40.04999923706055,41.099998474121094,625
2015-05-19 00:00:00+05:30,43.45000076293945,44.0,43.45000076293945,43.79999923706055,2750
2015-05-20 00:00:00+05:30,41.79999923706055,43.400001525878906,41.79999923706055,43.400001525878906,600
2015-05-21 00:00:00+05:30,40.25,43.400001525878906,40.0,41.29999923706055,2253
2015-05-26 00:00:00+05:30,40.5,40.5,39.5,39.95000076293945,1800
2015-05-27 00:00:00+05:30,39.04999923706055,39.70000076293945,38.29999923706055,38.5,1255
2015-05-28 00:00:00+05:30,39.0,39.0,38.20000076293945,38.20000076293945,575
2015-05-29 00:00:00+05:30,39.0,39.0,36.04999923706055,36.95000076293945,8304
2015-06-01 00:00:00+05:30,36.75,38.95000076293945,36.75,38.95000076293945,10904
2015-06-03 00:00:00+05:30,36.20000076293945,38.29999923706055,36.20000076293945,37.79999923706055,1789
2015-06-04 00:00:00+05:30,37.79999923706055,38.5,37.5,38.400001525878906,1049
2015-06-05 00:00:00+05:30,37.0,39.0,37.0,38.599998474121094,805
