Date,Open,High,Low,Close,No. of Shares
2015-01-01 00:00:00+05:30,17.708588369747062,17.951171772072364,16.932322222611887,17.805622100830078,2800
2015-01-02 00:00:00+05:30,18.436337359539873,18.67892074584961,18.436337359539873,18.67892074584961,11116
2015-01-05 00:00:00+05:30,19.552218702213054,19.600736485307706,18.436335601734587,18.8244686126709,24776
2015-01-06 00:00:00+05:30,18.533370683731135,18.92150372328672,17.902654263107777,18.24226951599121,78836
2015-01-07 00:00:00+05:30,17.36896889654715,18.33930237513374,17.36896889654715,17.999685287475586,20528
2015-01-08 00:00:00+05:30,18.04820431159717,18.872988195203142,18.04820431159717,18.67892074584961,18164
2015-01-09 00:00:00+05:30,18.67891909140713,19.600736618041992,18.193752361760193,19.600736618041992,28863
2015-01-12 00:00:00+05:30,19.79480185309584,20.571069717407227,19.406668846322226,20.571069717407227,52518
2015-01-13 00:00:00+05:30,21.589920043945312,21.589920043945312,21.49288632528035,21.589920043945312,37646
2015-01-14 00:00:00+05:30,22.657283782958984,22.657283782958984,22.657283782958984,22.657283782958984,57750
2015-01-15 00:00:00+05:30,23.773170471191406,23.773170471191406,23.773170471191406,23.773170471191406,34416
2015-01-16 00:00:00+05:30,24.937570571899414,24.937570571899414,22.60876879573067,24.937570571899414,200015
2015-01-19 00:00:00+05:30,26.150487338593955,26.150487338593955,24.258336362048496,25.568286895751953,66473
2015-01-20 00:00:00+05:30,25.228669864515048,25.228669864515048,24.306852340698242,24.306852340698242,7330
2015-01-21 00:00:00+05:30,23.093933986018783,23.96723551930617,23.093933986018783,23.336517333984375,60255
2015-01-22 00:00:00+05:30,22.802835823285697,24.500919342041016,22.802835823285697,24.500919342041016,17052
2015-01-23 00:00:00+05:30,23.385034569139584,25.71383428519293,23.288000862061523,24.646467208862305,29217
2015-01-27 00:00:00+05:30,24.743506307084715,24.743506307084715,23.433555603027344,23.433555603027344,5459
2015-01-28 00:00:00+05:30,22.414703243475806,22.414703243475806,22.269153594970703,22.269153594970703,10269
2015-01-29 00:00:00+05:30,21.250302353906598,22.80283625641081,21.201786421326297,22.269153594970703,45357
2015-01-30 00:00:00+05:30,21.201786041259766,21.735468693132994,21.201786041259766,21.201786041259766,19073
2015-02-02 00:00:00+05:30,20.231453311383042,21.395852370203944,20.18293552720453,20.668102264404297,16860
2015-02-03 00:00:00+05:30,20.571071322700753,21.686954498291016,20.42551981438368,21.686954498291016,19517
2015-02-04 00:00:00+05:30,22.754320893360013,22.754320893360013,21.783987411353433,22.22063636779785,40761
2015-02-05 00:00:00+05:30,22.02656983568907,22.754319915933014,21.15326825878501,21.201786041259766,24530
2015-02-06 00:00:00+05:30,21.541401897684775,21.541401897684775,19.261118071683267,19.406667709350586,29548
2015-02-09 00:00:00+05:30,17.90265508386442,20.085905613566695,17.85413729496795,18.484853744506836,8385
2015-02-10 00:00:00+05:30,18.339301718508974,19.4066688768908,17.854134996586705,19.309635162353516,14583
2015-02-11 00:00:00+05:30,17.95116801988883,20.23145189527077,17.95116801988883,19.212600708007812,5372
2015-02-12 00:00:00+05:30,20.18293834527475,21.10475601497004,19.64925560014452,20.279972076416016,12319
2015-02-13 00:00:00+05:30,19.649253728510658,21.29882144849382,19.503704071044922,19.503704071044922,16473
2015-02-16 00:00:00+05:30,19.309636138042265,20.959203816233984,18.58188601838667,19.697769165039062,16099
2015-02-18 00:00:00+05:30,18.92150088054378,21.63843360000855,18.678917535921425,19.891834259033203,28378
2015-02-19 00:00:00+05:30,20.716618149884564,20.716618149884564,19.406667709350586,19.406667709350586,3530
2015-02-20 00:00:00+05:30,20.182934418297513,20.3770018428205,19.406668421733812,20.134418487548828,7280
2015-02-23 00:00:00+05:30,20.27996945332524,21.298820722379578,18.4363362031619,18.77595329284668,16526
2015-02-24 00:00:00+05:30,18.775951532517357,18.92150117137512,18.29078483581543,18.29078483581543,10349
2015-02-25 00:00:00+05:30,18.436336321708485,19.21260237389577,18.242268883279532,18.9215030670166,4697
2015-02-26 00:00:00+05:30,18.921501016616823,20.571068512217245,18.339300615183493,19.406667709350586,14521
2015-02-27 00:00:00+05:30,19.988867484930672,20.571067868135255,19.01853412984437,19.455183029174805,17929
