Date,Open,High,Low,Close,No. of Shares
2015-01-01 00:00:00+05:30,180.57900899600926,180.57900899600926,175.6035768699307,177.65228271484375,2953
2015-01-02 00:00:00+05:30,178.9065794756177,179.366496120136,174.76735519397866,175.72898864746094,7180
2015-01-05 00:00:00+05:30,175.60352100005431,183.54748980719964,169.87549628267715,180.41171264648438,36344
2015-01-06 00:00:00+05:30,179.78460135580022,181.45701625213323,174.76735666680113,178.07037353515625,8986
2015-01-07 00:00:00+05:30,178.1121837439939,183.9656357919186,175.68718728508742,178.4048614501953,6893
2015-01-08 00:00:00+05:30,178.94840002004938,184.8018523571538,178.94840002004938,181.2479705810547,8581
2015-01-09 00:00:00+05:30,181.45702634179273,182.29323383645539,175.60357387915425,178.57211303710938,9741
2015-01-12 00:00:00+05:30,180.62080793020868,198.0975384085394,180.62080793020868,194.25099182128906,8803
2015-01-13 00:00:00+05:30,195.67253925250998,229.95704399333437,194.83633181980696,226.90489196777344,54817
2015-01-14 00:00:00+05:30,227.4484434740958,234.13810357627509,219.21179436948194,226.69586181640625,21593
2015-01-15 00:00:00+05:30,226.02685997396534,234.05445647156674,219.4626520098838,227.19757080078125,13385
2015-01-16 00:00:00+05:30,249.18983919530643,263.405366934636,235.8941448252685,242.9600830078125,101990
2015-01-19 00:00:00+05:30,250.8621953366898,261.56563879677975,246.681158747745,259.5587463378906,25415
2015-01-20 00:00:00+05:30,262.5691811140798,262.5691811140798,242.50019911809918,245.4269256591797,12727
2015-01-21 00:00:00+05:30,259.9768485124001,259.9768485124001,237.4828768961148,238.23545837402344,19222
2015-01-22 00:00:00+05:30,242.41650418117078,246.68116674393838,239.15530063988604,241.41307067871094,11374
2015-01-23 00:00:00+05:30,247.85184953842773,247.85184953842773,239.32255001397507,240.8277130126953,3743
2015-01-27 00:00:00+05:30,252.36740163900404,253.37086080027913,238.31912649531205,245.76136779785156,5637
2015-01-28 00:00:00+05:30,242.91824781946107,248.01911802377788,235.05790342411646,238.15185546875,5368
2015-01-29 00:00:00+05:30,238.31914569195158,242.41655747898994,229.9570704045147,232.8001708984375,9775
2015-01-30 00:00:00+05:30,234.13808210452018,234.13808210452018,230.96050405499773,233.6363525390625,7108
2015-02-02 00:00:00+05:30,232.4656495744542,234.13806431959415,225.77599059389436,233.38548278808594,7409
2015-02-03 00:00:00+05:30,234.05444819893475,234.05444819893475,220.75875552669984,228.2846221923828,17629
2015-02-04 00:00:00+05:30,225.94327827357432,233.71999786986197,225.94327827357432,230.3751678466797,5625
2015-02-05 00:00:00+05:30,231.54583667422068,232.88377369151397,223.3510139117168,227.44842529296875,4648
2015-02-06 00:00:00+05:30,233.21825877033717,233.21825877033717,217.33031680687822,217.99929809570312,11837
2015-02-09 00:00:00+05:30,219.08634124923242,224.1035857053217,217.41392643053598,220.50790405273438,6715
2015-02-10 00:00:00+05:30,220.75876550487004,222.43118039505848,220.34066178232294,222.18032836914062,6326
2015-02-11 00:00:00+05:30,222.43112740325932,235.81044333728997,222.43112740325932,232.38198852539062,6756
2015-02-12 00:00:00+05:30,234.13807553470932,237.31565349507034,229.9570384715895,231.04409790039062,4522
2015-02-13 00:00:00+05:30,238.31909020560852,238.31909020560852,218.41736586271415,227.28114318847656,7099
2015-02-16 00:00:00+05:30,221.5949673507761,221.5949673507761,207.79754485535042,211.4768524169922,34539
2015-02-18 00:00:00+05:30,211.56047318180333,215.74151020120658,210.7242657779227,211.3932342529297,9738
2015-02-19 00:00:00+05:30,213.23287983988774,217.41391669949337,212.3966724679666,212.6475372314453,9009
2015-02-20 00:00:00+05:30,215.7415145556114,215.7415145556114,210.3061663206832,213.40013122558594,4599
2015-02-23 00:00:00+05:30,217.41396499173578,217.41396499173578,209.05188941513055,210.1389617919922,4115
2015-02-24 00:00:00+05:30,210.72427954101565,217.16308717904613,209.05186462402344,209.05186462402344,3535
2015-02-25 00:00:00+05:30,209.05184818701585,213.23288515075618,207.37943340151972,212.14581298828125,4304
2015-02-26 00:00:00+05:30,210.80789823898337,211.56047982229313,204.870820381272,207.79754638671875,3788
2015-02-27 00:00:00+05:30,213.23290338820075,214.0691108524682,204.8708287455262,205.95790100097656,6935
2015-03-02 00:00:00+05:30,208.96821713928523,213.985461370812,203.1983913768342,212.6475372314453,7457
2015-03-03 00:00:00+05:30,213.2328983832984,219.0863504957811,211.14237977169742,216.74497985839844,8992
2015-03-04 00:00:00+05:30,222.01307729827658,224.85617751580523,213.23289910003967,215.2397918701172,3824
2015-03-05 00:00:00+05:30,214.06909516765285,216.5777173766488,210.557026626961,211.97857666015625,2221
2015-03-09 00:00:00+05:30,213.2328909285765,219.83892440648032,209.0518538515456,216.66134643554688,4452
2015-03-10 00:00:00+05:30,217.41392841155542,232.46566191697082,217.41392841155542,221.929443359375,9302
2015-03-11 00:00:00+05:30,221.59494710857157,225.77598384646916,213.56735146800364,216.0759735107422,3002
2015-03-12 00:00:00+05:30,223.18373540226176,224.10356858608387,214.7380361092055,217.58116149902344,4785
2015-03-13 00:00:00+05:30,225.6087888491971,225.6087888491971,208.29930771704198,210.1389617919922,5366
2015-03-16 00:00:00+05:30,213.23291810523406,217.3303298591368,205.28894664641163,207.88119506835938,3453
2015-03-17 00:00:00+05:30,209.05186606686348,212.31307007370123,204.11824713149085,205.95790100097656,6243
2015-03-18 00:00:00+05:30,210.7242728856821,212.39668774985418,204.0346134289938,206.62686157226562,3198
2015-03-19 00:00:00+05:30,213.23291243233228,213.23291243233228,206.54325243445518,208.80101013183594,3268
2015-03-20 00:00:00+05:30,209.21908367785343,213.14925580732535,199.85356358477875,200.8570098876953,5441
2015-03-23 00:00:00+05:30,209.05187884301128,209.05187884301128,194.66911213051492,196.59239196777344,5260
2015-03-24 00:00:00+05:30,199.8535759648298,202.02772038875437,194.75270553305202,195.5889129638672,5233
2015-03-25 00:00:00+05:30,204.11824369729268,222.93291132676202,204.11824369729268,219.3372039794922,23239
2015-03-26 00:00:00+05:30,219.42081767447647,219.42081767447647,209.0518509701614,211.3932342529297,9356
2015-03-27 00:00:00+05:30,219.08635722032892,220.7587721609421,209.05186757664973,213.5673828125,9822
2015-03-30 00:00:00+05:30,219.00271283017278,219.92254607344842,212.6475442495372,214.3199462890625,7580
2015-03-31 00:00:00+05:30,216.5777033031836,219.7552810204859,213.31649974721054,215.07254028320312,2970
2015-04-01 00:00:00+05:30,218.25015606785448,222.84929728767514,214.0691185952902,216.32688903808594,6142
2015-04-06 00:00:00+05:30,220.2570250771799,227.03031015238187,218.25013241168202,224.1872100830078,5390
2015-04-07 00:00:00+05:30,227.03028392752105,229.12080219573025,223.26735104474446,226.02682495117188,9400
2015-04-08 00:00:00+05:30,225.85965410984457,233.71999961935538,225.85965410984457,231.96395874023438,5818
2015-04-09 00:00:00+05:30,225.7759939053171,233.3018603688277,225.7759939053171,231.12771606445312,14367
2015-04-10 00:00:00+05:30,230.79324565717363,238.9880680852169,229.12083083357092,237.8173828125,4723
2015-04-13 00:00:00+05:30,242.5001683068701,248.6880985322745,237.9010271838088,246.76483154296875,9283
2015-04-15 00:00:00+05:30,250.02604859478836,250.02604859478836,239.4062028783014,241.91482543945312,8724
2015-04-16 00:00:00+05:30,240.82772258890085,244.25617791011703,236.81393742002868,242.50013732910156,8937
2015-04-17 00:00:00+05:30,249.10620227073463,249.18982812223206,235.64325678851333,246.76483154296875,6622
2015-04-20 00:00:00+05:30,247.51740496784916,247.51740496784916,241.66395282333923,242.41653442382812,4847
2015-04-21 00:00:00+05:30,242.9182609767214,242.9182609767214,234.80703861257336,237.7337646484375,3263
2015-04-22 00:00:00+05:30,237.4829098273191,241.49669527876216,226.61221325071648,232.21481323242188,2229
2015-04-23 00:00:00+05:30,232.63291612485358,240.82773869218582,231.62945700602594,240.15878295898438,5459
2015-04-24 00:00:00+05:30,238.48639089626673,242.08207296411564,238.31913918747136,240.07518005371094,2994
2015-04-27 00:00:00+05:30,240.07514307679435,247.5173836294145,217.4139180528641,222.93289184570312,6330
2015-04-28 00:00:00+05:30,224.93979964934707,226.1941107998081,214.06910301201802,217.49755859375,6992
2015-04-29 00:00:00+05:30,219.92256624288788,232.3820525345921,219.92256624288788,226.19412231445312,1087
2015-04-30 00:00:00+05:30,229.9570474009063,229.9570474009063,221.59497294996424,222.18032836914062,3029
2015-05-04 00:00:00+05:30,221.59494740420214,230.70960240117412,221.59494740420214,230.6259765625,1338
2015-05-05 00:00:00+05:30,229.9570281910951,235.81047981777752,222.84926550155217,224.2708282470703,2077
2015-05-06 00:00:00+05:30,229.12083224910072,229.45531011208269,220.08980235346158,221.929443359375,2732
2015-05-07 00:00:00+05:30,225.7759809583485,225.7759809583485,214.15270407948253,216.82855224609375,3561
2015-05-08 00:00:00+05:30,225.5251877257262,229.78982583976625,219.9225869012388,220.25706481933594,2228
2015-05-11 00:00:00+05:30,227.19755035740235,229.12081708149898,221.76220250692884,227.5320281982422,3328
2015-05-12 00:00:00+05:30,232.46565535875058,232.46565535875058,221.7622109311373,224.93978881835938,2219
2015-05-13 00:00:00+05:30,233.1345939924618,233.1345939924618,221.76219469060322,228.7863311767578,2479
2015-05-14 00:00:00+05:30,229.95706210710946,229.95706210710946,219.2536163330078,219.2536163330078,1741
2015-05-15 00:00:00+05:30,219.2536093033446,228.28463979075266,215.74152771433768,217.99929809570312,2269
2015-05-18 00:00:00+05:30,219.2536137381732,243.08552716540822,219.08636203282728,234.8070526123047,3094
2015-05-19 00:00:00+05:30,240.82771642418948,241.6639237728846,229.95702089115315,230.6259765625,897
2015-05-20 00:00:00+05:30,229.12080219573025,236.5630421267507,225.7759729665955,226.02682495117188,1479
2015-05-21 00:00:00+05:30,223.85270699179756,228.86995084949325,221.59493704822575,223.68545532226562,780
2015-05-22 00:00:00+05:30,222.8493141948819,227.4484557636318,221.17689907897284,223.1837921142578,1889
2015-05-25 00:00:00+05:30,221.59497889765984,232.46567597565826,221.59497889765984,225.77601623535156,703
2015-05-26 00:00:00+05:30,227.44843349651728,227.44843349651728,220.75877368779618,220.926025390625,1004
2015-05-27 00:00:00+05:30,220.75875719769675,225.6923758342948,217.4139275431862,217.83203125,1415
2015-05-28 00:00:00+05:30,222.1803325238574,225.10705863641618,218.25014725081076,218.7518768310547,917
2015-05-29 00:00:00+05:30,221.59500351957908,225.7760413218353,219.2536325579274,222.0131072998047,2615
2015-06-01 00:00:00+05:30,220.758779929944,220.758779929944,202.362214935782,208.80101013183594,16404
2015-06-02 00:00:00+05:30,212.14582940360523,212.39669419274338,209.0518643629364,209.63720703125,1111
2015-06-03 00:00:00+05:30,204.870814896154,216.57771860450566,189.8190815568447,202.69667053222656,7035
2015-06-04 00:00:00+05:30,200.6897856039196,207.7139229962516,200.6897856039196,202.19496154785156,2879
2015-06-05 00:00:00+05:30,208.8009985645321,208.8009985645321,200.68978881835938,200.68978881835938,5599
2015-06-08 00:00:00+05:30,200.68978113647663,202.36219597928059,192.5785717007799,200.77340698242188,12575
2015-06-09 00:00:00+05:30,203.0311508171391,203.1147638979498,194.00010872131352,195.7561492919922,7522
2015-06-10 00:00:00+05:30,197.3449394895855,200.60614313158322,195.33804690366566,199.26821899414062,2312
2015-06-11 00:00:00+05:30,197.34494776401547,200.6897773871344,196.50874035823577,197.42857360839844,1101
2015-06-12 00:00:00+05:30,196.5087373419292,200.6897743066511,196.5087373419292,198.76649475097656,1930
2015-06-15 00:00:00+05:30,200.60615348450824,200.68977932970063,193.3311515357091,199.01736450195312,1400
2015-06-16 00:00:00+05:30,200.52255841058786,200.52255841058786,196.50875991155547,198.8501434326172,1405
2015-06-17 00:00:00+05:30,200.68979567659005,200.68979567659005,196.5087582666611,197.09410095214844,3368
2015-06-18 00:00:00+05:30,195.67253475523032,199.6027070467021,190.65529027432697,192.99667358398438,8659
2015-06-19 00:00:00+05:30,195.67252345166966,199.93718611788256,194.8363160864916,195.7561492919922,2753
2015-06-22 00:00:00+05:30,198.18117791277686,199.51911501936908,196.92686666016434,197.93031311035156,2313
2015-06-23 00:00:00+05:30,199.0173621247944,200.60615108837226,196.50873991313733,198.59925842285156,4044
2015-06-24 00:00:00+05:30,198.18117323063268,200.18806608359313,194.00013582070372,197.09410095214844,6323
2015-06-25 00:00:00+05:30,196.50873427102363,200.68977117040708,194.50184166312437,200.27166748046875,1093
2015-06-26 00:00:00+05:30,200.6061694237171,202.3622102361836,196.50875787397996,197.84669494628906,3467
2015-06-29 00:00:00+05:30,196.50875787397996,200.02082673939944,193.1639279527207,197.84669494628906,3593
2015-06-30 00:00:00+05:30,200.6897769325658,202.52943066921185,194.16735663035493,198.59925842285156,2065
2015-07-01 00:00:00+05:30,199.01736793599056,200.68978279259554,196.50874565108313,196.92684936523438,3185
2015-07-02 00:00:00+05:30,200.6061733445938,206.54325167467542,197.76307295976008,205.2889404296875,7317
2015-07-03 00:00:00+05:30,205.70701231437428,210.72425651716392,201.52597547871628,208.9682159423828,7360
2015-07-06 00:00:00+05:30,210.97513325213947,212.39668330503443,205.70702398834044,211.05874633789062,2989
2015-07-07 00:00:00+05:30,211.56049058702257,211.56049058702257,205.79066412936368,206.9613494873047,3520
2015-07-08 00:00:00+05:30,206.96134089747656,207.5466835521527,201.10788883168934,203.3656463623047,3875
2015-07-09 00:00:00+05:30,201.60962011601796,225.7760101754353,200.68978682260914,222.18032836914062,8836
2015-07-10 00:00:00+05:30,209.1354886327393,226.36136722993137,204.87082552814414,207.46307373046875,7038
2015-07-13 00:00:00+05:30,207.4630755862043,215.7415243226882,205.12169215017946,214.48721313476562,3852
2015-07-14 00:00:00+05:30,214.48719031346522,223.2673676947182,211.6440903604833,221.34410095214844,6018
2015-07-15 00:00:00+05:30,224.85617243102323,229.9570428489319,220.8423869816339,226.61221313476562,12296
2015-07-16 00:00:00+05:30,227.4484189270547,234.97428572978814,225.77600408200283,230.45877075195312,10050
2015-07-17 00:00:00+05:30,229.95705886861967,234.13809630259456,229.12085138182468,230.7096405029297,6323
2015-07-20 00:00:00+05:30,231.62944841303465,232.80013366221982,218.33375593645235,223.76910400390625,4165
2015-07-21 00:00:00+05:30,224.1035818492688,227.36478558580774,215.74150789966922,217.16307067871094,4216
2015-07-22 00:00:00+05:30,216.5777316999473,223.85274679477618,214.98894263298075,220.08981323242188,1830
2015-07-23 00:00:00+05:30,223.26738345312214,224.10359088178552,213.2328943091616,214.57083129882812,3232
2015-07-24 00:00:00+05:30,215.15615881162694,222.18032155005582,214.06909937397856,214.15272521972656,2337
2015-07-27 00:00:00+05:30,221.427707167461,221.427707167461,210.30615906280323,212.7311553955078,1832
2015-07-28 00:00:00+05:30,214.06909555288462,220.17339939814994,213.48375292163468,217.41392517089844,2698
2015-07-29 00:00:00+05:30,217.41392278349417,219.75529328278353,208.21564143496173,210.38978576660156,4273
2015-07-30 00:00:00+05:30,219.0863395856447,219.0863395856447,210.72426555565826,211.97857666015625,1874
2015-07-31 00:00:00+05:30,213.23292767540994,213.23292767540994,203.19843696127302,209.38636779785156,2718
2015-08-03 00:00:00+05:30,206.12513868196106,221.59497667634758,204.20185897399955,219.75531005859375,4304
2015-08-04 00:00:00+05:30,220.00619206312044,224.77255936541803,219.0863587356159,220.926025390625,1832
2015-08-05 00:00:00+05:30,218.58463423910277,230.70964292491828,218.58463423910277,225.85964965820312,3473
2015-08-06 00:00:00+05:30,229.12085340967718,229.12085340967718,219.16998933255147,221.59498596191406,1824
2015-08-07 00:00:00+05:30,220.7587656379104,225.27428074033517,208.63375767673728,210.55703735351562,4348
2015-08-10 00:00:00+05:30,209.8880711892959,220.08981234714312,209.05186373435848,210.9751434326172,2755
2015-08-11 00:00:00+05:30,213.23290481369415,220.42429415827507,210.72428240412125,213.73463439941406,5019
2015-08-12 00:00:00+05:30,212.39667526355004,212.39667526355004,200.68977190256695,205.12167358398438,3250
2015-08-13 00:00:00+05:30,204.03461225058868,217.41393108669286,200.68978254156264,203.5328826904297,3397
2015-08-14 00:00:00+05:30,203.19840676443917,213.14927014004482,202.86392889414645,210.72427368164062,5745
2015-08-17 00:00:00+05:30,199.0173597376055,207.37943367616035,195.67253016218356,198.18115234375,21652
2015-08-18 00:00:00+05:30,196.50875527783012,209.05186731684054,196.50875527783012,198.01393127441406,6495
2015-08-19 00:00:00+05:30,197.51218891475855,204.4527130126953,196.50874256843926,204.4527130126953,2654
2015-08-20 00:00:00+05:30,204.87081475641696,204.87081475641696,193.24753690057216,196.6759796142578,7223
2015-08-21 00:00:00+05:30,197.34495868041054,199.85358103651745,193.16392142023236,195.83978271484375,4156
2015-08-24 00:00:00+05:30,200.68977350478346,200.68977350478346,179.28285922713502,180.7044219970703,6817
2015-08-25 00:00:00+05:30,178.9483968669996,191.32426985643303,158.87941777911178,185.38719177246094,27390
