Date,Open,High,Low,Close,No. of Shares
2015-01-01 00:00:00+05:30,32.0,33.29999923706055,32.0,33.29999923706055,1805
2015-01-02 00:00:00+05:30,33.5,33.54999923706055,33.349998474121094,33.5,350
2015-01-05 00:00:00+05:30,35.0,36.849998474121094,35.0,36.849998474121094,1419
2015-01-06 00:00:00+05:30,35.0,35.0,35.0,35.0,100
2015-01-07 00:00:00+05:30,34.20000076293945,36.0,34.20000076293945,36.0,160
2015-01-08 00:00:00+05:30,35.04999923706055,38.0,35.04999923706055,36.0,206
2015-01-09 00:00:00+05:30,35.04999923706055,39.599998474121094,35.04999923706055,38.0,393
2015-01-12 00:00:00+05:30,37.849998474121094,38.150001525878906,37.849998474121094,38.150001525878906,160
2015-01-13 00:00:00+05:30,35.400001525878906,37.0,35.0,35.849998474121094,1371
2015-01-14 00:00:00+05:30,36.04999923706055,36.04999923706055,36.04999923706055,36.04999923706055,275
2015-01-15 00:00:00+05:30,36.04999923706055,36.04999923706055,36.04999923706055,36.04999923706055,50
2015-01-16 00:00:00+05:30,36.04999923706055,39.650001525878906,36.04999923706055,36.5,795
2015-01-19 00:00:00+05:30,36.25,38.900001525878906,36.25,38.900001525878906,360
2015-01-20 00:00:00+05:30,37.0,42.650001525878906,36.349998474121094,37.0,134
2015-01-21 00:00:00+05:30,36.95000076293945,39.0,36.95000076293945,38.0,326
2015-01-22 00:00:00+05:30,38.0,39.5,36.400001525878906,37.95000076293945,1250
2015-01-23 00:00:00+05:30,36.400001525878906,40.0,36.20000076293945,36.20000076293945,600
2015-01-27 00:00:00+05:30,36.20000076293945,37.95000076293945,36.099998474121094,37.95000076293945,1262
2015-01-28 00:00:00+05:30,36.400001525878906,40.0,36.0,36.150001525878906,2086
2015-01-29 00:00:00+05:30,34.04999923706055,34.04999923706055,34.04999923706055,34.04999923706055,200
2015-01-30 00:00:00+05:30,35.0,35.95000076293945,34.0,35.95000076293945,219
2015-02-02 00:00:00+05:30,33.349998474121094,33.349998474121094,33.29999923706055,33.29999923706055,4
2015-02-03 00:00:00+05:30,33.29999923706055,33.29999923706055,33.29999923706055,33.29999923706055,0
2015-02-04 00:00:00+05:30,33.29999923706055,33.29999923706055,33.29999923706055,33.29999923706055,0
2015-02-05 00:00:00+05:30,33.29999923706055,33.29999923706055,33.29999923706055,33.29999923706055,0
2015-02-06 00:00:00+05:30,33.20000076293945,38.95000076293945,33.20000076293945,38.95000076293945,113
2015-02-09 00:00:00+05:30,32.349998474121094,35.900001525878906,32.349998474121094,34.75,856
2015-02-10 00:00:00+05:30,34.75,34.75,34.75,34.75,0
2015-02-11 00:00:00+05:30,39.95000076293945,39.95000076293945,34.0,34.25,2705
2015-02-12 00:00:00+05:30,34.25,34.25,34.25,34.25,0
2015-02-13 00:00:00+05:30,34.25,34.25,33.95000076293945,33.95000076293945,728
2015-02-16 00:00:00+05:30,32.79999923706055,34.75,32.150001525878906,34.599998474121094,3813
2015-02-18 00:00:00+05:30,32.599998474121094,32.599998474121094,31.0,31.0,1235
2015-02-19 00:00:00+05:30,26.0,35.0,26.0,33.849998474121094,900
2015-02-20 00:00:00+05:30,31.049999237060547,37.0,31.0,35.900001525878906,3048
