Date,Open,High,Low,Close,No. of Shares
2015-01-01 00:00:00+05:30,26.600000381469727,26.600000381469727,26.600000381469727,26.600000381469727,0
2015-01-02 00:00:00+05:30,27.899999618530273,27.899999618530273,27.899999618530273,27.899999618530273,170
2015-01-05 00:00:00+05:30,29.25,29.25,29.25,29.25,230
2015-01-06 00:00:00+05:30,30.700000762939453,30.700000762939453,30.700000762939453,30.700000762939453,434
2015-01-07 00:00:00+05:30,32.20000076293945,32.20000076293945,32.20000076293945,32.20000076293945,200
2015-01-08 00:00:00+05:30,30.700000762939453,33.79999923706055,30.700000762939453,33.79999923706055,45
2015-01-09 00:00:00+05:30,33.5,35.0,33.0,33.04999923706055,64
2015-01-12 00:00:00+05:30,34.0,34.0,31.5,31.549999237060547,135
2015-01-13 00:00:00+05:30,30.0,30.0,30.0,30.0,60
2015-01-14 00:00:00+05:30,28.5,28.5,28.5,28.5,25
2015-01-15 00:00:00+05:30,27.450000762939453,29.899999618530273,27.100000381469727,27.100000381469727,124
2015-01-16 00:00:00+05:30,26.049999237060547,26.049999237060547,26.049999237060547,26.049999237060547,25
2015-01-19 00:00:00+05:30,25.450000762939453,25.450000762939453,25.450000762939453,25.450000762939453,5
2015-01-20 00:00:00+05:30,25.899999618530273,26.700000762939453,25.899999618530273,26.700000762939453,105
2015-01-21 00:00:00+05:30,28.0,28.0,28.0,28.0,5
2015-01-22 00:00:00+05:30,27.0,29.399999618530273,26.700000762939453,29.399999618530273,185
2015-01-23 00:00:00+05:30,30.850000381469727,30.850000381469727,30.850000381469727,30.850000381469727,300
2015-01-27 00:00:00+05:30,29.350000381469727,32.349998474121094,29.350000381469727,32.349998474121094,190
2015-01-28 00:00:00+05:30,30.799999237060547,33.95000076293945,30.75,32.29999923706055,1532
2015-01-29 00:00:00+05:30,32.29999923706055,32.5,30.850000381469727,30.850000381469727,105
2015-01-30 00:00:00+05:30,30.850000381469727,32.349998474121094,29.350000381469727,32.349998474121094,477
2015-02-02 00:00:00+05:30,33.95000076293945,33.95000076293945,33.95000076293945,33.95000076293945,5
2015-02-03 00:00:00+05:30,32.29999923706055,32.29999923706055,32.29999923706055,32.29999923706055,50
2015-02-04 00:00:00+05:30,30.700000762939453,30.700000762939453,30.700000762939453,30.700000762939453,40
2015-02-05 00:00:00+05:30,32.20000076293945,32.20000076293945,32.20000076293945,32.20000076293945,80
2015-02-06 00:00:00+05:30,33.79999923706055,33.79999923706055,33.79999923706055,33.79999923706055,195
2015-02-09 00:00:00+05:30,35.45000076293945,35.45000076293945,35.45000076293945,35.45000076293945,50
2015-02-10 00:00:00+05:30,37.20000076293945,37.20000076293945,37.20000076293945,37.20000076293945,985
2015-02-11 00:00:00+05:30,38.5,39.04999923706055,36.04999923706055,39.04999923706055,1225
2015-02-12 00:00:00+05:30,40.95000076293945,41.0,37.650001525878906,41.0,455
2015-02-13 00:00:00+05:30,42.79999923706055,42.79999923706055,42.79999923706055,42.79999923706055,10
2015-02-16 00:00:00+05:30,40.70000076293945,43.0,40.70000076293945,41.25,260
2015-02-18 00:00:00+05:30,41.79999923706055,43.099998474121094,39.20000076293945,43.099998474121094,26
2015-02-19 00:00:00+05:30,45.25,45.25,45.25,45.25,20
2015-02-20 00:00:00+05:30,43.0,43.0,43.0,43.0,200
2015-02-23 00:00:00+05:30,40.849998474121094,44.0,40.849998474121094,41.400001525878906,1412
2015-02-24 00:00:00+05:30,39.349998474121094,43.400001525878906,39.349998474121094,41.29999923706055,1299
2015-02-25 00:00:00+05:30,43.0,43.0,43.0,43.0,10
