Date,Open,High,Low,Close,No. of Shares
2015-01-01 00:00:00+05:30,19.390778298144852,19.874449528257152,18.81916836921501,19.1269588470459,11821
2015-01-02 00:00:00+05:30,20.050325896578425,20.050325896578425,19.039015900787145,19.390775680541992,12932
2015-01-05 00:00:00+05:30,19.082986167450144,21.325456142425537,18.775195743332006,21.105606079101562,34003
2015-01-06 00:00:00+05:30,21.457368675191542,21.457368675191542,19.962389053793782,20.270177841186523,31534
2015-01-07 00:00:00+05:30,19.83047537597267,20.929725711166785,19.478715604175132,19.65459632873535,6897
2015-01-08 00:00:00+05:30,19.434745332138597,20.577964955131474,19.434745332138597,20.094295501708984,4485
2015-01-09 00:00:00+05:30,19.78650824806421,20.57796824252216,19.78650824806421,19.96238899230957,13688
2015-01-12 00:00:00+05:30,19.610627126201823,21.76515865376652,19.610627126201823,20.05032730102539,23369
2015-01-13 00:00:00+05:30,20.490026064865656,20.577966429239236,19.698566140149328,19.874446868896484,3293
2015-01-14 00:00:00+05:30,19.91841573825278,19.91841573825278,19.434746261696528,19.65459632873535,11593
2015-01-15 00:00:00+05:30,19.786507336244426,19.830476681617988,18.95107635556268,19.039016723632812,5709
2015-01-16 00:00:00+05:30,18.68725745773289,19.126957633208956,18.467407369994856,18.86313819885254,6934
2015-01-19 00:00:00+05:30,18.907107161842124,19.566657411673823,18.907107161842124,18.95107650756836,11683
2015-01-20 00:00:00+05:30,19.34680586462479,19.698565635789752,19.082986455581793,19.17092514038086,4062
2015-01-21 00:00:00+05:30,18.379467457442587,19.87444876224466,18.379467457442587,18.59931755065918,15419
2015-01-22 00:00:00+05:30,18.379467581463576,18.379467581463576,17.23624775995231,17.71991729736328,15060
2015-01-23 00:00:00+05:30,19.082987019590835,19.082987019590835,17.28021541343871,18.115646362304688,5071
2015-01-27 00:00:00+05:30,17.588005211374966,17.588005211374966,17.36815514623278,17.500064849853516,3096
2015-01-28 00:00:00+05:30,16.88448981459815,18.159619498741662,16.708609048422282,16.92845916748047,10510
2015-01-29 00:00:00+05:30,17.36815514623278,17.675945572896417,17.14830508109059,17.500064849853516,7825
2015-01-30 00:00:00+05:30,18.467405319213867,18.467405319213867,16.928454875946045,17.58800506591797,5637
2015-02-02 00:00:00+05:30,17.36815575742482,18.7751965593137,17.36815575742482,17.631975173950195,16870
2015-02-03 00:00:00+05:30,17.236247018836867,17.807856905014706,17.236247018836867,17.675947189331055,2961
2015-02-04 00:00:00+05:30,18.379467099240177,18.379467099240177,17.148306936686286,17.98373794555664,3443
2015-02-05 00:00:00+05:30,18.42343890130422,18.77519872298279,17.983738704875222,18.027708053588867,6425
2015-02-06 00:00:00+05:30,18.42343917868094,18.42343917868094,16.70860771586071,17.544038772583008,1213
2015-02-09 00:00:00+05:30,16.312876025507762,17.80785731012664,16.312876025507762,17.104337692260742,605
2015-02-10 00:00:00+05:30,15.961113116532328,17.32418441772461,15.961113116532328,17.32418441772461,301
2015-02-11 00:00:00+05:30,17.54403643827282,20.006356576795383,17.54403643827282,19.874446868896484,23162
2015-02-12 00:00:00+05:30,20.665906318005128,20.665906318005128,18.511374988390326,18.775196075439453,4930
2015-02-13 00:00:00+05:30,18.907109071802857,18.951078421970795,17.588008438886376,18.159618377685547,6674
2015-02-16 00:00:00+05:30,17.675944006797014,18.027703744393808,17.500063299337246,17.80785369873047,2862
2015-02-18 00:00:00+05:30,17.80785770127603,18.90710817666344,17.763888353189778,18.511377334594727,10328
2015-02-19 00:00:00+05:30,18.555346816102436,18.555346816102436,17.368156065999873,17.93976593017578,8925
2015-02-20 00:00:00+05:30,17.280217107963086,18.027707765408042,17.192276734618424,17.71991729736328,6902
2015-02-23 00:00:00+05:30,18.247555255889893,18.247555255889893,17.41212434432964,17.58800506591797,3495
2015-02-24 00:00:00+05:30,17.631972991270704,17.939763390663927,17.236243915470336,17.80785369873047,6665
2015-02-25 00:00:00+05:30,17.93976739206338,18.027707765408042,17.412126829318524,17.71991729736328,2817
2015-02-26 00:00:00+05:30,17.500068061227307,19.258868905115946,17.500068061227307,18.159618377685547,4927
2015-02-27 00:00:00+05:30,18.379463481990605,18.863134588843593,17.58800365306713,17.80785369873047,6964
2015-03-02 00:00:00+05:30,18.423437649561418,19.08298789939312,17.58800666217872,18.95107650756836,13771
2015-03-03 00:00:00+05:30,19.25886704116361,19.434747779459293,18.07167625097535,18.555347442626953,10520
2015-03-04 00:00:00+05:30,19.258868565651007,19.258868565651007,17.80785823048364,18.335498809814453,4578
2015-03-05 00:00:00+05:30,18.467408535316366,18.467408535316366,17.851827579876556,18.335498809814453,372
2015-03-09 00:00:00+05:30,18.423436778172213,18.423436778172213,17.588005830303615,17.631975173950195,4360
2015-03-10 00:00:00+05:30,16.708606758822537,18.379467099240177,16.708606758822537,17.98373794555664,12304
2015-03-11 00:00:00+05:30,17.148310118083714,17.67595076487404,17.10434076306926,17.368160247802734,3717
2015-03-12 00:00:00+05:30,17.58800785715987,18.027708053588867,17.500067482409445,18.027708053588867,448
2015-03-13 00:00:00+05:30,17.588003803853308,17.588003803853308,16.92845366120881,17.32418441772461,6396
2015-03-16 00:00:00+05:30,16.7525742929055,17.500064849853516,16.7525742929055,17.500064849853516,260
2015-03-17 00:00:00+05:30,17.93976794893318,17.93976794893318,16.136997787361686,17.544038772583008,9849
2015-03-18 00:00:00+05:30,16.093025838884056,18.203588034488515,16.093025838884056,17.98373794555664,27306
2015-03-19 00:00:00+05:30,17.851825665548226,19.9623877565468,17.631975587512787,19.21489715576172,28509
2015-03-20 00:00:00+05:30,19.126956207092718,19.786506421130397,17.28021527232263,18.20358657836914,72868
2015-03-23 00:00:00+05:30,18.42344032000797,18.863140550296244,16.53272798790978,17.412128448486328,29635
2015-03-24 00:00:00+05:30,16.972425467837187,17.93976615317966,16.972425467837187,17.456096649169922,8018
2015-03-25 00:00:00+05:30,17.983737649981553,18.027706996116034,16.708606484205102,17.192276000976562,3864
2015-03-26 00:00:00+05:30,16.356845650483386,17.01639586479866,15.829205143566583,16.84051513671875,2774
2015-03-27 00:00:00+05:30,16.26890723003419,17.63197716486456,15.961116757785133,16.444787979125977,32098
2015-03-30 00:00:00+05:30,16.444788304860293,17.807858266690012,16.312876901767016,17.060367584228516,4229
2015-03-31 00:00:00+05:30,16.796543968144462,17.368153756305144,16.796543968144462,17.32418441772461,590
2015-04-01 00:00:00+05:30,17.32418626385528,19.302836902641257,16.884486121902842,19.08298683166504,37291
2015-04-06 00:00:00+05:30,19.78650764985518,19.78650764985518,18.467407139864836,19.3468074798584,40648
2015-04-07 00:00:00+05:30,19.126955652924206,19.786505847852627,18.64328618090585,19.258865356445312,10464
2015-04-08 00:00:00+05:30,19.786505847852627,19.786505847852627,18.9950459494031,19.258865356445312,7859
2015-04-09 00:00:00+05:30,19.742539802707675,19.742539802707675,18.687258643665533,19.1269588470459,6420
2015-04-10 00:00:00+05:30,19.39077667412283,19.43474769717209,18.15961654323492,18.95107650756836,6246
2015-04-13 00:00:00+05:30,18.951076045321972,19.17092612323672,18.29152581157773,18.731225967407227,16470
2015-04-15 00:00:00+05:30,19.434746277077913,19.434746277077913,17.939765149101575,18.775196075439453,4850
2015-04-16 00:00:00+05:30,18.775194962404477,18.775194962404477,17.939764085592785,18.42343521118164,2087
2015-04-17 00:00:00+05:30,18.379464958419703,18.379464958419703,17.41212434432964,17.58800506591797,14700
2015-04-20 00:00:00+05:30,17.58800437761235,17.58800437761235,16.88448487343698,16.972423553466797,4500
2015-04-21 00:00:00+05:30,17.93976671435943,17.93976671435943,16.796546936035156,16.796546936035156,125
2015-04-22 00:00:00+05:30,16.796545173416234,18.643286040802195,16.796545173416234,17.58800506591797,386
2015-04-23 00:00:00+05:30,16.972423553466797,16.972423553466797,16.972423553466797,16.972423553466797,100
2015-04-24 00:00:00+05:30,16.752574154357717,17.85182447097759,16.44478540756245,16.70860481262207,2261
2015-04-27 00:00:00+05:30,16.620664451827906,17.41212434432964,15.917144920120336,16.70860481262207,1515
2015-04-28 00:00:00+05:30,17.58800571507398,17.675946079113935,16.400814993841898,16.84051513671875,582
2015-04-29 00:00:00+05:30,16.13699750687692,16.70860742544052,16.13699750687692,16.444787979125977,960
2015-04-30 00:00:00+05:30,16.488754749298096,18.071674534301565,16.488754749298096,16.70860481262207,1304
2015-05-04 00:00:00+05:30,17.5440391036493,17.58800845385466,15.829207608469194,16.576698303222656,1478
2015-05-05 00:00:00+05:30,17.192278103868034,17.236249132703918,16.312877655029297,16.312877655029297,1376
2015-05-06 00:00:00+05:30,15.829207420349121,15.829207420349121,15.829207420349121,15.829207420349121,30
2015-05-07 00:00:00+05:30,16.136995579044964,16.884486157400193,15.873174486925095,16.84051513671875,1151
2015-05-08 00:00:00+05:30,16.62066650390625,16.62066650390625,15.82920651368654,16.62066650390625,371
2015-05-11 00:00:00+05:30,16.708605946843644,16.88448668037119,15.917146000615647,16.180965423583984,409
