Date,Open,High,Low,Close,No. of Shares
2015-01-01 00:00:00+05:30,115.0,115.0,113.0,115.0,900
2015-01-02 00:00:00+05:30,115.0999984741211,115.0999984741211,106.30000305175781,106.30000305175781,600
2015-01-05 00:00:00+05:30,114.8499984741211,117.0,110.1500015258789,117.0,1020
2015-01-06 00:00:00+05:30,129.0,129.0,114.0,114.0,127
2015-01-07 00:00:00+05:30,100.19999694824219,116.94999694824219,100.19999694824219,116.9000015258789,24
2015-01-08 00:00:00+05:30,117.9000015258789,117.9000015258789,117.5,117.5,251
2015-01-09 00:00:00+05:30,112.05000305175781,117.5999984741211,110.0,110.94999694824219,2096
2015-01-12 00:00:00+05:30,119.0,119.0,111.1500015258789,112.5,1180
2015-01-13 00:00:00+05:30,110.5,118.80000305175781,110.5,118.80000305175781,110
2015-01-14 00:00:00+05:30,117.8499984741211,117.9000015258789,117.8499984741211,117.9000015258789,2
2015-01-15 00:00:00+05:30,126.8499984741211,126.8499984741211,111.0999984741211,117.5,2275
2015-01-16 00:00:00+05:30,114.0,114.0,107.75,111.4000015258789,620
2015-01-19 00:00:00+05:30,113.0,118.0,113.0,115.0,224
2015-01-20 00:00:00+05:30,123.80000305175781,123.80000305175781,116.0,119.80000305175781,419
2015-01-21 00:00:00+05:30,116.0,119.9000015258789,115.0,115.0,1671
2015-01-22 00:00:00+05:30,112.5,118.9000015258789,112.0,118.9000015258789,201
2015-01-23 00:00:00+05:30,112.0,112.0,112.0,112.0,318
2015-01-27 00:00:00+05:30,111.0,122.0,111.0,120.0,2371
2015-01-28 00:00:00+05:30,120.80000305175781,120.80000305175781,112.80000305175781,116.5999984741211,460
2015-01-29 00:00:00+05:30,114.0,116.0,112.0,116.0,970
2015-01-30 00:00:00+05:30,120.0,120.0,110.80000305175781,113.0,375
2015-02-02 00:00:00+05:30,110.0,110.0,99.0,101.19999694824219,5624
2015-02-03 00:00:00+05:30,100.0,104.0,95.5,96.69999694824219,361
2015-02-04 00:00:00+05:30,97.0,100.0,97.0,100.0,510
2015-02-05 00:00:00+05:30,103.0,103.0,103.0,103.0,5
2015-02-06 00:00:00+05:30,93.0999984741211,104.80000305175781,93.0999984741211,104.80000305175781,145
2015-02-09 00:00:00+05:30,90.0999984741211,100.9000015258789,90.0999984741211,99.9000015258789,362
2015-02-10 00:00:00+05:30,96.0,96.0,93.5,93.5999984741211,202
2015-02-11 00:00:00+05:30,91.0,97.0,91.0,96.5999984741211,404
2015-02-12 00:00:00+05:30,96.5999984741211,98.0,89.0999984741211,91.0,731
2015-02-13 00:00:00+05:30,89.0999984741211,96.9000015258789,89.0999984741211,93.5,509
2015-02-16 00:00:00+05:30,93.5,93.5,93.5,93.5,0
2015-02-18 00:00:00+05:30,99.9000015258789,99.9000015258789,97.9000015258789,97.9000015258789,55
2015-02-19 00:00:00+05:30,92.0999984741211,97.5,92.0999984741211,97.5,105
2015-02-20 00:00:00+05:30,96.0,96.0,95.5,95.5,371
2015-02-23 00:00:00+05:30,106.9000015258789,106.9000015258789,88.0999984741211,92.0999984741211,2058
2015-02-24 00:00:00+05:30,109.0,109.0,96.0,96.0,112
2015-02-25 00:00:00+05:30,90.0,95.0,90.0,92.19999694824219,465
2015-02-26 00:00:00+05:30,85.0,100.9000015258789,85.0,99.9000015258789,63
2015-02-27 00:00:00+05:30,99.4000015258789,99.4000015258789,94.0,96.19999694824219,437
2015-03-02 00:00:00+05:30,108.0,108.0,91.5,92.19999694824219,5375
2015-03-03 00:00:00+05:30,95.0,95.0,95.0,95.0,50
2015-03-04 00:00:00+05:30,108.0,108.0,95.0,95.0999984741211,4155
2015-03-05 00:00:00+05:30,95.0,95.0,95.0,95.0,5
2015-03-09 00:00:00+05:30,85.0999984741211,103.69999694824219,78.0,97.0999984741211,35824
2015-03-10 00:00:00+05:30,98.0,103.0,93.5,99.9000015258789,33687
2015-03-11 00:00:00+05:30,103.5,103.5,94.5999984741211,94.5999984741211,6171
2015-03-12 00:00:00+05:30,95.0,95.0,93.25,93.25,550
2015-03-13 00:00:00+05:30,100.0,100.0,96.0,96.0,191
2015-03-16 00:00:00+05:30,95.0,95.0,95.0,95.0,50
2015-03-17 00:00:00+05:30,100.0,100.0,93.0,94.0,194
2015-03-18 00:00:00+05:30,92.0,92.0,91.0999984741211,91.0999984741211,175
2015-03-19 00:00:00+05:30,93.05000305175781,94.0,92.0,92.69999694824219,225
2015-03-20 00:00:00+05:30,90.05000305175781,94.0,88.0,93.94999694824219,737
2015-03-23 00:00:00+05:30,90.0,90.0,90.0,90.0,100
2015-03-24 00:00:00+05:30,90.5,93.05000305175781,90.5,90.5,546
2015-03-25 00:00:00+05:30,89.94999694824219,99.8499984741211,89.94999694824219,95.5999984741211,817
2015-03-26 00:00:00+05:30,105.9000015258789,105.9000015258789,90.0,90.0,101
2015-03-27 00:00:00+05:30,85.25,103.80000305175781,85.25,101.44999694824219,4033
2015-03-30 00:00:00+05:30,87.5,98.8499984741211,87.5,98.0,345
2015-03-31 00:00:00+05:30,114.69999694824219,114.69999694824219,90.0,94.94999694824219,1285
2015-04-01 00:00:00+05:30,99.5,99.5,94.0,94.0,350
2015-04-06 00:00:00+05:30,97.69999694824219,99.5999984741211,97.69999694824219,98.6500015258789,2
2015-04-07 00:00:00+05:30,109.5999984741211,109.5999984741211,95.25,99.1500015258789,1435
2015-04-08 00:00:00+05:30,100.5999984741211,100.80000305175781,99.05000305175781,99.05000305175781,594
2015-04-09 00:00:00+05:30,97.0,102.94999694824219,95.0,101.55000305175781,505
2015-04-10 00:00:00+05:30,102.0,105.0,102.0,102.05000305175781,685
2015-04-13 00:00:00+05:30,98.05000305175781,103.4000015258789,95.0,103.4000015258789,2199
2015-04-15 00:00:00+05:30,105.94999694824219,105.94999694824219,97.19999694824219,98.5,110
2015-04-16 00:00:00+05:30,100.0,100.0,100.0,100.0,100
2015-04-17 00:00:00+05:30,99.0,101.94999694824219,99.0,99.5999984741211,1254
2015-04-20 00:00:00+05:30,104.8499984741211,104.8499984741211,99.0,99.0,229
2015-04-21 00:00:00+05:30,99.0,111.55000305175781,91.05000305175781,111.55000305175781,825
2015-04-22 00:00:00+05:30,129.85000610351562,129.85000610351562,106.94999694824219,106.94999694824219,835
2015-04-23 00:00:00+05:30,106.94999694824219,106.94999694824219,106.94999694824219,106.94999694824219,0
2015-04-24 00:00:00+05:30,108.4000015258789,108.4000015258789,108.4000015258789,108.4000015258789,15
2015-04-27 00:00:00+05:30,108.4000015258789,108.4000015258789,108.4000015258789,108.4000015258789,0
2015-04-28 00:00:00+05:30,100.94999694824219,102.0,100.94999694824219,101.94999694824219,150
2015-04-29 00:00:00+05:30,101.94999694824219,102.0,92.05000305175781,100.94999694824219,598
2015-04-30 00:00:00+05:30,93.6500015258789,100.5,93.6500015258789,97.1500015258789,195
2015-05-04 00:00:00+05:30,104.0999984741211,109.4000015258789,92.1500015258789,101.0,293
2015-05-05 00:00:00+05:30,98.80000305175781,101.0,94.0,94.44999694824219,860
2015-05-06 00:00:00+05:30,91.44999694824219,98.94999694824219,90.0,97.55000305175781,1092
2015-05-07 00:00:00+05:30,99.94999694824219,99.94999694824219,98.9000015258789,98.9000015258789,45
2015-05-08 00:00:00+05:30,101.0,101.0,101.0,101.0,117
2015-05-11 00:00:00+05:30,97.69999694824219,101.0999984741211,97.69999694824219,100.44999694824219,550
2015-05-12 00:00:00+05:30,98.0,100.0,92.1500015258789,99.75,310
2015-05-13 00:00:00+05:30,92.05000305175781,99.69999694824219,92.05000305175781,97.05000305175781,261
2015-05-14 00:00:00+05:30,100.0,100.0,100.0,100.0,10
2015-05-15 00:00:00+05:30,99.0,99.0,99.0,99.0,5
2015-05-18 00:00:00+05:30,99.0,99.0,99.0,99.0,0
2015-05-19 00:00:00+05:30,100.0,100.0,100.0,100.0,2
2015-05-20 00:00:00+05:30,100.0,100.0,98.0,98.0,120
2015-05-21 00:00:00+05:30,90.3499984741211,98.94999694824219,90.3499984741211,98.94999694824219,202
2015-05-22 00:00:00+05:30,99.0,100.0,92.30000305175781,96.44999694824219,2275
2015-05-25 00:00:00+05:30,96.44999694824219,98.80000305175781,96.44999694824219,96.44999694824219,600
2015-05-26 00:00:00+05:30,96.44999694824219,96.44999694824219,96.44999694824219,96.44999694824219,0
2015-05-27 00:00:00+05:30,96.44999694824219,96.44999694824219,96.44999694824219,96.44999694824219,0
2015-05-28 00:00:00+05:30,87.25,99.75,87.25,96.9000015258789,650
2015-05-29 00:00:00+05:30,93.0,94.0,90.69999694824219,94.0,474
2015-06-01 00:00:00+05:30,85.0999984741211,93.5999984741211,85.0999984741211,88.69999694824219,2527
2015-06-02 00:00:00+05:30,85.0,91.9000015258789,85.0,86.0,348
2015-06-03 00:00:00+05:30,85.0,85.0,76.55000305175781,83.69999694824219,648
2015-06-04 00:00:00+05:30,75.19999694824219,84.8499984741211,72.19999694824219,84.8499984741211,27
2015-06-05 00:00:00+05:30,75.0,85.94999694824219,75.0,85.94999694824219,260
2015-06-08 00:00:00+05:30,76.0,80.0,76.0,76.0,512
2015-06-09 00:00:00+05:30,76.0,78.80000305175781,76.0,76.0,232
2015-06-10 00:00:00+05:30,80.0,83.0,80.0,81.0,83
2015-06-11 00:00:00+05:30,80.0,85.0,72.25,81.0999984741211,15
2015-06-12 00:00:00+05:30,83.9000015258789,83.9000015258789,83.9000015258789,83.9000015258789,1
2015-06-15 00:00:00+05:30,83.9000015258789,83.9000015258789,83.9000015258789,83.9000015258789,0
2015-06-16 00:00:00+05:30,75.19999694824219,75.19999694824219,75.19999694824219,75.19999694824219,100
2015-06-17 00:00:00+05:30,75.5,85.0,75.5,80.05000305175781,3838
2015-06-18 00:00:00+05:30,76.0,96.05000305175781,75.0,96.05000305175781,7488
2015-06-19 00:00:00+05:30,115.25,115.25,110.30000305175781,115.25,23481
2015-06-22 00:00:00+05:30,129.0,130.0,105.0,116.69999694824219,8390
2015-06-23 00:00:00+05:30,117.0,128.5,117.0,124.75,4829
2015-06-24 00:00:00+05:30,123.0,125.0,116.5,117.1500015258789,540
2015-06-25 00:00:00+05:30,111.05000305175781,119.30000305175781,111.05000305175781,112.5999984741211,920
2015-06-26 00:00:00+05:30,107.55000305175781,112.5,107.55000305175781,110.05000305175781,1340
2015-06-29 00:00:00+05:30,108.0,115.94999694824219,105.5,115.0,154
2015-06-30 00:00:00+05:30,107.0,122.69999694824219,107.0,108.55000305175781,527
2015-07-01 00:00:00+05:30,107.0,113.80000305175781,107.0,112.9000015258789,499
2015-07-02 00:00:00+05:30,110.0,110.0,104.19999694824219,105.19999694824219,2973
2015-07-03 00:00:00+05:30,105.0,105.0,94.69999694824219,95.5999984741211,8184
2015-07-06 00:00:00+05:30,95.5999984741211,97.0,86.0999984741211,86.0999984741211,16060
2015-07-07 00:00:00+05:30,86.0,89.80000305175781,81.80000305175781,87.30000305175781,15091
2015-07-08 00:00:00+05:30,89.69999694824219,91.4000015258789,89.69999694824219,91.4000015258789,760
2015-07-09 00:00:00+05:30,91.0,91.0,91.0,91.0,25
2015-07-10 00:00:00+05:30,95.19999694824219,95.30000305175781,90.30000305175781,93.69999694824219,697
2015-07-13 00:00:00+05:30,94.0,94.0999984741211,91.5,91.80000305175781,284
2015-07-14 00:00:00+05:30,89.5,94.5,89.5,90.30000305175781,447
2015-07-15 00:00:00+05:30,89.0,89.0,88.19999694824219,88.30000305175781,210
2015-07-16 00:00:00+05:30,91.0,91.0,86.0,89.0999984741211,775
